key	text	tooltip
#Loc;1;text/db/dilemmas.loc		
dilemmas_localised_second_choice_title_d_bos_sakai_incident	Do Nothing	true
dilemmas_localised_title_d_bos_emperor_foreign_medic	William Willis	true
dilemmas_localised_second_choice_label_d_bountiful_harvest	Stockpiling will allow us to safeguard against crop failure in the near future whilst contributing to our clan's growth.	true
dilemmas_localised_second_choice_title_d_jizamurai	Military Focus	true
dilemmas_localised_first_choice_label_d_bos_sensosai	A wonderful idea; grand festivities will help ease the minds of the people, if only for a while.	true
dilemmas_localised_first_choice_title_d_gem_eiga_monogatari	Procure Copies	true
dilemmas_localised_second_choice_label_d_bos_koyosha_modern	They are right to be angry. We have lost sight of traditional ways and values through excessive modernisation. We must temper our rate of modernisation.	true
dilemmas_localised_second_choice_title_d_omen_wind	Ignore the Omens	true
dilemmas_localised_second_choice_title_s_nanban_trade_east	Decline Trade	true
dilemmas_localised_second_choice_title_s_nanban_trade_west	Decline Trade	true
dilemmas_localised_first_choice_label_d_bos_koyosha_western	Outrage! Do they not see how the people benefit from exposure to other cultures? These criminals must be brought to justice! 	true
dilemmas_localised_second_choice_title_d_gem_miidera_plight	Refuse Aid	true
dilemmas_localised_first_choice_label_s_nanban_trade_centre	We welcome the opportunity to engage in material and cultural exchange with the nanban. We will build them a trading post.	true
dilemmas_localised_title_d_bos_treaty_france_initial	French Military Mission	true
dilemmas_localised_first_choice_label_d_gem_miidera	In these trying times, all assistance is welcome. Dispatch an envoy to Miidera at once.	true
dilemmas_localised_description_s_bos_promotion_post_battle	My lord, one of our valiant warriors has proved his mettle in securing this victory for the clan. It is our belief that his talents are wasted in the rank-and-file and that he will best serve the clan leading our forces in battle.	true
dilemmas_localised_second_choice_label_d_three_legged_crow	Can Amaterasu be warning us of troubled times to come? We must remain cautious.	true
dilemmas_localised_second_choice_title_d_bos_treaty_britain_initial	Defer	true
dilemmas_localised_description_d_developmental_focus	Seeking to further the clan's mastery of the arts our retainers request guidance as to where they should focus their efforts.	true
dilemmas_localised_first_choice_label_d_gem_enryakuji	In these trying times, all assistance is welcome. Dispatch an envoy to Enryakuji at once.	true
dilemmas_localised_second_choice_label_d_bos_emperor_ronin	We currently have no need for their services, they will have to seek their fortune elsewhere.	true
dilemmas_localised_first_choice_title_d_ronin_spears	Hire Them	true
dilemmas_localised_first_choice_label_d_ronin_swords	We can exploit these masterless warriors to our own military ends. We will enlist them at once.	true
dilemmas_localised_description_s_promotion_turn_start	My lord, the son of one of your most loyal subjects - a fine warrior, I am told -  desires to prove his worth to you and the clan. As such, he requests the opportunity to lead your glorious forces in battle.	true
dilemmas_localised_first_choice_label_d_bos_western_science	Medical science benefits the lives of both civilians and the military alike. We should focus on western medicine.	true
dilemmas_localised_second_choice_label_d_auxiliary_supplies	We cannot afford to make such an investment at this time. We must rely on our existing resources to equip the troops.	true
dilemmas_localised_first_choice_label_d_desecration	We may have embraced Christianity, but we cannot allow such an affront towards those who practice the old beliefs. The nanban will answer for their behaviour.	true
dilemmas_localised_title_d_gem_young_thief	The Young Thief	true
dilemmas_localised_first_choice_label_d_intoxication	Heavy drinking is a base and shameful practice. All offenders will incur a fine and anyone behaving disgracefully will lose their head.	true
dilemmas_localised_title_d_urban_migration	Urban Migration	true
