key	text	tooltip
#Loc;1;text/db/incidents.loc		
incidents_localised_description_c_bos_ronin_SECOND_ronin_marauders	Without a lord to lead them, the samurai who once sought to serve our clan have resorted to marauding this province.	true
incidents_localised_description_c_bos_westerners_attacked_SECOND_grateful_populace	Our people are grateful for the decision to reprimand our own rather than leave them at the mercy of western barbarian justice.	true
incidents_localised_title_i_agricultural_practices	Time of Plenty	true
incidents_localised_title_c_bos_sakai_incident_SECOND_foreign_setback	The Sakai Incident	true
incidents_localised_description_c_bos_icarus_affair_FIRST_grant_royal_marines	In gratitude for our handling of the Icarus incident, the British have granted us a unit of marines to aid war effort.	true
incidents_localised_title_c_gem_heiji_monogatari_minamoto_FIRST_minamoto_influence	The Heiji Monogatari	true
incidents_localised_description_i_clan_might	The clan grows strong, my lord, and support for our cause is at an all-time high. Many citizens have joined the ranks in the hope that they might help you achieve greatness!	true
incidents_localised_title_c_gem_miidera_SECOND_rival_monks	Miidera	true
incidents_localised_description_c_gem_heiji_monogatari_minamoto_FIRST_nothing	The chronicle of the Heiji Rebellion has circulated amongst the provincial nobles, my lord. By all accounts, the work is unworthy of the tale; perhaps one day it will be done justice by better men?	true
incidents_localised_description_c_gem_enryakuji_FIRST_money	The Enryakuji monks sympathise with our cause and have gifted us funds for our war effort.	true
incidents_localised_title_c_bos_nanban_slavers_FIRST_foreign_boost	Nanban Slavers	true
incidents_localised_description_c_bos_koyosha_modern_FIRST_samurai_discontent	The samurai have expressed their discontent at our decision to crack down upon koyosha activities, hailing them as champions of traditional Japanese values.	true
incidents_localised_description_i_gem_research_ratio_civil	Our dedication to the civil arts has improved our capacity for mastering them.	true
incidents_localised_description_c_gem_heiji_monogatari_taira_FIRST_taira_influence	Wonderful news! The chronicle of the Heiji Rebellion has circulated amongst the provincial nobles. Many who doubted the Taira cause now support us with zeal!	true
incidents_localised_description_i_bos_season_winter	When will spring arrive?\\nIn the grip of cold white death,\\nThe earth is smothered.	true
incidents_localised_description_c_better_agent_metsuke_FIRST_shogunal_deputy	As a result of our recent co-operation with the Shogunate, we have been sent an envoy from Kyoto to aid in clan affairs.	true
incidents_localised_description_i_gem_antoku_enthroned_other	My lord! The emperor has abdicated, and now his infant son Antoku sits upon the Chrysanthemum Throne. Born to a Taira mother, his ascension is the result of their scheming; their audacity truly knows no bounds! Prince Mochihito - the rightful heir - has issued a call to arms against the usurpers. Now, more than ever, it is vital that we move to free Japan from villainy!	true
incidents_localised_description_i_gem_research_specific_civil	Our dedication to the civil arts has improved our capacity for mastering them.	true
incidents_localised_title_c_gaijin_trouble_FIRST_anti_nanban_riots	Gaijin Trouble	true
incidents_localised_title_c_bos_sakai_incident_FIRST_foreign_boost	The Sakai Incident	true
incidents_localised_title_i_gem_dedicated_seafarer_master_shipwrights	Dedicated Seafarer	true
incidents_localised_description_bos_intro_5_carry_on_shogun	We have successfully expanded our territory and developed our clan to a respectable technological standard. As a show of support, leading citizens have offered tribute; we must see to it that their contributions are invested well and that the people's faith in Shogun's cause is justified.\\n\\n For the Shogunate!	true
incidents_localised_title_c_gem_enryakuji_SECOND_rival_monks	Enryakuji	true
incidents_localised_title_c_otomo_baptism_SECOND_nanban_ire	Baptism	true
incidents_localised_description_c_bos_nanban_slavers_SECOND_foreign_setback	Foreign trade is suffering following our decision to interfere with the private affairs of the western powers.	true
incidents_localised_title_c_bos_student_exchange_FIRST_foreign_boost	Student Exchange	true
incidents_localised_title_i_bos_season_autumn	Autumn	true
incidents_localised_description_c_ambitious_traders_SECOND_prosperity	Our focus on domestic trade has led to increased wealth in our provinces.	true
incidents_localised_description_i_research_specific_military	Our dedication to the martial arts has improved our capacity for mastering them.	true
incidents_localised_title_i_dedicated_seafarer_able_sailors	Dedicated Seafarer	true
incidents_localised_description_i_bos_season_summer	Heralding summer.\\nThe orange blossom in bloom.\\nBright and beautiful.	true
incidents_localised_title_c_bos_emperor_foreign_medic_FIRST_sonno_joi	William Willis	true
incidents_localised_description_bos_intro_4b_incident_civil	Our focus on civil advancment has yielded unexpected results, my lord; the people have been inspired in their daily duties, working dilligently for the good of their kin and their clan.	true
incidents_localised_title_c_bos_gaijin_trouble_SECOND_foreign_boost	Gaijin Trouble	true
incidents_localised_description_i_gem_dedicated_seafarer_able_sailors	The development of our naval capabilities has led to many expert seamen rushing to serve aboard our ships.	true
incidents_localised_description_c_gem_enryakuji_SECOND_rival_monks	Joyed at our sacking of their rival's temple - Enryakuji - the Miidera monks have provided us with warrior monks to aid us in battle.	true
incidents_localised_title_c_omen_fire_fire	Kagutsuchi's Wrath	true
incidents_localised_description_c_bos_student_exchange_FIRST_foreign_boost	Through contacts made whilst studying abroad, our itinerant scholars have managed to improve foreign trade relations.	true
incidents_localised_title_c_bos_sword_abolishment_SECOND_samurai_satisfaction	Haitorei	true
incidents_localised_description_c_gem_enryakuji_FIRST_monks	The Enryakuji monks sympathise with our cause and have provided us with warrior monks to aid us in battle.	true
incidents_localised_title_c_bos_ronin_SECOND_ronin_marauders	Ronin	true
incidents_localised_description_i_bos_season_spring	Shivering beauty\\nraises my spirit higher. \\nThe herald of spring.	true
incidents_localised_description_c_gem_enryakuji_FIRST_refuse	Regrettably, the Enryakuji monks have declined our request for aid.	true
incidents_localised_description_c_bos_icarus_affair_FIRST_anti_western_riots	Angered at concessions made in favour of the westerners in response to the Icarus incident, anti-western elements in this province have taken to the streets in protest.	true
incidents_localised_title_i_monopoly_horse_cavalry	Monopoly	true
incidents_localised_title_c_bos_westerners_attacked_SECOND_grateful_populace	Anti-western Aggression	true
incidents_localised_title_i_research_specific_civil	Master of the Civil Arts	true
incidents_localised_title_i_bos_season_spring_first	Spring	true
incidents_localised_title_c_bos_rangaku_FIRST_foreign_boost	Rangaku	true
incidents_localised_description_i_dis_flood	Flooding has occurred in this province, affecting agriculture and production across the area.	true
incidents_localised_description_c_meritorious_action_SECOND_loyalty	Feeling that his services to the clan have gone unrecognised, this man's loyalty has waned.	true
incidents_localised_title_c_wako_threat_FIRST_able_sailors	The Wako Threat	true
incidents_localised_title_i_dis_severe_winter	Severe Winter!	true
incidents_localised_title_c_gem_heiji_monogatari_taira_FIRST_taira_influence	The Heiji Monogatari	true
incidents_localised_title_i_gem_research_ratio_civil	Master of the Civil Arts	true
incidents_localised_description_c_bos_sword_abolishment_SECOND_disaffected_populace	The people are distraught that the indiscriminate violence that has gripped our domain continues to rage.	true
incidents_localised_title_c_francis_xavier_SECOND_anti_nanban_riots	Francis Xavier	true
incidents_localised_description_c_gem_warrior_tax_FIRST_spawn_unit	Grateful for the manner in which you handled their court tax problems, the bushidan in this province have provided additional warriors for our cause.	true
incidents_localised_description_c_gem_todaiji_FIRST_refuse	Regrettably, the Todaiji monks have declined our request for aid.	true
incidents_localised_description_c_bos_sword_abolishment_SECOND_samurai_satisfaction	Members of the samurai class are most satisfied that we chose to continue allowing the bearing of arms, as dictated by tradition.	true
incidents_localised_title_c_bos_icarus_affair_SECOND_foreign_setback	The Icarus Affair	true
incidents_localised_title_c_francis_xavier_FIRST_nanban_ire	Francis Xavier	true
incidents_localised_description_c_bos_gaijin_trouble_FIRST_foreign_setback	Foreign trade is in decline since we began imposing stricter laws upon western immigrants within our domain.	true
incidents_localised_description_c_bos_nanban_slavers_SECOND_chinese_gratitude	Grateful for our intervention on behalf of their subjects, the Manchu have sent us gifts and compensation.	true
incidents_localised_title_c_omen_ocean_stormy_seas	Owatatsumi's Wrath	true
incidents_localised_description_i_gem_antoku_enthroned_taira	The emperor has abdicated, my lord! The throne now belongs to Antoku - our own flesh and blood and key to future Taira hegemony. Prince Mochihito, embittered at the denial of his throne, is already rallying support to overthrow him. We must prepare ourselves for the struggle.	true
incidents_localised_title_c_bos_sword_abolishment_SECOND_disaffected_populace	Haitorei	true
incidents_localised_description_c_disloyalty_FIRST_dread_lord	Fearful of our methods for dealing with treachery in our midst, our subjects will think twice before betraying the clan.	true
incidents_localised_description_c_gem_miidera_FIRST_refuse	Regrettably, the Miidera monks have declined our request for aid.	true
incidents_localised_description_i_dis_severe_winter	This province is suffering the effects of a long, severe winter. The heavy snowfall and harsh cold has affected local farming and production.	true
incidents_localised_title_c_gem_young_thief_FIRST_spawn_spy	The Young Thief	true
incidents_localised_title_c_meritorious_action_SECOND_loyalty	Meritorious Action	true
incidents_localised_title_i_dis_flood	Flooding!	true
incidents_localised_title_c_bos_koyosha_western_FIRST_foreign_boost	Koyosha	true
incidents_localised_title_i_monopoly_iron_supplies	Monopoly	true
incidents_localised_title_i_bos_season_spring	Spring	true
incidents_localised_title_c_gem_enryakuji_FIRST_monks	Enryakuji	true
incidents_localised_description_c_bos_westerners_attacked_FIRST_foreign_boost	Satisfied with our handling of anti-western aggression, relations with foreign powers have improved.	true
incidents_localised_title_i_bos_season_winter	Winter	true
incidents_localised_title_c_gem_miidera_FIRST_refuse	Miidera	true
incidents_localised_description_i_bos_equipment_cache	Whilst moving through enemy territory our forces uncovered a cache of military supplies. It has been transported back to our domain.	true
incidents_localised_title_c_gem_enryakuji_FIRST_money	Enryakuji	true
incidents_localised_title_c_otomo_embassy_FIRST_nanban_ire	Embassy	true
incidents_localised_title_c_bos_student_exchange_FIRST_grant_royal_marines	Student Exchange	true
incidents_localised_description_c_omen_ocean_tsunami	My lord! We have incurred the wrath of Owatatsumi! Great waves are buffeting our coasts!	true
incidents_localised_title_i_gem_research_specific_military	Master of the Military Arts	true
