key	text	tooltip
#Loc;1;text/db/diplomacy_factor_strings.loc		
diplomacy_factor_strings_positive_factor_string_state_gift	Gifts appreciated	true
diplomacy_factor_strings_positive_factor_string_threatened	Threats of attack	true
diplomacy_factor_strings_negative_factor_string_enlightenment	Mastery of the arts	true
diplomacy_factor_strings_positive_factor_string_daimyo_honour	Daimyo honour	true
diplomacy_factor_strings_negative_factor_string_trade	Trade agreement	true
diplomacy_factor_strings_negative_factor_string_state_gift	Gifts appreciated	true
diplomacy_factor_strings_negative_factor_string_threatened	Threats of attack	true
diplomacy_factor_strings_positive_factor_string_realm_divide_boshin	Realm divide	true
diplomacy_factor_strings_negative_factor_string_marriage_with_enemies	Marriage with hostile clan	true
diplomacy_factor_strings_negative_factor_string_abandoned_ally_in_war	Unreliable ally	true
diplomacy_factor_strings_negative_factor_string_daimyo_honour	Daimyo honour	true
diplomacy_factor_strings_positive_factor_string_trade	Trade agreement	true
diplomacy_factor_strings_positive_factor_string_allegiance	Same allegiance	true
diplomacy_factor_strings_positive_factor_string_enlightenment	Mastery of the arts	true
diplomacy_factor_strings_negative_factor_string_realm_divide_boshin	Realm divide	true
diplomacy_factor_strings_positive_factor_string_abandoned_ally_in_war	Unreliable ally	true
diplomacy_factor_strings_negative_factor_string_allegiance	Different allegiance	true
diplomacy_factor_strings_positive_factor_string_marriage_with_enemies	Marriage with hostile clan	true
diplomacy_factor_strings_positive_factor_string_trade_broken	Trade agreement broken	true
diplomacy_factor_strings_positive_factor_string_declared_war_against_friends	War declared on a friendly clan	true
diplomacy_factor_strings_positive_factor_string_allied_with_enemies	Alliance with an enemy clan	true
diplomacy_factor_strings_positive_factor_string_peace_treaty	Dishonouring treaties	true
diplomacy_factor_strings_positive_factor_string_realm_divide	Realm divide	true
diplomacy_factor_strings_positive_factor_string_betrayed_allegiance	Traitor! (Allegiences were betrayed)	true
diplomacy_factor_strings_negative_factor_string_declared_war_against_friends	War declared on a friendly clan	true
diplomacy_factor_strings_negative_factor_string_trade_broken	Trade agreement broken	true
diplomacy_factor_strings_negative_factor_string_peace_treaty	Peace treaty	true
diplomacy_factor_strings_negative_factor_string_realm_divide	Realm divide	true
diplomacy_factor_strings_negative_factor_string_war	War!	true
diplomacy_factor_strings_negative_factor_string_diplo_character_bonus	Clan is not respected	true
diplomacy_factor_strings_positive_factor_string_assasination_attempt	Hostile agent actions	true
diplomacy_factor_strings_positive_factor_string_war	Peace treaty	true
diplomacy_factor_strings_negative_factor_string_declared_war_against_enemies	An enemy of my enemy is my friend	true
diplomacy_factor_strings_negative_factor_string_betrayed_allegiance	Traitor! (Allegiences were betrayed)	true
diplomacy_factor_strings_negative_factor_string_allied_with_enemies	Alliance with an enemy clan	true
diplomacy_factor_strings_negative_factor_string_assasination_attempt	Hostile agent actions	true
diplomacy_factor_strings_positive_factor_string_diplo_character_bonus	Clan commands respect	true
diplomacy_factor_strings_positive_factor_string_declared_war_against_enemies	An enemy of my enemy is my friend	true
diplomacy_factor_strings_positive_factor_string_initial_modifier	Past friendship	true
diplomacy_factor_strings_positive_factor_string_clan_development	Clan Development 	true
diplomacy_factor_strings_negative_factor_string_alliance	Military alliance	true
diplomacy_factor_strings_negative_factor_string_cultural_alliance_broken	Alliances were not honoured	true
diplomacy_factor_strings_positive_factor_string_religion	Same religion	true
diplomacy_factor_strings_positive_factor_string_sabotage_attempt	Sabotage attempts	true
diplomacy_factor_strings_negative_factor_string_initial_modifier	Past grievances	true
diplomacy_factor_strings_positive_factor_string_alliance	Military alliance	true
diplomacy_factor_strings_negative_factor_string_clan_development	Clan Development	true
diplomacy_factor_strings_negative_factor_string_alliance_broken	Alliance broken	true
diplomacy_factor_strings_positive_factor_string_annexed_territory	Territorial expansion	true
diplomacy_factor_strings_negative_factor_string_sabotage_attempt	Sabotage attempts	true
diplomacy_factor_strings_positive_factor_string_cultural_alliance_broken	Alliances were not honoured	true
diplomacy_factor_strings_negative_factor_string_religion	Religious differences	true
diplomacy_factor_strings_positive_factor_string_hostages	Hostages	true
diplomacy_factor_strings_positive_factor_string_marriage	Marriage between clans	true
diplomacy_factor_strings_positive_factor_string_alliance_broken	Alliance broken	true
diplomacy_factor_strings_negative_factor_string_annexed_territory	Territorial expansion	true
diplomacy_factor_strings_negative_factor_string_marriage	Marriage between clans	true
diplomacy_factor_strings_negative_factor_string_hostages	Hostages killed	true
diplomacy_factor_strings_negative_factor_string_spying_attempt	Spying attempt	true
diplomacy_factor_strings_negative_factor_string_trade_embargoed	Trade ban	true
diplomacy_factor_strings_negative_factor_string_abused_military_access	Backstabber! (Attacked by forces given safe passage)	true
diplomacy_factor_strings_positive_factor_string_spying_attempt	Spying attempt	true
diplomacy_factor_strings_positive_factor_string_abused_military_access	Backstabber! (Attacked by forces given safe passage)	true
diplomacy_factor_strings_positive_factor_string_incited_revolt	Revolts incited	true
diplomacy_factor_strings_positive_factor_string_faction_leader	Clan commands respect	true
diplomacy_factor_strings_positive_factor_string_trade_embargoed	Trade ban	true
diplomacy_factor_strings_negative_factor_string_incited_revolt	Revolts incited	true
diplomacy_factor_strings_negative_factor_string_faction_leader	Clan is not respected	true
