key	text	tooltip
#Loc;1;text/db/ministerial_positions_strings.loc		
ministerial_positions_strings_on_screen_bos_4_commander_chief	Commander-in-Chief	true
ministerial_positions_strings_on_screen_clan_warfare	Commissioner for Warfare	true
ministerial_positions_strings_on_screen_clan_leader	Daimyo	true
ministerial_positions_strings_on_screen_clan_supplies	Commissioner for Supply	true
ministerial_positions_strings_on_screen_clan_finance	Commissioner for Finance	true
ministerial_positions_strings_on_screen_bos_3_chief_staff	Chief of Staff	true
ministerial_positions_strings_on_screen_clan_development	Commissioner for Development	true
ministerial_positions_strings_on_screen_bos_2_comptroller	Comptroller	true
ministerial_positions_strings_on_screen_bos_1_inspector_general	Inspector General	true
