key	text	tooltip
#Loc;1;text/db/factions.loc		
factions_clan_summary_name_when_shogun_bos_cb_sendai	The Sendai Shogunal Vanguard	true
factions_screen_name_when_imperial_bos_aizu	Aizu Imperial Vanguard	true
factions_clan_summary_name_gem_ise	x	true
factions_screen_name_when_shogun_gem_kozuke	x	true
factions_screen_adjective_gem_mino	Toki	true
factions_screen_name_when_shogun_bos_kuwana	Kuwana Shogunal Vanguard	true
factions_screen_name_when_shogun_bos_france	X Shogunal Vanguard	true
factions_clan_summary_name_when_shogun_gem_musashi	x	true
factions_screen_name_when_rebels_gem_echigo	Amakasu Rebels	true
factions_screen_name_bos_takatsuki	Takatsuki	true
factions_screen_name_when_rebels_kobayakawa	Kobayakawa Rebels	true
factions_screen_name_when_rebels_bos_sasayama	Sasayama Rebels	true
factions_attack_desc_movie_2	You are attacking an Movie force.	true
factions_attack_desc_movie_3	You are attacking an Movie force.	true
factions_screen_name_gem_tosa	Yamauchi	true
factions_attack_desc_gem_tosa	You are attacking a Yamauchi force.	true
factions_clan_summary_name_when_shogun_bos_shogunate	The X Shogunal Vanguard	true
factions_screen_name_bos_cb_choshu	Choshu	true
factions_screen_name_when_rebels_bos_hikone	Hikone Rebels	true
factions_clan_summary_name_when_shogun_bos_odawara	The Odawara Shogunal Vanguard	true
factions_screen_name_murakami	Murakami	true
factions_attack_desc_murakami	You are attacking a Murakami force.	true
factions_screen_name_when_rebels_bos_marugame	Marugame Rebels	true
factions_screen_adjective_gem_satsuma	Soga	true
factions_screen_adjective_bos_okayama	Okayama	true
factions_screen_adjective_gem_pirates	Kaizoku Pirate	true
factions_screen_adjective_ikko_ikki	Ikko Ikki	true
factions_clan_summary_name_chosokabe	The Chosokabe Clan	true
factions_screen_name_when_rebels_ikko_ikki	Ikko Ikki Rebels	true
factions_screen_name_when_shogun_gem_echigo	x	true
factions_screen_name_when_shogun_kobayakawa	Kobayakawa Shogunate	true
factions_screen_name_when_rebels_bos_kuwana	Kuwana Rebels	true
factions_screen_name_when_rebels_bos_france	French Rebels	true
factions_defend_desc_bos_hiroshima	You are defending against a force of Hiroshima attackers.	true
factions_screen_name_when_rebels_gem_kozuke	Nitta Rebels	true
factions_screen_name_when_rebels_bos_kakegawa	Kakegawa Rebels	true
factions_screen_name_when_imperial_bos_kubota	Kubota Imperial Vanguard	true
factions_screen_adjective_bos_cb_saga	Saga	true
factions_attack_desc_tokugawa	You are attacking a Tokugawa force.	true
factions_screen_name_tokugawa	Tokugawa	true
factions_screen_adjective_tut_urakami	Urakami	true
factions_clan_summary_name_when_independent_bos_tosa	The Republic of Tosa	true
factions_clan_summary_name_when_imperial_bos_okazaki	The Okazaki Imperial Vanguard	true
factions_clan_summary_name_when_shogun_tut_chosokabe	The Chosokabe Shogunate	true
factions_screen_adjective_bos_tosa	Tosa	true
factions_screen_name_when_shogun_bos_hikone	Hikone Shogunal Vanguard	true
factions_clan_summary_name_bos_ozu	Ozu Domain	true
factions_attack_desc_bos_matsumoto	You are attacking a Matsumoto force.	true
factions_clan_summary_name_when_shogun_gem_minamoto_kamakura	The Kamakura Minamoto	true
factions_defend_desc_ashikaga	You are defending against a force of Ashikaga attackers.	true
factions_screen_name_when_imperial_bos_sayama	Sayama Imperial Vanguard	true
factions_screen_name_when_imperial_bos_yonago	Yonago Imperial Vanguard	true
factions_screen_adjective_tut_kikkawa	Kikkawa	true
factions_screen_adjective_bos_nobeoka	Nobeoka	true
factions_screen_adjective_bos_toyooka	Toyooka	true
factions_screen_name_when_rebels_kono	Kono Rebels	true
factions_attack_desc_bos_ueno	You are attacking a Tsu force.	true
factions_screen_adjective_bos_morioka	Morioka	true
factions_screen_name_bos_ueno	Tsu	true
factions_screen_name_when_independent_bos_cb_obama	Republic of Obama	true
factions_clan_summary_name_gem_awa	x	true
factions_clan_summary_name_when_imperial_bos_jozai	The Jozai Imperial Vanguard	true
factions_screen_adjective_bos_mito	Mito	true
factions_screen_name_when_shogun_gem_wakasa	x	true
factions_clan_summary_name_shimazu	The Shimazu Clan	true
factions_screen_name_when_imperial_bos_kokura	Kokura Imperial Vanguard	true
factions_screen_name_when_imperial_bos_toyama	Toyama Imperial Vanguard	true
factions_screen_adjective_gem_kawachi	Ishikawa	true
factions_attack_desc_tut_kono	You are attacking a Kono force.	true
factions_screen_name_tut_kono	Kono	true
factions_clan_summary_name_when_imperial_bos_okayama	The Okayama Imperial Vanguard	true
factions_screen_name_when_shogun_kitabatake	Kitabatake Shogunate	true
factions_screen_adjective_gem_hoki	Hasebe	true
factions_screen_name_when_shogun_gem_harima	x	true
factions_screen_name_when_imperial_bos_matsue	Matsue Imperial Vanguard	true
factions_clan_summary_name_when_imperial_bos_fukuyama	The Fukuyama Imperial Vanguard	true
factions_defend_desc_bos_aizu	You are defending against a force of Aizu attackers.	true
factions_attack_desc_bos_gujohachiman	You are attacking a Gujohachiman force.	true
factions_defend_desc_gem_sado	You are defending against a force of Inoue attackers.	true
factions_defend_desc_gem_hida	You are defending against a force of Daisuke attackers.	true
factions_screen_name_bos_gujohachiman	Gujohachiman	true
factions_clan_summary_name_when_imperial_bos_takayama	The Takayama Imperial Vanguard	true
factions_clan_summary_name_when_imperial_bos_wakayama	The Wakayama Imperial Vanguard	true
factions_screen_adjective_christian_rebels	Christian Rebels	true
factions_clan_summary_name_when_shogun_bos_cb_tosa	The Tosa Shogunal Vanguard	true
factions_screen_name_when_shogun_anegakoji	Anegakoji Shogunate	true
factions_clan_summary_name_when_imperial_bos_cb_saga	The Saga Imperial Vanguard	true
factions_clan_summary_name_when_shogun_gem_shimosa	x	true
factions_clan_summary_name_gem_suo	x	true
factions_screen_name_when_rebels_gem_wakasa	Ochi Rebels	true
factions_attack_desc_bos_hiroshima	You are attacking a Hiroshima force.	true
factions_screen_name_when_rebels_gem_mimasaka	Seno Rebels	true
factions_screen_name_when_rebels_wako	Wako Rebels	true
factions_screen_adjective_gem_standard_rebels	Rebels	true
factions_defend_desc_gem_higo	You are defending against a force of Kikuchi attackers.	true
factions_defend_desc_gem_kaga	You are defending against a force of Sugawara attackers.	true
factions_screen_adjective_gem_fujiwara_kubota	Kubota Fujiwara	true
factions_clan_summary_name_when_imperial_bos_toyooka	The Toyooka Imperial Vanguard	true
factions_clan_summary_name_when_imperial_bos_morioka	The Morioka Imperial Vanguard	true
factions_screen_name_when_rebels_ogigayatsu_uesugi	Ogigayatsu Rebels	true
factions_screen_adjective_hosokawa	Hosokawa	true
factions_clan_summary_name_when_imperial_bos_nobeoka	The Nobeoka Imperial Vanguard	true
factions_screen_name_when_rebels_gem_harima	Akamatsu Rebels	true
factions_screen_adjective_ogigayatsu_uesugi	Ogigayatsu	true
factions_defend_desc_bos_matsumoto	You are defending against a force of Matsumoto attackers.	true
factions_screen_name_when_rebels_kitabatake	Kitabatake Rebels	true
factions_screen_name_when_rebels_bos_kanazawa	Kanazawa Rebels	true
factions_screen_name_when_rebels_bos_yonezawa	Yonezawa Rebels	true
factions_screen_name_when_rebels_bos_hirosaki	Hirosaki Rebels	true
factions_screen_name_when_rebels_bos_takatori	Takatori Rebels	true
factions_screen_name_when_imperial_bos_numata	Numata Imperial Vanguard	true
factions_screen_name_when_rebels_bos_kumamoto	Kumamoto Rebels	true
factions_screen_adjective_bos_okazaki	Okazaki	true
factions_screen_name_when_rebels_hojo	Hojo Rebels	true
factions_attack_desc_gem_noto	You are attacking an Okura force.	true
factions_screen_name_gem_noto	Okura	true
factions_screen_name_when_independent_bos_cb_jozai	Republic of Jozai	true
factions_clan_summary_name_when_imperial_bos_standard_rebels	The X Imperial Vanguard	true
factions_clan_summary_name_when_imperial_bos_obama	The Obama Imperial Vanguard	true
factions_screen_name_bos_hiroshima	Hiroshima	true
factions_screen_name_when_rebels_gem_bitchu	Ariwara Rebels	true
factions_defend_desc_hosokawa	You are defending against a force of Hosokawa attackers.	true
factions_screen_name_when_shogun_bos_takayama	Takayama Shogunal Vanguard	true
factions_screen_name_when_shogun_bos_wakayama	Wakayama Shogunal Vanguard	true
factions_screen_name_when_shogun_bos_fukuyama	Fukuyama Shogunal Vanguard	true
factions_screen_adjective_bos_tatsuno	Tatsuno	true
factions_clan_summary_name_when_imperial_bos_nagaoka	The Nagaoka Imperial Vanguard	true
factions_screen_adjective_gem_kaga	Sugawara	true
factions_screen_name_when_shogun_bos_hirado	Hirado Shogunal Vanguard	true
factions_clan_summary_name_when_independent_bos_cb_nagaoka	The Republic of Nagaoka	true
