key	text	tooltip
#Loc;1;text/db/agent_culture_details.loc		
agent_culture_details_description_text_57	Một Gián điệp đồng thời cũng là kẻ phá hoại và sát thủ, có thể được cử vào một thành phố mục tiêu để báo cáo tình hình bên trong và phá hoại các công trình. Để thực hiện ám sát hãy chọn một nhân vật mục tiêu.	true
agent_culture_details_description_text_56	Một Gián điệp đồng thời cũng là kẻ phá hoại và sát thủ, có thể được cử vào một thành phố mục tiêu để báo cáo tình hình bên trong và phá hoại các công trình. Để thực hiện ám sát hãy chọn một nhân vật mục tiêu.	true
agent_culture_details_description_text_55	Arrr! Ye scurvy pirate! (PLACEHOLDER)	true
agent_culture_details_description_text_54	Arrr! Ye scurvy pirate! (PLACEHOLDER)	true
agent_culture_details_description_text_53	Arrr! Ye scurvy pirate! (PLACEHOLDER)	true
agent_culture_details_description_text_52	Arrr! Ye scurvy pirate! (PLACEHOLDER)	true
agent_culture_details_description_text_51	Một Nhà truyền giáo Chính Thống là giáo sĩ truyền bá đức tin Chính Thống giáo. Đặt họ trong một vùng sẽ khiến dân chúng dần cải đạo sang Chính Thống giáo. Họ sẽ tiếp tục tự động cải đạo dân cư cho đến khi được di chuyển.	true
agent_culture_details_description_text_50	Ninja là bậc thầy về mưu kế và thâm nhập. Kỹ năng ninjutsu cho phép họ do thám kẻ địch hoặc phá hoại quân đội và thị trấn lâu đài của chúng, đồng thời di chuyển qua lãnh thổ mà không bị phát hiện. Họ cũng là những sát thủ lão luyện, ra tay từ trong bóng tối để giết cả tướng lĩnh lẫn đặc vụ địch. Kỹ năng thâm nhập khiến ninja trở thành trinh sát vô giá cho quân đội của gia tộc, trong khi các mối quan hệ trong thế giới ngầm giúp họ nắm rõ mọi động tĩnh khi đến thăm các tỉnh thân thiện.	true
agent_culture_details_description_text_59	PLACEHOLDER	true
agent_culture_details_description_text_58	Một Trinh sát là gián điệp, kẻ phá hoại và sát thủ có thể được cử vào một thành phố mục tiêu để báo cáo tình hình bên trong và phá hoại các công trình. Để thực hiện ám sát hãy chọn một nhân vật mục tiêu.	true
agent_culture_details_description_text_47	Thượng thư. PLACEHOLDER.	true
agent_culture_details_description_text_46	Thượng thư. PLACEHOLDER.	true
agent_culture_details_description_text_45	Thượng thư. PLACEHOLDER.	true
agent_culture_details_description_text_44	Thượng thư. PLACEHOLDER.	true
agent_culture_details_description_text_43	Thượng thư. PLACEHOLDER.	true
agent_culture_details_description_text_42	Thượng thư. PLACEHOLDER.	true
agent_culture_details_description_text_41	Một Imam là giáo sĩ truyền bá giáo lý Hồi giáo khắp thế giới. Đặt một Imam trong một vùng sẽ khiến dân chúng dần cải đạo sang Hồi giáo. Họ sẽ tiếp tục tự động cải đạo vùng đó cho đến khi được di chuyển.	true
agent_culture_details_description_text_40	Một Imam là giáo sĩ truyền bá giáo lý Hồi giáo khắp thế giới. Đặt một Imam trong một vùng sẽ khiến dân chúng dần cải đạo sang Hồi giáo. Họ sẽ tiếp tục tự động cải đạo vùng đó cho đến khi được di chuyển.	true
agent_culture_details_description_text_49	Các Nhà sư là những người nhiệt thành truyền bá giáo lý của Đức Phật. Họ là những kẻ kích động có thể làm suy giảm sĩ khí quân địch và gây bất ổn trong các thị trấn của kẻ thù, đồng thời cũng có thể truyền cảm hứng cho quân ta và mang lại sự hài lòng cho dân chúng của mình. Các Nhà sư còn có thể cải đạo dân chúng sang Phật giáo và khiến đặc vụ địch từ bỏ nhiệm vụ để theo đuổi cuộc sống thanh bình và tự chiêm nghiệm. Họ đặc biệt hiệu quả khi đối đầu với metsuke.	true
agent_culture_details_description_text_48	Các Nhà truyền giáo là những người nhiệt thành truyền bá con đường Cơ Đốc. Họ là những kẻ kích động có thể làm suy giảm sĩ khí quân địch và gây bất ổn trong các thị trấn của kẻ thù, đồng thời cũng có thể truyền cảm hứng cho quân ta và mang lại sự hài lòng cho dân chúng của mình. Các Nhà truyền giáo còn có thể cải đạo dân chúng sang Cơ Đốc giáo và khiến đặc vụ địch từ bỏ nhiệm vụ để sống cuộc đời sám hối kính sợ Chúa. Họ đặc biệt hiệu quả khi đối đầu với metsuke.	true
agent_culture_details_description_text_37	Một Gentleman là người có học thức, có thể được cử vào các công trình giáo dục để đẩy nhanh quá trình nghiên cứu, đồng thời có thể đấu tay đôi với Gián điệp và các Gentleman khác. Hãy chọn một nhân vật mục tiêu để thách đấu tay đôi.	true
agent_culture_details_description_text_36	Một Gentleman là người có học thức, có thể được cử vào các công trình giáo dục để đẩy nhanh quá trình nghiên cứu, đồng thời có thể đấu tay đôi với Gián điệp và các Gentleman khác. Hãy chọn một nhân vật mục tiêu để thách đấu tay đôi.	true
agent_culture_details_description_text_35	Geisha là những sát thủ sử dụng sự quyến rũ và cải trang để xâm nhập vào hàng ngũ kẻ địch và hạ sát cả tướng lĩnh lẫn đặc vụ. Dù không có khả năng ẩn mình như ninja, họ ra tay với hiệu quả chết người và có thể thoát khỏi sự truy bắt của cả những đặc vụ địch lành nghề nhất.	true
agent_culture_details_description_text_34	Colonel. PLACEHOLDER.	true
agent_culture_details_description_text_33	Colonel. PLACEHOLDER.	true
agent_culture_details_description_text_32	PLACEHOLDER Colonel lvl 0	true
agent_culture_details_description_text_31	Colonel. PLACEHOLDER.	true
agent_culture_details_description_text_30	Colonel. PLACEHOLDER.	true
agent_culture_details_description_text_39	Metsuke là những người thi hành quyền lực của lãnh chúa daimyo một cách không khoan nhượng, dùng mưu kế để kiểm soát các tướng lĩnh và dân chúng bất mãn trong gia tộc. Họ cũng có thể hối lộ quân đội và thị trấn của kẻ địch. Metsuke còn có thể bắt giữ và đưa các đặc vụ địch ra “công lý”, đồng thời đặc biệt hiệu quả trong việc phát hiện và chống lại hoạt động của ninja.	true
agent_culture_details_description_text_38	Một Brahmin là giáo sĩ truyền bá đức tin Hindu khắp thế giới. Đặt một Brahmin trong một vùng sẽ khiến dân chúng dần cải đạo sang Ấn Độ giáo. Họ sẽ tiếp tục tự động cải đạo vùng đó cho đến khi được di chuyển.	true
agent_culture_details_description_text_27	Một Nhà truyền giáo Công giáo là giáo sĩ truyền bá giáo lý Công giáo. Đặt một Nhà truyền giáo trong một vùng sẽ khiến dân chúng dần cải đạo sang Công giáo. Họ sẽ tiếp tục tự động cải đạo vùng đó cho đến khi được di chuyển.	true
agent_culture_details_description_text_26	Đội trưởng. PLACEHOLDER.	true
agent_culture_details_description_text_25	Đội trưởng. PLACEHOLDER.	true
