key	text	tooltip
#Loc;1;text/db/achievements.loc		
achievements_description_ACHIEVEMENT_A_CREATE_SECOND_AVATAR	Create a second avatar for use in avatar conquest mode.	true
achievements_description_ACHIEVEMENT_C_CONTROL_KYUSHU	Control all the provinces on the island of Kyushu in the campaign.	true
achievements_title_ACHIEVEMENT_C_WIN_CAMPAIGN_AS_ODA	Oda Victory	true
achievements_title_ACHIEVEMENT_B_HAKODATE_WON	Journey's End	true
achievements_description_ACHIEVEMENT_B_WIN_20_NAVAL_BATTLES	Win 20 naval battles in multiplayer.	true
achievements_description_ACHIEVEMENT_B_SINK_ENEMY_SHIP_WITH_RAMMING	Sink an enemy ship by ramming. [Fall of the Samurai only]	true
achievements_description_ACHIEVEMENT_C_WIN_GAME_AS_CHRISTIAN	Win a campaign as a Christian daimyo.	true
achievements_title_ACHIEVEMENT_C_FIGHT_DROP_IN_BATTLE	The Duellist	true
achievements_title_ACHIEVEMENT_A_5_CLAN_REGIONS_SIMULTANEOUSLY_OWNED	Stranglehold	true
achievements_title_ACHIEVEMENT_C_WIN_MP_VS_CAMPAIGN_GIVING_OTHER_PLAYER_GOLD	Dishonoured Foe	true
achievements_title_ACHIEVEMENT_C_5_NAVAL_BOMBARDMENTS_WITH_TOSA	Father of the Imperial Navy	true
achievements_title_ACHIEVEMENT_B_WIN_BATTLE_NO_RANGED	Berserk Charge	true
achievements_description_ACHIEVEMENT_B_WIN_20_RANKED_BATTLES	Win 50 matchmade battles in multiplayer.	true
achievements_description_ACHIEVEMENT_B_WIN_25_RANKED_BATTLES	Win 25 matchmade battles in multiplayer.	true
achievements_description_ACHIEVEMENT_B_WIN_BATTLE_NO_RANGED	Win a multiplayer battle using no ranged units in your army.	true
achievements_title_ACHIEVEMENT_B_WIN_MP_BATTLE_LESS_THAN_15_PERCENT_LOSSES	Swift and Deadly	true
achievements_description_ACHIEVEMENT_C_FIGHT_DROP_IN_BATTLE	Fight a drop-in battle.	true
achievements_title_ACHIEVEMENT_C_ATTAIN_MAX_LEVEL_ALL_AGENTS	Thy Will Be Done	true
achievements_description_ACHIEVEMENT_B_FIELD_ENTIRELY_HEROES	Win a battle using an army composed entirely of hero units and your general.	true
achievements_title_ACHIEVEMENT_B_WIN_BATTLE_ONNA_BUGEISHA_AS_GENERAL	Onna-Bugeisha	true
achievements_description_ACHIEVEMENT_B_PLAY_10_BATTLES	Play 10 multiplayer battles of any type.	true
achievements_title_ACHIEVEMENT_B_WIN_20_NAVAL_BATTLES	Master of the Waves	true
achievements_title_ACHIEVEMENT_B_SINK_ENEMY_SHIP_WITH_RAMMING	Damn the Torpedoes	true
achievements_description_ACHIEVEMENT_C_BECOME_SHOGUN	Achieve the ultimate goal and become Shogun in the grand campaign.	true
achievements_description_ACHIEVEMENT_B_HAKODATE_WON	Complete all historical battles. [Fall of the Samurai only]	true
achievements_description_ACHIEVEMENT_C_WIN_CHOSOKABE_CAMPAIGN	Win a campaign as the Chosokabe clan.	true
achievements_description_ACHIEVEMENT_B_SINK_ENEMY_SHIP_WITH_TORPEDOES	Sink an enemy ship with torpedoes. [Fall of the Samurai only]	true
