key	text	tooltip
#Loc;1;text/db/character_skills.loc		
character_skills_localised_name_metsuke_magistrate	Magistrate	true
character_skills_localised_description_metsuke_legendary_thieftaker	"Get your kimono on, you're nicked!"	true
character_skills_localised_name_gem_spy_infiltrator	Infiltrator	true
character_skills_localised_description_gem_monk_enlightened	Wisdom is forged in the hearth of a calm soul.	true
character_skills_localised_name_general_poet	Poet	true
character_skills_localised_description_bos_geisha_5_temptress	All the world, offered in an artful blush.	true
character_skills_localised_description_metsuke_investigator	Lies and truth are leaves floating on the water.	true
character_skills_localised_name_gem_general_master_horseman	Master Horseman	true
character_skills_localised_description_bos_shinsengumi_3_taskmaster	In every man there is a need for discipline.	true
character_skills_localised_name_geisha_entertainer	Entertainer	true
character_skills_localised_name_bos_veteran_2_reconnaissance	Foresight	true
character_skills_localised_name_bos_shinsengumi_5_secret_agent	Secret Agent	true
character_skills_localised_description_metsuke_eyes_and_ears	“Many eyes, many tongues: one understanding.”	true
character_skills_localised_name_gem_general_legendary_warrior	Legendary Warrior	true
character_skills_localised_name_missionary_pilgrim	Pilgrim	true
character_skills_localised_name_gem_general_pirate	Pirate	true
character_skills_localised_name_ninja_misdirection	Misdirection	true
character_skills_localised_name_monk_pacifist	Pacifist	true
character_skills_localised_description_bos_veteran_2_reconnaissance	Know the lie of the land; see the truth. 	true
character_skills_localised_description_bos_ishinshishi_4_cold_bloodedness	Obedience is all: there is nothing else.	true
character_skills_localised_description_gem_general_diehard_fighter	To run is futile. To resist may be glorious!	true
character_skills_localised_description_gem_general_dreaded	Fear is a gelding knife.	true
character_skills_localised_name_bos_shinsengumi_3_taskmaster	Taskmaster	true
character_skills_localised_name_gem_dancer_courtier	Courtier	true
character_skills_localised_name_metsuke_investigator	Investigator	true
character_skills_localised_description_bos_ishinshishi_5_arch_imperialist	“Japan has a sacred mission, a destiny!”	true
character_skills_localised_name_missionary_worldly	Worldly	true
character_skills_localised_description_general_poet	The word cuts as surely as the blade.	true
character_skills_localised_name_gem_monk_enlightened	Enlightened	true
character_skills_localised_name_metsuke_legendary_thieftaker	Legendary Thieftaker	true
character_skills_localised_name_gem_general_guardian	Guardian	true
character_skills_localised_name_bos_shinobi_4_evasion	Evasion	true
character_skills_localised_description_bos_veteran_3_sharpshooter	“He’s a dead man.”	true
character_skills_localised_description_bos_geisha_4_allure	A single look can say much.	true
character_skills_localised_name_geisha_culted_lady	Cultured Lady	true
character_skills_localised_description_bos_shinsengumi_4_antagonism	“Compromise? A disease of foreigners!”	true
character_skills_localised_description_bos_geisha_2_tradition	There is elegance in the old ways.	true
character_skills_localised_description_bos_geisha_1_attendant	Waiting brings its own rewards.	true
character_skills_localised_name_monk_pilgrim	Pilgrim	true
character_skills_localised_name_gem_general_leader	Leader	true
character_skills_localised_name_gem_spy_explosives	Black Powder Alchemist	true
character_skills_localised_description_gem_general_deceiver	Show the enemy what he wants to see. 	true
character_skills_localised_description_ninja_exotic_weapons	Anything is a weapon, a weapon anything.	true
character_skills_localised_description_missionary_agitator	“There is no spirit of injustice!”	true
character_skills_localised_name_monk_worldly	Worldly	true
character_skills_localised_name_bos_shinsengumi_3_vindicator	Vindicator	true
character_skills_localised_description_gem_inspector_bribery	"A gift, no more, no less."	true
character_skills_localised_description_metsuke_mercantile_contacts	For all their prattle, merchants have ears and hear much.	true
character_skills_localised_name_bos_general_4_honour	Honour	true
character_skills_localised_name_bos_shinobi_2_finesse	Finesse	true
character_skills_localised_description_bos_geisha_4_entourage	Many hearts, set aflutter.	true
character_skills_localised_description_gem_monk_meditation	An idea is a ripple on the pool of a quiet mind.	true
character_skills_localised_description_bos_general_4_honour	The world turns, but there must be a still centre.	true
character_skills_localised_name_bos_veteran_4_bravado	Bravado	true
character_skills_localised_name_gem_spy_escape_artist	Escape Artist	true
character_skills_localised_description_bos_shinsengumi_3_vindicator	The road to hell is paved with ignorant souls.	true
character_skills_localised_description_monk_worldly	He who stands apart from the world will never change the world.	true
character_skills_localised_name_ninja_exotic_weapons	Exotic Weapons	true
character_skills_localised_name_gem_general_deceiver	Deceiver	true
character_skills_localised_description_monk_pilgrim	Walk the earth to find the light.	true
character_skills_localised_name_bos_shinsengumi_4_antagonism	Antagonism	true
character_skills_localised_name_gem_general_paragon	Paragon	true
character_skills_localised_name_gem_general_warrior	Warrior	true
character_skills_localised_name_bos_shinsengumi_2_counter_espionage	Counter-espionage	true
character_skills_localised_description_bos_ishinshishi_2_tenacity	The wind does not stop blowing, nor does the tree stop growing.	true
character_skills_localised_description_missionary_preacher	Grievous sin lies in not educating sinners.	true
character_skills_localised_name_bos_general_4_offense	Offense	true
character_skills_localised_description_gem_general_guardian	Make the tiger leave his forest.	true
character_skills_localised_description_gem_dancer_cultured	Education is too good to waste.	true
character_skills_localised_name_missionary_heterodoxy	Heterodoxy	true
character_skills_localised_description_gem_spy_infiltrator	A plausible man has the keys to every gate.	true
character_skills_localised_name_bos_veteran_1_soldier	Soldier	true
character_skills_localised_description_bos_shinobi_1_military_spy	Soldiers talk too readily about their glories.	true
character_skills_localised_description_gem_dancer_golddigger	Much can be learned from pillow talk.	true
character_skills_localised_description_monk_spiritual	A single grain of rice holds all the truths of the world.	true
character_skills_localised_description_gem_general_master_horseman	Once mounted, the vulgarity of battle slides away.	true
character_skills_localised_name_bos_veteran_3_ordnance_expert	Ordnance Expert	true
character_skills_localised_name_bos_veteran_4_relentlessness	Relentlessness	true
character_skills_localised_name_bos_ishinshishi_1_instigator	Instigator	true
character_skills_localised_name_bos_shinsengumi_3_provocateur	Provocateur	true
character_skills_localised_name_monk_agitator	Agitator	true
character_skills_localised_name_general_strategist	Strategist	true
character_skills_localised_name_ninja_military_spy	Military Spy	true
character_skills_localised_description_bos_ishinshishi_3_activist	Spread the word.	true
character_skills_localised_description_gem_general_vanguard	The first always have the greater share of glory.	true
character_skills_localised_name_gem_general_vanguard	Vanguard	true
character_skills_localised_description_bos_shinsengumi_1_enforcer	“Things will be as I say.”	true
character_skills_localised_name_bos_general_5_paragon	Paragon	true
character_skills_localised_name_ninja_noble_bandit	Noble Bandit	true
character_skills_localised_description_bos_shinobi_2_conditioning	Only the strong will survive.	true
character_skills_localised_description_monk_religious_advisor	Faith and reason are the daisho of wisdom.	true
character_skills_localised_name_bos_general_2_raiding	Raiding	true
character_skills_localised_description_bos_veteran_4_relentlessness	The grave may slow some men, a little.	true
character_skills_localised_description_bos_ishinshishi_1_instigator	Say little, and let fools think it was their own idea.	true
character_skills_localised_description_general_inspirational	What man will not follow courage?	true
character_skills_localised_name_bos_geisha_5_entrepreneur	Entrepreneur	true
character_skills_localised_description_monk_persuader	When a man listens to his heart, all else follows.	true
character_skills_localised_name_gem_general_diehard_fighter	Die-hard Fighter	true
character_skills_localised_name_general_honourable	Honourable	true
character_skills_localised_name_gem_general_dreaded	Dreaded Force	true
