key	text	tooltip
#Loc;1;text/db/ancillaries.loc		
ancillaries_onscreen_name_s2anc_sp_bosh_servant_chef_noodle	Đầu bếp mì	true
ancillaries_colour_text_s2anc_crime_ronin_kabukimono	"Cho tôi việc đi! Tôi làm được mà. Thật đấy, tôi làm được. Nào, cho tôi việc đi!"	true
ancillaries_onscreen_name_mp_bosh_anc_french_naval_engineer	Kỹ sư hải quân Pháp	true
ancillaries_onscreen_name_s2anc_sp_bosh_spec_schnell_henry	Henry Schnell	true
ancillaries_onscreen_name_s2anc_legend_army_netsuke	Nghệ nhân chạm khắc Netsuke huyền thoại	true
ancillaries_onscreen_name_s2anc_artefact_ninja_tiger_claws	Vuốt hổ	true
ancillaries_onscreen_name_s2anc_master_army_sojutsu	Bậc thầy Sojutsu	true
ancillaries_colour_text_mp_anc_supply_wagon	"Đừng ném cung đi khi tên đã hết!"	true
ancillaries_onscreen_name_s2anc_sp_bosh_book_on_war	"Bàn về Chiến tranh" của von Clausewitz	true
ancillaries_onscreen_name_s2anc_sp_bosh_animal_dog	Chó săn	true
ancillaries_onscreen_name_s2_anc_pdlc_monk_origami	Bậc thầy Origami	true
ancillaries_onscreen_name_s2anc_crime_yakuza_thug	Yakuza	true
ancillaries_onscreen_name_s2anc_silly_time_tunnel_2	Doug Philips	true
ancillaries_onscreen_name_s2anc_silly_time_tunnel_1	Tony Newman	true
ancillaries_colour_text_s2anc_friend_mentor_figure	Ngay cả người hùng mạnh nhất cũng phải học cách dùng sức mạnh của mình từ người khác.	true
ancillaries_colour_text_s2anc_sp_bosh_item_pong	Một chút cũng có thể đi rất xa.	true
ancillaries_colour_text_s2anc_master_army_smith	Mọi thanh kiếm đều nguy hiểm: bậc thầy đảm bảo rằng chỉ kẻ địch phải lo sợ điều đó.	true
ancillaries_onscreen_name_s2anc_sp_bosh_gun_spencer	Súng trường lặp Spencer	true
ancillaries_onscreen_name_s2anc_sp_bosh_item_fintry	Thiết bị thoát hiểm Fintry-Kyle	true
ancillaries_onscreen_name_mp_bosh_anc_groom	Người giữ ngựa	true
ancillaries_onscreen_name_s2anc_sp_bosh_legend_flag	Cờ hiệu huyền thoại	true
ancillaries_onscreen_name_s2anc_sp_bosh_music_flute_player	Người thổi sáo	true
ancillaries_colour_text_s2_anc_pdlc_monk_relic_shugendo	Không phải mọi bí ẩn đều cần được hiểu.	true
ancillaries_onscreen_name_s2anc_master_army_naginata	Bậc thầy Naginatajutsu	true
ancillaries_colour_text_s2anc_sp_bosh_samurai_rude	"Chuyền bát cơm đây, đồ béo, trước khi ngươi ăn hết!"	true
ancillaries_colour_text_mp_bosh_anc_enfield_musketoon	"Đã được chứng minh trên chiến trường, bởi Liên minh miền Nam Hoa Kỳ, thưa ngài, cùng nhiều nơi khác."	true
ancillaries_colour_text_s2anc_legend_army_kyudo	"Dây cung của ngài, thưa chủ công. Nó đang lệch nhịp."	true
