key	text	tooltip
#Loc;1;text/ui.loc		
advice_text_setting_button_selected_Tooltip_80001	Turn off advice text||With advice text off, any advice you receive will not be shown as text.||This setting will not affect your audio advice settings.	false
season_year_Tooltip_70076	Current year of campaign	false
dy_tax-income_NewState_Tooltip_3f0066	This is the income you gain from taxing the wealth of all your regions.	false
steal_research_Tooltip_50002c	Fate has provided you with the chance to steal research - time to use those light fingers of yours!||Clicking on this button will bring up your Research and Technology panel where you can browse potential swag.||Keep in mind that knowledge may come at a price - stealing another nation's work may end with your spy being caught and your nation's dirty dealing exposed!	false
title_frame_Tooltip_180004	The family tree shows your daimyo and all his relations. 	false
TX_Diplomatic relations_NewState_Text_290070	Diplomatic Relations	false
votes_Tooltip_350065	To play a rematch, all players must agree to it.||This shows the votes for a rematch. 	false
tx_taxes_tooltip_amanage_off_Text_4005f	Taxes	false
level_pip_1_Tooltip_150000	This shows your character's rank, or expertise in their field.||A character's rank is increased as they gain experience through their actions.||At each new rank level, the character will be able to choose new skills from the skill tree. 	false
level_pip_2_Tooltip_150000	This shows your character's rank, or expertise in their field.||A character's rank is increased as they gain experience through their actions.||At each new rank level, the character will be able to choose new skills from the skill tree. 	false
level_pip_3_Tooltip_150000	This shows your character's rank, or expertise in their field.||A character's rank is increased as they gain experience through their actions.||At each new rank level, the character will be able to choose new skills from the skill tree. 	false
level_pip_4_Tooltip_150000	This shows your character's rank, or expertise in their field.||A character's rank is increased as they gain experience through their actions.||At each new rank level, the character will be able to choose new skills from the skill tree. 	false
level_pip_5_Tooltip_150000	This shows your character's rank, or expertise in their field.||A character's rank is increased as they gain experience through their actions.||At each new rank level, the character will be able to choose new skills from the skill tree. 	false
button_convert_back_Tooltip_5d005f	Click this to convert your clan back || You can convert once for each daimyo	true
button_add_ai_Tooltip_790023	Add AI player	true
button_diplomacy_Tooltip_b0043	Diplomacy	false
assassinate_Tooltip_580079	You have a chance to use your assassination skills here.||Clicking on this will open up the Assassination panel.||The opportunity to dispose of a potential threat or competition can be risky.||The Assassination panel will provide you with the percentage chance of success. 	false
battle_type_Tooltip_430023	Use this column to find your preferred battle type.||Click the column header to sort games by battle type. 	true
heading_txt_Tooltip_3d007f	On this screen you can select the type of campaign, your battle and campaign difficulty and see victory conditions vital to winning.||Move your cursor over the different areas below to see more information.	false
steal_research_Tooltip_2b005f	Fate has provided you with the opportunity to steal research - time to use those light fingers of yours!|| Clicking on this button brings up the Research and Technology panel where potential swag can be browsed.|| Keep in-mind that knowledge may come at a price - stealing the work of another may end with the capture of your spy and the exposure of your nation's dirty dealing!	false
title_frame_Tooltip_6c0072	This is the steal technologies panel.||Sometimes the advancement of science needs a little helping hand, particularly helping hands with light fingers!||It may not be noble, but stealing another faction's hard earned research can help you keep up with their advancements.||Pick a technology you wish to own and attempt to steal it.||Of course, you can only steal what has actually been researched and there is always the risk of discovery!	false
button_group_Tooltip_41001e	Group ships||Grouped ships will stay in formation when moving.||They can use the special formations by clicking on the group formations button.	true
steal_research_Tooltip_520025	Fate has provided you with the opportunity to steal research - time to use those light fingers of yours!|| Clicking on this button brings up the Research and Technology panel where potential swag can be browsed.|| Keep in-mind that knowledge may come at a price - stealing the work of another may end with the capture of your agent and the exposure of your nation's dirty dealing!	false
button_close_Tooltip_1f0049	Close	false
status_Tooltip_140041	Here you can find your agents current location.||Left-click to jump to their location on the main map.	false
name_NewState_Text_c003d	Buddhist	true
demands_title_faction_right_Tooltip_1e0019	Review their offers below, then either accept, refuse or make a counter-proposal.	false
turn_Tooltip_15005d	This shows the turn number of the selected game. 	true
title_NewState_Text_e0026	Episode III	false
button_naval_take_ship_Tooltip_110053	Add captured ship to fleet||Captured ships not added to your own forces will be automatically exchanged for prize money.	false
dy_sum_debit_Tooltip_4d0031	The total of your outgoings.||This will be taken from your incomings to create your total income for the next turn.||Your army, naval and town watch upkeep costs make up this total. 	false
iron_Tooltip_1c0026	Iron	false
title_Tooltip_4c0016	Siege weaponry is used besiege settlements.||Drag and drop the unit card to the army panel below to add them. 	true
inactive_text_NewState_Text_50004c	Requires 12 points in Leadership	true
inactive_text_NewState_Text_4d0057	Requires 2 points in Melee defence	true
inactive_text_NewState_Text_2c0034	Requires 10 points in Bow Mastery	true
tx_tech_NewState_Text_1f0016	Arts mastered	true
compass_toggle_down_Tooltip_4c0000	Maximise maneuvre compass	true
name_textbox_Tooltip_2b0044	On this panel you can view a character's personal details, traits and entourage.||All of this is useful for judging a character and where best to use them.||Move your cursor over the different areas for more detail. 	false
inactive_text_NewState_Text_50004e	Requires 10 points in Leadership	true
tx_upkeep_army_NewState_Text_500069	Army Upkeep	false
button_options_Tooltip_2c0063	Click here to change settings for the advisor help, battle time limits and other options.  	true
gov_type_tx_absolute_monarchy_Tooltip_240073	The higher classes thrive in this type of government - they will be happier and their public order will be easier to maintain.||Repression is high in an absolute monarchy.||This will be useful to help control the lower classes who are unhappier under this government.||Because he is the absolute power, the monarch's traits will have double the effect in this government.||Town wealth will grow slower under this rule and technological research will be more expensive, but early buildings will be cheaper.	false
bg_title_frame_Tooltip_5c0051	If this panel has appeared, it means you cannot completely merge the two selected groups as there are too many units.||Instead, you can pick and choose which units will be moved into which army or navy.||You could take the best of both and create an elite force, or try to balance out both groups to equal strength.||Move your cursor over the areas below for more information.	false
turns_Tooltip_550071	Rather than trying to take this city by force, you could try waiting them out.||If you can besiege them for this many turns they will surrender.||However, you could also be attacked while waiting, either by them or by another army. 	false
Level_Tooltip_3b005e	Shooting skill||You can choose to fight the duel with pistols or a sword.||If you can, pick the duelling method where your skill is greater than your opponents.	false
total_Tooltip_170054	Total region wealth||This is the sum of all the factors that are contributing to the wealth of this region.||This value will increase each turn by the total growth shown below-left.	false
Title_NewState_Text_500020	Drop-in battle available	false
title_NewState_Text_70033	Controls	false
route_Tooltip_360060	This shows whether you are using land or sea routes to trade with them.	true
reward_icon_siege_Text_2e007d	Siege Dojo	true
checkbox_dropin_selected_down_Tooltip_33003d	Click to enable drop-in battles	true
status_Tooltip_6e002e	Here you will find a brief description of the fleets location and what they are currently doing.||Left-click to jump to their location on the main map.||Right-click to bring up the details for the admiral or captain in charge of this fleet. 	false
details_title_Tooltip_10002f	Below are statistics for each of your units, including the ones you lost in the battle. 	true
tx_Synchronising_NewState_Text_320006	Synchronising: 	false
tx_agents_lost_NewState_Text_65006b	Agents lost	true
dy_target_Tooltip_e007b	This is the target of your agent's action.||Choose the target with the highest chance of success.	false
guns_NewState_Text_60013	Guns:	false
advice_audio_setting_button_down_off_Tooltip_3c0017	Turn on advice sound || Turning on advice sound will not affect your advice text settings. || You can turn this back off at any time. 	false
tx_upkeep_navy_NewState_Text_43007d	Navy Upkeep	false
tx_info_NewState_Text_15007d	Peaceful occupation will result in minor damage to military buildings within the settlement.	false
host_tx_host_Tooltip_36007e	The host is in charge of the setting up the details of the multiplayer battle. 	true
tx_info_NewState_Text_1b0079	Liberation will give rise to a new protectorate in the region, loyal to your nation whilst diplomatic relations are strong.	false
title_NewState_Text_7003e	Waterloo	false
no_growth_tx_negative_growth_Text_90068	Villages are not growing	false
guns_Tooltip_7c0027	Number of guns for this unit.||Damaged guns can be repaired at sea or in ports. 	false
bg_title_frame_Tooltip_690068	This is your Missions details panel.||From time to time you will be assigned missions which will help develop your empire. All information on those missions will be stored here.||The panel is split between two tabs - your Active Missions and Missions Log. Click on these tabs to switch between the two.||Move your cursor over the different areas below for more information.	false
tab_enlightenment_Tooltip_10060	This is the philosophy technology.||Philosophy technology includes political thought and economic ideas.||These can improve your wealth and cut some recruitment and building costs.	false
map_globe_Tooltip_70018	Travel destinations map||The three large rectangled areas are the different theatres you can visit.||The circled areas are the trade theatres you can occupy.||Both these areas are linked by grey lines. These are your travel routes.||Sometimes you will need to travel through more than one theatre to get to your destination.||Select your destination and click on the tick button at the bottom of the map to move.||Each move will take one turn. 	false
wealth_dy_Tooltip_3002e	Wealth is based on a clan's income after costs.||Wealth is relative, and a clan's position is measured against all other clan's riches.||A wealthy clan will be expected to be more generous in their offers.||Meagre offerings will not be looked on fondly and may ruin any negotiations.	true
panel_heading_tx_army_Text_b0016	Army:	false
arrow_right_Tooltip_670049	Cycle through generals	false
button_add_AI_Tooltip_590023	Add AI Player	false
TX_pop_killed_NewState_Text_240016	Population killed:	false
title_frame_Tooltip_530068	Use this panel to examine your diplomatic standing with other clans and make negotiations with them.||For a clan to be diplomatically available, one of your provinces must border theirs, or one clan needs to have an agent or army in the other's lands.  	true
campaign_games_Tooltip_4c0044	You can view the current LAN campaigns here.	false
tab_ships_hover_Text_180049	Ships	true
loyalty_pip_1_Tooltip_3b000d	A general's loyalty affects how susceptible they are to bribes or defection.||Loyalty can be increased by promotion to office, becoming an heir or being married into the clan.||It can be lost by having these things taken from them or having a family member of theirs traded as a hostage. 	false
loyalty_pip_2_Tooltip_3b000d	A general's loyalty affects how susceptible they are to bribes or defection.||Loyalty can be increased by promotion to office, becoming an heir or being married into the clan.||It can be lost by having these things taken from them or having a family member of theirs traded as a hostage. 	false
loyalty_pip_3_Tooltip_3b000d	A general's loyalty affects how susceptible they are to bribes or defection.||Loyalty can be increased by promotion to office, becoming an heir or being married into the clan.||It can be lost by having these things taken from them or having a family member of theirs traded as a hostage. 	false
loyalty_pip_4_Tooltip_3b000d	A general's loyalty affects how susceptible they are to bribes or defection.||Loyalty can be increased by promotion to office, becoming an heir or being married into the clan.||It can be lost by having these things taken from them or having a family member of theirs traded as a hostage. 	false
loyalty_pip_5_Tooltip_3b000d	A general's loyalty affects how susceptible they are to bribes or defection.||Loyalty can be increased by promotion to office, becoming an heir or being married into the clan.||It can be lost by having these things taken from them or having a family member of theirs traded as a hostage. 	false
loyalty_pip_6_Tooltip_3b000d	A general's loyalty affects how susceptible they are to bribes or defection.||Loyalty can be increased by promotion to office, becoming an heir or being married into the clan.||It can be lost by having these things taken from them or having a family member of theirs traded as a hostage. 	false
loyalty_pip_7_Tooltip_3b000d	A general's loyalty affects how susceptible they are to bribes or defection.||Loyalty can be increased by promotion to office, becoming an heir or being married into the clan.||It can be lost by having these things taken from them or having a family member of theirs traded as a hostage. 	false
loyalty_pip_8_Tooltip_3b000d	A general's loyalty affects how susceptible they are to bribes or defection.||Loyalty can be increased by promotion to office, becoming an heir or being married into the clan.||It can be lost by having these things taken from them or having a family member of theirs traded as a hostage. 	false
loyalty_pip_9_Tooltip_3b000d	A general's loyalty affects how susceptible they are to bribes or defection.||Loyalty can be increased by promotion to office, becoming an heir or being married into the clan.||It can be lost by having these things taken from them or having a family member of theirs traded as a hostage. 	false
tx_town_NewState_Text_110055	Other	true
txt_building browser_Tooltip_720013	On this panel you can see what buildings you can build and how far you can develop them.||Move your cursor over the details below for more information.	false
CharacterAttribute_primary_sea_command_Tooltip_6c0032	Admiral	false
duel_Tooltip_350050	Duelling is the proper way to resolve disagreements and disputes.||This button will open up the Duel panel which will give you more tips about duelling and its use.	false
button_diplomacy_Tooltip_b0063	diplomacy	false
panel_heading_NewState_Text_20022	Clan	true
demands_title_faction_right_Tooltip_3d001f	Balance their offers against their demands to make sure you're getting a good deal.||If they are a rich nation any money offers should be generous.||If you are not happy with the offers you can make a counteroffer.	false
txt_surround_box_NewState_Text_74003a	Territories	false
checkbox_full_down_off_Tooltip_69002a	Hiding full games||Click this box to show full games.||Full games can sometimes become available if a player drops out.	true
tx_total_koku_NewState_Text_460007	Total koku earned	true
dy_state-religion_Tooltip_60023	State religion is determined by your nation's leader.||Individual regions have their own religion and their happiness may be affected if it differs from the state's.||Nations with the same religion will find common ground together and are more likely to get on.||This is an important factor when engaging in diplomacy. 	false
status_Tooltip_7f000b	Here you can find each of your agent's current location.||Left-click to jump to their location on the main map.	false
replenish_icon_fast_Tooltip_34001f	Fast replenishment rate || This unit is recruitable in this region.  	false
