key	text	tooltip
#Loc;1;text/db/battlefield_buildings_names.loc		
battlefield_buildings_names_string_key_Church	Church	true
battlefield_buildings_names_string_key_Cart	Cart	true
battlefield_buildings_names_string_key_Fort	Fort	true
battlefield_buildings_names_string_key_Warehouse	Warehouse	true
battlefield_buildings_names_string_key_Farm_Building	Farm Building	true
battlefield_buildings_names_string_key_Barrel	Barrel	true
battlefield_buildings_names_string_key_Command_Post	Command Post	true
battlefield_buildings_names_string_key_House	House	true
battlefield_buildings_names_string_key_Gate	Gate	true
battlefield_buildings_names_string_key_Armoury	Armoury	true
battlefield_buildings_names_string_key_Hut	Hut	true
battlefield_buildings_names_string_key_Ruin	Ruin	true
battlefield_buildings_names_string_key_Religious_Building	Religious Building	true
battlefield_buildings_names_string_key_Town_Hall	Town Hall	true
battlefield_buildings_names_string_key_Building	Building	true
battlefield_buildings_names_string_key_Fence	Fence	true
battlefield_buildings_names_string_key_Windmill	Windmill	true
