key	text	tooltip
#Loc;1;text/db/advice_levels.loc		
advice_levels_onscreen_text_1489756505	Một thị trấn lâu đài không có quân đồn trú sẽ tự động tạo ra các đơn vị samurai tùy tùng và phụ nữ để phòng thủ khi bị tấn công. Dù họ không hiệu quả bằng quân chính quy trong trận chiến và không thể rời khỏi thị trấn nơi họ xuất hiện, họ vẫn có thể xử lý tốt các vấn đề trật tự công cộng hằng ngày.	true
advice_levels_onscreen_text_2139657820	Các đặc vụ được tuyển trực tiếp từ một tỉnh thông qua thẻ tuyển dụng trên bảng tổng quan. Việc tuyển dụng diễn ra ngay lập tức, nhưng chi phí có thể thay đổi tùy theo nhiều yếu tố, như sự hiện diện của một số công trình, đặc điểm của gia tộc hoặc nhân vật.	true
advice_levels_onscreen_text_2139657920	Các nhà truyền giáo có thể cải đạo dân cư trong các tỉnh và cả những đặc vụ khác sang tôn giáo của họ, mặc dù việc một nhà truyền giáo cải đạo một nhà sư sẽ khó hơn và ngược lại. Việc cải đạo dân cư sang Cơ Đốc giáo diễn ra đơn giản chỉ bằng sự hiện diện của nhà truyền giáo trong tỉnh.	true
advice_levels_onscreen_text_2139658820	Geisha có thể truyền cảm hứng cho quân đội của chúng ta và nâng cao tinh thần chiến đấu của họ, một kỹ năng hữu ích nếu họ sẽ chiến đấu trong cùng lượt. Để truyền cảm hứng, chỉ cần chọn một geisha, nhấp chuột phải vào đạo quân mục tiêu và chọn “inspire” từ các tùy chọn hiển thị.	true
advice_levels_onscreen_text_2139659220	Với điều này, các tùy chọn chiến đấu và chế độ chơi mới đã được mở cho bạn. Các trận đấu ghép trận giờ cho phép bạn tìm đối thủ trong các loại trận hải chiến, công thành và chiến đấu trên bộ.	true
advice_levels_onscreen_text_2139659321	Kho bạc cho biết số tiền hiện có trong ngân khố của gia tộc và được hiển thị bên cạnh thu nhập dự kiến cho lượt tiếp theo.	true
advice_levels_onscreen_text_2139659721	Công trình xưởng rèn tăng giáp và khả năng phòng thủ cận chiến cho tất cả các đơn vị.	true
advice_levels_onscreen_text_1387459530	Lực lượng đánh vu hồi có thể trở thành lực lượng ghìm chân. Nếu bạn tung một lực lượng lớn để đánh vòng và không tấn công trực diện, kẻ địch sẽ buộc phải quay lại đối phó với bạn, khiến sườn của họ lộ ra trước lực lượng trung tâm của bạn.	true
advice_levels_onscreen_text_2139658422	Có hai loại nổi loạn. Một vị tướng có lòng trung thành quá thấp có thể cố gắng lập gia tộc riêng thay vì đào ngũ sang gia tộc khác. Khi điều này xảy ra, ông ta sẽ chiêu mộ quân đội và cố chiếm thị trấn lâu đài gần nhất. Bạo loạn của nông dân cũng có thể leo thang thành nổi dậy quy mô lớn.	true
advice_levels_onscreen_text_2139659122	Hãy dành chút thời gian khám phá màn hình avatar trước khi nhấn nút bản đồ chinh phục trên thanh điều hướng để quay lại chiến dịch chinh phục Nhật Bản.	true
advice_levels_onscreen_text_2139659722	Những người đứng đầu gia tộc sở hữu cả Shogun 2 và Fall of the Samurai có thể chọn hai kỹ năng đặc biệt cho gia tộc của mình.	true
advice_levels_onscreen_text_1170317847	Một khối quân dày đặc là mục tiêu tuyệt vời cho các đơn vị bắn tên trên chiến trường. Hãy tiếp tục bắn phá và chúng sẽ chịu thương vong!	true
advice_levels_onscreen_text_2139658223	Điều quan trọng là chúng ta phải mở rộng quyền lực ra ngoài phạm vi Satsuma. Osumi nên là mục tiêu đầu tiên. Chúng ta đã đang chiến tranh với gia tộc Ito đang cai trị nơi đó, và lâu đài của họ nằm nguy hiểm gần biên giới của ta – nó phải bị chiếm trước khi Ito kịp tập hợp quân đội. Sau đó chúng ta có thể tiếp tục khuất phục hoàn toàn họ hoặc mở rộng sang Higo. Hiện tại chúng ta chưa xung đột với Sagara – những người cai trị vùng đó – nhưng chiếm được tỉnh của họ sẽ mang lại nguồn ngựa chiến thượng hạng và hương vị của chiến thắng lâu dài. Khi toàn bộ Kyushu phía nam nằm dưới quyền kiểm soát của ta, không gia tộc nào khác có thể chống lại. Kyushu sẽ thuộc về chúng ta!	true
advice_levels_onscreen_text_2139659423	Hao mòn là sự mất quân do đào ngũ, bệnh tật, v.v. Một đạo quân sẽ chịu hao mòn nếu kết thúc lượt ở ngoài khu định cư trong những tháng mùa đông.	true
advice_levels_onscreen_text_2139659723	Bảng cạnh tranh gia tộc cung cấp nhiều bộ lọc bản đồ, hiển thị thông tin quan trọng về trạng thái hiện tại của từng thế giới trò chơi và giúp các gia tộc hoạch định con đường chiến thắng.	true
advice_levels_onscreen_text_2139658024	Thỉnh thoảng, các nhiệm vụ sẽ được giao bởi gia tộc của chúng ta, bởi Shogun, hoặc nếu thích hợp, bởi các đối tác thương mại châu Âu. Mục tiêu nhiệm vụ có thể xem trong danh sách mục tiêu dưới bản đồ radar hoặc trong thẻ tổng quan của bảng quản lý gia tộc. Không có hình phạt nếu thất bại, nhưng hoàn thành thành công sẽ mang lại phần thưởng, thường là các hiệu ứng thưởng. Nếu một nhiệm vụ trở nên không thể hoàn thành do các yếu tố ngoài tầm kiểm soát, nó sẽ bị hủy.	true
advice_levels_onscreen_text_2139658524	Bằng sức mạnh quân sự và niềm tin vững chắc, chúng ta sẽ chiến thắng. Sự chống đối đối với con đường Jodo Shinshu sẽ vẫn rất mạnh mẽ, và Shogun cũng không ngoại lệ. Nếu ông ta coi chúng ta là mối đe dọa, ông ta sẽ không dừng lại cho đến khi dân chúng của chúng ta bị khuất phục hoàn toàn. Khi ngày đó đến, chúng ta phải chiếm Kyoto cho riêng mình. Khi một người Shimozuma cai trị Mạc phủ nhân danh chúng ta, toàn bộ Nhật Bản sẽ biết sức mạnh của chúng ta. Ikko Ikki sẽ được tự do!	true
advice_levels_onscreen_text_2139659024	Đây là màn hình quản lý quân đội nơi bạn có thể tạo đạo quân của mình. Ban đầu bạn được cung cấp một số đơn vị, mỗi đơn vị có thế mạnh riêng trên chiến trường. Nhấp đúp chuột trái vào thẻ đơn vị để thêm đơn vị đó vào quân đội.	true
advice_levels_onscreen_text_1212661715	Ra lệnh cho toàn bộ quân đội tấn công cùng lúc sẽ làm mất cơ hội giành lợi thế. Ngay cả khi bạn có đủ sức mạnh để thắng, bạn sẽ mất nhiều binh lính hơn mức cần thiết.	true
advice_levels_onscreen_text_2045097248	Đàn áp là việc thực thi quyền cai trị bằng sự hiện diện của quân đồn trú. Các chấm xám trong mục trật tự công cộng của bảng này biểu thị sự đàn áp thông qua sự đe dọa từ các đơn vị đồn trú. Dù hữu ích để giữ trật tự, nhưng nổi dậy sau một thời gian đàn áp nặng nề có thể rất khó dập tắt.	true
advice_levels_onscreen_text_2047305771	Tùy chọn này yêu cầu một gia tộc trở thành chư hầu của chúng ta. Gia tộc chư hầu có thể tận dụng sức mạnh quân sự của lãnh chúa để đổi lấy 50% thu nhập và quyền đi lại quân sự không giới hạn. Tuy nhiên, không giống đồng minh thông thường, chư hầu không thể từ chối yêu cầu chiến đấu cho lãnh chúa của mình; họ chỉ có thể giành lại độc lập bằng cách tuyên chiến với lãnh chúa đó.	true
advice_levels_onscreen_text_2139658125	Chúng ta là gia tộc Oda. Đây là thời kỳ khó khăn cho gia tộc. Không chỉ đang chiến tranh trên hai mặt trận, chúng ta còn bị cuốn vào nội chiến – sự đấu đá nội bộ đe dọa xé nát gia tộc từ bên trong. Vì vậy ưu tiên hàng đầu của chúng ta là dập tắt sự bất ổn và thống nhất dưới một lá cờ. Khi trật tự được khôi phục, chúng ta có thể xây dựng sức mạnh và mở rộng ảnh hưởng sang các tỉnh lân cận.	true
advice_levels_onscreen_text_2139658725	Shinobi có thể phá hoại một đạo quân đối thủ, làm giảm khả năng di chuyển của họ trong một lượt và gây thương vong bằng cách đầu độc nguồn thức ăn và nước uống. Nhấp chuột phải vào đạo quân đối thủ và chọn tùy chọn phá hoại quân đội.	true
advice_levels_onscreen_text_2139659525	Chi tiết về điều kiện chiến thắng và nhiệm vụ được lưu tại đây. Mỗi gia tộc có một số mục tiêu chinh phục lãnh thổ cố định cần hoàn thành để đạt chiến thắng. Chúng được hiển thị ở đầu thẻ này. Nhấp vào nhiệm vụ để xem thời gian còn lại hoặc đọc lại chi tiết.	true
advice_levels_onscreen_text_2139657826	Mỗi vị tướng có chỉ số trung thành để xác định khả năng bị mua chuộc, rời bỏ gia tộc hoặc đào ngũ sang gia tộc khác. Lòng trung thành bị ảnh hưởng bởi nhiều yếu tố như danh dự của daimyo, chiến thắng vang dội, hôn nhân trong gia tộc, được chọn làm người thừa kế, các đặc điểm và kỹ năng nhân vật, quyết định trong các tình huống khó xử, hoặc việc được bổ nhiệm làm quan chức. Nếu lòng trung thành quá thấp, đôi khi không còn lựa chọn nào khác ngoài việc ra lệnh cho họ mổ bụng seppuku.	true
advice_levels_onscreen_text_2139658326	Bảng ghép trận chiến cho phép bạn ghép ngẫu nhiên với đối thủ hoặc tham gia đội cùng người chơi khác trong các trận multiplayer. Nhấp vào biểu tượng để chọn loại trận chiến bạn muốn. Nếu muốn trận đấu được xếp hạng hoặc đóng góp cho cuộc thi gia tộc, bạn phải chọn tùy chọn này.	true
advice_levels_onscreen_text_2139659126	Đây là màn hình bộ giáp. Tại đây bạn có thể xem các mảnh giáp hiện có và những mảnh chưa mở khóa. Mỗi mảnh thuộc về một bộ; khi thu thập đủ cả bộ, bạn sẽ nhận được một tùy tùng đặc biệt.	true
advice_levels_onscreen_text_2139658427	Sự giàu có của một tỉnh là tổng thu nhập cơ bản từ thị trấn lâu đài, trang trại, cảng và các công trình đặc biệt của tỉnh, trừ đi thuế – phần này là thu nhập của chúng ta. Nó được hiển thị ở góc dưới bên trái bảng chi tiết tỉnh. Góc dưới bên phải cho thấy các yếu tố ảnh hưởng đến tăng trưởng kinh tế trong mùa tới và các mùa sau.	true
advice_levels_onscreen_text_2139658627	Khi đặt một monomi trong thị trấn lâu đài của chúng ta, hắn sẽ thiết lập mạng lưới gián điệp tại đó. Điều này tăng tầm nhìn của tỉnh, giúp phát hiện đặc vụ và quân đội ẩn, đồng thời giảm khả năng kẻ địch kích động nổi loạn.	true
advice_levels_onscreen_text_2139658927	Giờ đây một gia tộc có thể đưa hai đạo quân, mỗi đạo tối đa 20 đơn vị, vào một trận chiến. Đạo quân thứ hai sẽ vào chiến trường như quân tiếp viện và không thể di chuyển trong giai đoạn triển khai. Khi có hơn 20 đơn vị, hàng đơn vị thứ hai sẽ xuất hiện trên bảng chiến đấu. Quân tiếp viện vượt quá giới hạn 40 đơn vị phải chờ cho đến khi có chỗ.	true
advice_levels_onscreen_text_2139659027	Việc thêm đơn vị vào quân đội tốn điểm. Khi tạo quân lần đầu bạn có 5000 điểm. Theo thời gian số điểm tăng lên, cho phép triển khai nhiều và mạnh hơn.	true
advice_levels_onscreen_text_2139659327	Khi sự bất mãn quá lớn, nông dân sẽ nổi loạn. Nguyên nhân có thể là: danh dự daimyo thấp, mức phát triển gia tộc, thuế cao, hoặc sự hiện diện của quân địch trong tỉnh.	true
advice_levels_onscreen_text_2139657928	Khi đặc vụ tích lũy kinh nghiệm, bạn có thể chọn kỹ năng từ cây kỹ năng. Cây kỹ năng hiển thị mỗi khi lên cấp, cho phép bạn tùy chỉnh khả năng của đặc vụ.	true
advice_levels_onscreen_text_2139659428	Quân đội không thể vào cảng hoặc công trình bên ngoài khu định cư. Tuy nhiên chúng có thể bảo vệ nếu nằm trong vùng kiểm soát. Quân địch và cảng có thể bị cướp bóc giống tuyến thương mại.	true
advice_levels_onscreen_text_2139659628	Trước khi xem danh sách đơn vị chính, hãy xem kỹ đơn vị cựu binh bạn vừa tuyển từ trận trước. Chọn thẻ veteran.	true
advice_levels_onscreen_text_2139658129	Từ lâu chúng ta thèm muốn tỉnh Mikawa ở phía đông. Việc lãnh chúa Tokugawa trở thành chư hầu của Imagawa càng khiến nó hấp dẫn hơn; Mikawa màu mỡ và có ngựa chiến tốt, cần thiết cho kỵ binh mạnh. Mino kém quan trọng hơn, nhưng gia tộc Saito yếu hơn.	true
advice_levels_onscreen_text_2139658229	Tuy nhiên phải cẩn thận với Kyoto; nếu Mạc phủ xem sự lớn mạnh của chúng ta là mối đe dọa, chúng ta phải chuẩn bị chống lại Shogun và đồng minh của ông ta.	true
advice_levels_onscreen_text_2139658829	Geisha có thể tăng lòng trung thành của tướng và tăng trưởng thị trấn bằng cách giải trí cho họ. Chọn geisha và nhấp chuột phải vào tướng hoặc khu định cư rồi chọn entertain.	true
advice_levels_onscreen_text_2139659229	Chế độ Team cho phép bạn chiến đấu cùng bạn bè.	true
advice_levels_onscreen_text_1793105569	Võ đường cung thuật đã hoàn thành. Gia tộc Chosokabe nổi tiếng về cung thủ; giờ bạn có thể tuyển samurai cung.	true
advice_levels_onscreen_text_1649185866	Địa hình ảnh hưởng tốc độ di chuyển. Đi trên đường hoặc cỏ thấp sẽ nhanh nhất.	true
advice_levels_onscreen_text_1987386455	Thưa chủ nhân, tỉnh này bất ổn vì đa số dân theo tôn giáo khác. Hãy gửi nhà truyền giáo đến cải đạo.	true
advice_levels_onscreen_text_2139658330	Danh sách trận chiến cho phép tạo hoặc tham gia trận multiplayer. Chọn host battle để tạo trận.	true
advice_levels_onscreen_text_2139658930	Sau khi xây cảng thương mại, nó có thể nâng cấp thành khu thương mại của các cường quốc nước ngoài, giúp tăng thu nhập và tăng trưởng.	true
advice_levels_onscreen_text_2139659130	Một số mảnh giáp có thể nhận khi chinh phục tỉnh, số khác rơi ngẫu nhiên sau trận. Khi có được, bạn có thể thay đổi ngoại hình avatar.	true
advice_levels_onscreen_text_1247116376	Khi địch có nhiều quân nhẹ hoặc kỵ binh nhanh, hãy đưa bộ binh nhẹ lại gần đơn vị hỗ trợ để tránh bị bắt lẻ.	true
advice_levels_onscreen_text_2139659131	Khi sẵn sàng, nhấn nút conquest map để quay lại bản đồ.	true
advice_levels_onscreen_text_1258457621	Tất cả nam giới trong gia tộc trở thành tướng khi trưởng thành. Ngoài ra có thể nhận tướng mới thông qua nhận con nuôi.	true
advice_levels_onscreen_text_1762719010	Dùng ninja phá hoại công trình địch. Nhấp chuột phải vào lâu đài và chọn công trình cần phá.	true
advice_levels_onscreen_text_2139658132	Tỉnh Ise trung lập nổi tiếng về truyền thống tôn giáo và các nhà sư giỏi.	true
advice_levels_onscreen_text_2139658532	Bạn đã chọn phục kích. Quân ta có thể triển khai hai bên đường để tấn công đoàn quân đang hành quân.	true
advice_levels_onscreen_text_2139659732	Khi thắng cuộc thi gia tộc hoặc thăng hạng, thành viên nhận phần thưởng để tùy chỉnh avatar.	true
advice_levels_onscreen_text_2139657833	Bạn đã lựa chọn khôn ngoan. Hậu quả của lựa chọn hiển thị ở phía trên màn hình.	true
advice_levels_onscreen_text_2139658433	Khi daimyo trở thành Shogun, chúng ta nhận kỵ binh Shogun, chiến hạm Nihon Maru, +10% thuế và tăng sĩ khí toàn quân.	true
advice_levels_onscreen_text_2139658733	Shinobi có thể đột nhập khu định cư và phá cổng trước trận công thành.	true
advice_levels_onscreen_text_2139658933	Nhóm chọn giúp chọn đơn vị nhanh bằng phím. Tạo tối đa 10 nhóm bằng cách chọn đơn vị và nhấn G.	true
advice_levels_onscreen_text_2139659033	Tiếp tục thêm đơn vị cho đến khi dùng hết điểm để có quân mạnh nhất.	true
advice_levels_onscreen_text_1216301252	Mục tiêu nằm ngoài phạm vi. Nhân vật sẽ tiếp tục di chuyển vào mùa sau nếu không bị chặn.	true
advice_levels_onscreen_text_2139658634	Ba gia tộc lớn trong chiến tranh Gempei chia thành hai nhánh. Mục tiêu chiến dịch là giành bá quyền.	true
advice_levels_onscreen_text_2139659134	Đã đến lúc mở rộng danh sách đơn vị. Kéo avatar tới tỉnh được đánh dấu.	true
advice_levels_onscreen_text_2139659334	Chúng ta có thể phát triển thương mại bằng cách nâng cấp cảng và công trình đặc biệt.	true
advice_levels_onscreen_text_2139659035	Đây là bản đồ chinh phục avatar.	true
advice_levels_onscreen_text_1069434121	Trò chơi đang ghép bạn với đối thủ online.	true
advice_levels_onscreen_text_1213263346	Mục tiêu là chiếm lâu đài, không phải phá hủy nó.	true
advice_levels_onscreen_text_1247657405	Ninja có thể phá hoại quân địch bằng cách đầu độc lương thực.	true
advice_levels_onscreen_text_2139658236	Chúng ta là gia tộc Tokugawa... (mô tả hoàn cảnh lịch sử của họ).	true
advice_levels_onscreen_text_2139658736	Shinobi trong quân đội tăng tầm nhìn và phạm vi di chuyển.	true
advice_levels_onscreen_text_2139659536	Gia tộc có thể gửi con tin để đảm bảo thỏa thuận ngoại giao.	true
advice_levels_onscreen_text_1255536732	Drop-in battle cho phép người chơi thay AI trong trận chiến chiến dịch.	true
advice_levels_onscreen_text_1264671506	Gia tộc có thể kiếm thêm tiền bằng cách ký hiệp định thương mại.	true
advice_levels_onscreen_text_2139659137	Avatar đã đến tỉnh có dojo; chiếm nó để mở đơn vị mới.	true
advice_levels_onscreen_text_2139659437	Lãnh thổ rộng khiến chi phí tăng; nâng cấp khu định cư để thu thuế hiệu quả.	true
advice_levels_onscreen_text_2139657938	Khi đạt cấp cao nhất của chuỗi công trình, có thể xây công trình huyền thoại.	true
advice_levels_onscreen_text_2139658038	Tùy chọn đe dọa trong ngoại giao giúp ép đối phương.	true
advice_levels_onscreen_text_2139658438	Nếu tướng chết khi quân đang tháo chạy, họ sẽ bị tan rã hoàn toàn.	true
advice_levels_onscreen_text_2139659638	Battle list mode cho phép tạo trận tùy chỉnh với người chơi khác.	true
advice_levels_onscreen_text_2139658039	Trang trại cung cấp lương thực, thị trấn tiêu thụ lương thực.	true
advice_levels_onscreen_text_2139658839	Geisha có thể làm chậm quân hoặc đồn trú bằng màn biểu diễn quyến rũ.	true
advice_levels_onscreen_text_2139659039	Avatar đã đặt tại tỉnh đã chọn; nhấn match-made battle để chiến đấu.	true
advice_levels_onscreen_text_2139659539	Mục tiêu ngoài phạm vi lượt này; nhân vật sẽ tiếp tục di chuyển lượt sau.	true
advice_levels_onscreen_text_2139659739	Gia nhập gia tộc cho phép thu thập clan token sau mỗi trận.	true
advice_levels_onscreen_text_1223289843	Công trình bị phá hoại hoặc hư hại có thể sửa chữa.	true
advice_levels_onscreen_text_1242280643	Có nhiều nghệ thuật mới để nghiên cứu; mở bảng mastery of the arts.	true
advice_levels_onscreen_text_1245539238	Nhiệt độ quá nóng hoặc lạnh gây mệt mỏi cho đơn vị.	true
advice_levels_onscreen_text_1902310453	Thành trì của bạn đã hoàn thành; giờ có thêm vị trí xây dựng.	true
advice_levels_onscreen_text_1250177041	Ninja có thể được tuyển từ sake den.	true
advice_levels_onscreen_text_2106738216	Màn hình này cho phép tìm drop-in battle online.	true
advice_levels_onscreen_text_2139658300	Bạn có thể xem bộ giáp đã thu thập; hoàn thành bộ sẽ nhận tùy tùng.	true
advice_levels_onscreen_text_2139659700	Nhà nông tăng sức bền và tốc độ di chuyển của đơn vị.	true
advice_levels_onscreen_text_2139658201	Chúng ta là gia tộc Takeda… (giới thiệu bối cảnh chiến tranh của họ).	true
advice_levels_onscreen_text_2139658301	Màn hình hiển thị xếp hạng multiplayer trên bộ và biển.	true
advice_levels_onscreen_text_2139658401	Daimyo có danh dự thay vì trung thành; danh dự ảnh hưởng lòng trung thành của tướng.	true
advice_levels_onscreen_text_2139659101	Thất bại! Nhưng bạn đã thu được kinh nghiệm quý giá.	true
advice_levels_onscreen_text_2139657902	Quân vận chuyển bằng hạm đội có thể đổ bộ tấn công bờ biển.	true
advice_levels_onscreen_text_2139658202	Ưu tiên đầu tiên là chấm dứt các cuộc xâm lược từ Shinano.	true
advice_levels_onscreen_text_2139658402	Di chuyển ninja vào Sanuki và phá cổng thành của Sogo.	true
advice_levels_onscreen_text_2139659302	Trang trại và công trình nông nghiệp tăng thu nhập toàn tỉnh.	true
advice_levels_onscreen_text_2139659602	Lãnh địa Tsu – gia tộc Todo đứng về phía Hoàng đế chống Mạc phủ.	true
advice_levels_onscreen_text_1558013053	Có thể nâng cấp đường để tăng tầm nhìn và tốc độ tiếp viện.	true
advice_levels_onscreen_text_2139657803	Nhà truyền giáo có thể cải đạo, truyền cảm hứng cho quân ta, làm suy giảm tinh thần quân địch hoặc kích động nổi loạn.	true
advice_levels_onscreen_text_2139657903	Kẻ địch đã mở một cuộc tấn công ven biển vào một trong những đạo quân của ta trên chiến trường. Nếu chấp nhận, quân ta sẽ tiến ra giao chiến với quân tấn công. Nếu từ chối tham chiến, lực lượng của ta sẽ rút lui.	true
advice_levels_onscreen_text_2139658503	Thẻ Records dùng để ghi lại các thông tin quan trọng về những sự kiện đã xảy ra và các thống kê được thu thập trong suốt chiến dịch.	true
advice_levels_onscreen_text_2139658703	Nếu bạn tấn công một cảng khi có hạm đội đang neo đậu tại đó, bạn sẽ phải chiến đấu trong một trận chiến cảng. Điều này tương tự như một cuộc vây hãm, trong đó hạm đội đang neo đậu đóng vai trò phòng thủ và được hỗ trợ bởi các công trình phòng thủ ven biển.	true
advice_levels_onscreen_text_2139658803	Geisha là một nghệ sĩ giải trí truyền thống, sử dụng kỹ năng của mình để mê hoặc, truyền cảm hứng, giải trí và đánh lạc hướng. Geisha có thể dùng khả năng mê hoặc để thuyết phục mục tiêu gia nhập phe ta. Họ cũng có thể giải trí cho giới quý tộc ở các thị trấn thân thiện để tăng trưởng của thị trấn và truyền cảm hứng cho các tướng lĩnh đồng minh ngoài chiến trường, từ đó tăng lòng trung thành và chống lại nỗ lực hối lộ hoặc mê hoặc của điệp viên địch. Xem phần nhân vật trong bách khoa toàn thư để biết thêm chi tiết.	true
advice_levels_onscreen_text_2139658903	Chiến tranh Boshin là cuộc xung đột giữa lực lượng của Mạc phủ và phe của Thiên Hoàng. Mỗi gia tộc phải tuyên thệ trung thành với một trong hai bên. Mục tiêu của chiến dịch là giành được sự trung thành với phe ta và chiếm lãnh thổ. Khi danh tiếng của gia tộc đạt đến một mức nhất định, chúng ta phải chọn đứng về một bên hoặc cố gắng tự mình kiểm soát đất nước. Lựa chọn cuối cùng sẽ khiến hầu hết đồng minh quay lưng chống lại chúng ta.	true
advice_levels_onscreen_text_2139659203	Vì các kỹ năng có chi phí khác nhau, khi dùng điểm kỹ năng, chi phí duy trì đơn vị này sẽ tăng lên. Mọi thay đổi chi phí có thể xem trong phần mô tả của kỹ năng. Khi hoàn tất, nhấn nút dấu tích để quay lại thẻ Veteran.	true
advice_levels_onscreen_text_2139659303	Khu định cư là trung tâm hành chính chính của một tỉnh. Tùy theo quy mô, nó được phân loại thành thị trấn, thị trấn lớn, thành phố, đô thị và phủ. Tại đây cũng có các công trình thương mại và quân sự.	true
advice_levels_onscreen_text_2139659403	Tiền sẽ bị trừ khỏi kho bạc của chúng ta vào đầu mỗi lượt để trả lương và cung cấp nhu yếu phẩm cho quân đội. Đây được gọi là chi phí duy trì đơn vị.	true
advice_levels_onscreen_text_2139657704	Thẻ Summary hiển thị các thông tin quan trọng về tình trạng của gia tộc như hiệu ứng thưởng và danh tiếng của gia tộc tại một nơi để dễ tham khảo. Di chuột vào để xem chi tiết.	true
advice_levels_onscreen_text_2139658104	Chúng ta là Chosokabe. Cho đến gần đây, quê hương Tosa của chúng ta do gia tộc Ichijo kiểm soát và chúng ta là chư hầu của họ. Sự suy giảm uy tín của Ichijo trong tỉnh cùng với ảnh hưởng ngày càng tăng của chúng ta đã cho phép chúng ta chiếm quyền kiểm soát. Giờ đây, chỉ còn việc tiêu diệt tàn dư kháng cự của Ichijo. Khi điều đó hoàn tất, không gì có thể ngăn cản việc chinh phục Shikoku.	true
advice_levels_onscreen_text_2139658704	Đường sắt có thể được xây dựng tại các tỉnh có công trình đặc biệt phù hợp. Mỗi gia tộc chỉ có một tuyến. Cả quân đội và điệp viên đều có thể sử dụng đường sắt. Nhấp chuột phải vào ga để di chuyển tới đó như với bất kỳ mục tiêu nào. Khi đến ga, bản đồ các điểm đến sẽ hiện ra và bạn có thể chọn để di chuyển tức thì. Bạn cũng có thể dùng ga của các gia tộc đã cấp quyền đi lại quân sự cho mình.	true
advice_levels_onscreen_text_1572526606	Khi tấn công kẻ địch trên đồi, hãy tiến lên theo sườn dốc thoai thoải nhất, ngay cả khi mất nhiều thời gian hơn. Như vậy binh lính sẽ ít bị kiệt sức khi lên đến đỉnh.	true
advice_levels_onscreen_text_2139659505	Những phần bản đồ dạng hai chiều “được vẽ” là do sương mù chiến tranh. Mặc dù vị trí địa lý, biên giới và khu định cư được biết rõ, nhưng nếu không có điệp viên và hạm đội thì các gia tộc không thể biết được sự di chuyển của lực lượng đối phương cho đến khi quá muộn. Sương mù chiến tranh mô phỏng điều này. Hãy dùng lực lượng của ta để khám phá âm mưu của kẻ thù trước khi chúng hành động!	true
advice_levels_onscreen_text_2139659006	Khi bạn đã hài lòng với diện mạo avatar của mình, hãy đặt tên cho anh ta và nhấn nút dấu tích để tiếp tục.	true
advice_levels_onscreen_text_2139659306	Quân lính có thể đồn trú trong khu định cư để phòng thủ khi bị tấn công. Khi ở đó họ cũng giúp răn đe xu hướng nổi loạn của dân cư.	true
