key	text	tooltip
#Loc;1;text/db/resources.loc		
resources_onscreen_text_res_bos_tea	Tea	true
resources_onscreen_text_res_sho_wood	Wood	true
resources_onscreen_text_res_sho_iron	Iron	true
resources_onscreen_text_res_gem_silk	Raw Silk	true
resources_onscreen_text_res_tobacco	Tobacco	true
resources_onscreen_text_res_gem_wood	Wood	true
resources_onscreen_text_res_gem_iron	Iron	true
resources_onscreen_text_res_sho_silk	Raw Silk	true
resources_onscreen_text_res_sho_stone	Stone	true
resources_onscreen_text_res_bos_coal	Coal	true
resources_onscreen_text_res_bos_iron	Iron	true
resources_onscreen_text_res_bos_silk	Silk	true
resources_onscreen_text_res_coffee	Coffee	true
resources_description_res_bos_cotton	This enables construction of advanced industrial buildings	true
resources_description_res_bos_silk	This enables construction of advanced industrial and speciality buildings	true
resources_description_res_bos_iron	This enables construction of advanced port and speciality buildings	true
resources_onscreen_text_res_cotton	Cotton	true
resources_description_res_sho_crafts	This enables construction of a kabunakama.	true
resources_description_res_bos_copper	This enables construction of advanced port buildings	true
resources_description_res_bos_coal	This enables construction of advanced railway buildings	true
resources_onscreen_text_res_cattle	Cattle	true
resources_onscreen_text_res_silver	Silver	true
resources_onscreen_text_res_spices	Spices	true
resources_description_res_sho_horses	This enables construction of advanced cavalry buildings.	true
resources_description_res_sho_cotton	This enables construction of a legendary yari school.	true
resources_onscreen_text_res_timber	Timber	true
resources_description_res_gem_scrolls	This enables construction of advanced educational and speciality buildings.	true
resources_description_res_sho_silk	This enables construction of legendary entertainment and bow buildings.	true
resources_description_res_tea	placeholder	true
resources_description_res_gem_iron	This enables construction of advanced military and blacksmith buildings.	true
resources_description_res_gem_wood	This enables construction of advanced ports and castles.	true
resources_description_res_gem_silk	This enables construction of advanced smuggling and pirate buildings.	true
resources_description_res_sho_iron	This enables construction of advanced sword buildings.	true
resources_description_res_sho_wood	This enables construction of advanced ports and ships.	true
resources_description_res_gem_crafts	This enables construction of advanced market buildings.	true
resources_description_res_sho_stone	This enables construction of Imperial roads and citadels.	true
resources_description_res_cotton	placeholder	true
resources_onscreen_text_res_bos_copper	Copper	true
resources_onscreen_text_res_sho_crafts	Crafts	true
resources_onscreen_text_res_sheep	Sheep	true
resources_description_res_cattle	placeholder	true
resources_onscreen_text_res_sugar	Sugar	true
resources_onscreen_text_res_wheat	Wheat	true
resources_description_res_fish	placeholder	true
resources_description_res_furs	placeholder	true
resources_description_res_corn	placeholder	true
resources_description_res_coffee	placeholder	true
resources_onscreen_text_res_bos_cotton	Cotton	true
resources_description_res_bos_machines	This enables construction of advanced speciality buildings	true
resources_description_res_tobacco	placeholder	true
resources_onscreen_text_res_gem_crafts	Crafts	true
resources_description_res_iron	placeholder	true
resources_description_res_wine	placeholder	true
resources_onscreen_text_res_ivory	Ivory	true
resources_description_res_gems	placeholder	true
resources_description_res_bos_tea	This enables construction of advanced business buildings	true
resources_description_res_gold	placeholder	true
resources_description_res_rice	placeholder	true
resources_description_res_spices	placeholder	true
resources_description_res_silver	placeholder	true
resources_onscreen_text_res_sho_horses	Warhorses	true
resources_onscreen_text_res_sho_cotton	Cotton	true
resources_description_res_timber	placeholder	true
resources_description_res_sho_medicine	This enables construction of legendary temples.	true
resources_onscreen_text_res_sho_medicine	Incense	true
resources_onscreen_text_res_gem_scrolls	Chinese Texts	true
resources_onscreen_text_res_rice	Rice	true
resources_onscreen_text_res_gold	Gold	true
resources_onscreen_text_res_gems	Gems	true
resources_onscreen_text_res_wine	Wine	true
resources_onscreen_text_res_iron	Iron	true
resources_description_res_sheep	placeholder	true
resources_onscreen_text_res_tea	Tea	true
resources_description_res_sugar	placeholder	true
resources_description_res_wheat	placeholder	true
resources_onscreen_text_res_bos_machines	Machines	true
resources_onscreen_text_res_furs	Furs	true
resources_onscreen_text_res_corn	Corn	true
resources_onscreen_text_res_fish	Fish	true
resources_description_res_ivory	placeholder	true
