key	text	tooltip
#Loc;1;text/db/ancillaries.loc		
ancillaries_onscreen_name_s2anc_sp_bosh_servant_chef_noodle	Noodle Chef	true
ancillaries_colour_text_s2anc_crime_ronin_kabukimono	"Gissa job! I could do that. No, really, I could do that. Go on, gissa job!"	true
ancillaries_onscreen_name_mp_bosh_anc_french_naval_engineer	French Naval Engineer	true
ancillaries_onscreen_name_s2anc_sp_bosh_spec_schnell_henry	Henry Schnell	true
ancillaries_onscreen_name_s2anc_legend_army_netsuke	Legendary Netsuke Carver	true
ancillaries_onscreen_name_s2anc_artefact_ninja_tiger_claws	Tiger Claws	true
ancillaries_onscreen_name_s2anc_master_army_sojutsu	Sojutsu Master	true
ancillaries_colour_text_mp_anc_supply_wagon	"Do not throw your bow when the arrows are gone!"	true
ancillaries_onscreen_name_s2anc_sp_bosh_book_on_war	von Clausewitz's "On War"	true
ancillaries_onscreen_name_s2anc_sp_bosh_animal_dog	Hunting Dog	true
ancillaries_onscreen_name_s2_anc_pdlc_monk_origami	Origami Master	true
ancillaries_onscreen_name_s2anc_crime_yakuza_thug	Yakuza	true
ancillaries_onscreen_name_s2anc_silly_time_tunnel_2	Doug Philips	true
ancillaries_onscreen_name_s2anc_silly_time_tunnel_1	Tony Newman	true
ancillaries_colour_text_s2anc_friend_mentor_figure	Even the mightiest man had to learn how to use his might from someone.	true
ancillaries_colour_text_s2anc_sp_bosh_item_pong	A little goes a long way.	true
ancillaries_colour_text_s2anc_master_army_smith	All swords are dangerous: a master ensures that only the enemy needs worry about that danger.	true
ancillaries_onscreen_name_s2anc_sp_bosh_gun_spencer	Spencer Repeating Rifle	true
ancillaries_onscreen_name_s2anc_sp_bosh_item_fintry	Fintry-Kyle Escape Apparatus	true
ancillaries_onscreen_name_mp_bosh_anc_groom	Groom	true
ancillaries_onscreen_name_s2anc_sp_bosh_legend_flag	Legendary Banner	true
ancillaries_onscreen_name_s2anc_sp_bosh_music_flute_player	Flute Player	true
ancillaries_colour_text_s2_anc_pdlc_monk_relic_shugendo	Not all mysteries need be understood.	true
ancillaries_onscreen_name_s2anc_master_army_naginata	Naginatajutsu Master	true
ancillaries_colour_text_s2anc_sp_bosh_samurai_rude	"Pass the rice, fatty, before you eat it all!"	true
ancillaries_colour_text_mp_bosh_anc_enfield_musketoon	"Proven in combat, by the Confederate States of America, sir, among others."	true
ancillaries_colour_text_s2anc_legend_army_kyudo	"Your bowstring, my lord. It is disharmonious."	true
ancillaries_colour_text_s2anc_sp_bosh_legend_go	There are strategies for everything, from love to conquest.	true
ancillaries_onscreen_name_s2anc_legend_espionage_spy	Legendary Spy Master	true
ancillaries_onscreen_name_s2anc_sp_bosh_servant_biwa	Biwa Player	true
ancillaries_colour_text_s2anc_sp_bosh_ronin_xenophobe	"We will expel all the barbarians…by the sword if necessary!"	true
ancillaries_onscreen_name_mp_anc_genpei_shirabyoshi_dancer	Shirabyoshi Dancer	true
ancillaries_onscreen_name_s2anc_pet_monkey_2	Pet Monkey	true
ancillaries_onscreen_name_s2anc_sp_bosh_master_tea	Master of the Tea Ceremony	true
ancillaries_onscreen_name_mp_bosh_anc_unpracticed_gun_crews	Unpracticed Gun Crews	true
ancillaries_onscreen_name_s2anc_sp_bosh_trader_rich	Rich Merchant	true
ancillaries_onscreen_name_mp_bosh_anc_spoiled_rations	Spoiled Rations	true
ancillaries_colour_text_s2anc_sp_bosh_clock_myriad	Time is never wasted, only misspent.	true
ancillaries_colour_text_s2anc_sp_bosh_book_king_james	"Learn what your enemy thinks, and you learn his weaknesses."	true
ancillaries_colour_text_s2anc_sp_bosh_legend_do	A warrior's chest may be pierced by a thousand arrows but, as long as his heart is true, what does it matter?	true
ancillaries_colour_text_s2anc_sp_bosh_item_game_go	Every good player knows that victory is the precise application of strategy.	true
ancillaries_onscreen_name_s2anc_navy_pearl_fisherman	Pearl Fisherman	true
ancillaries_onscreen_name_s2anc_legend_arts_kabuki	Legendary Kabuki Master	true
ancillaries_onscreen_name_s2anc_sp_bosh_ed_the_cat	Edo Cat	true
ancillaries_onscreen_name_mp_bosh_anc_gun_crew_drill	Gun Crew Drill	true
ancillaries_onscreen_name_mp_anc_genpei_honourable_attendant	Honourable Attendant	true
ancillaries_colour_text_s2anc_artefact_ninja_tanto	One cut, one death.	true
ancillaries_colour_text_s2_anc_pdlc_monk_item_rice	A hungry student listens only to his belly.	true
ancillaries_colour_text_s2anc_sp_bosh_mistress_gorgeous	"No, I do not keep her for her wits!"	true
ancillaries_onscreen_name_mp_bosh_anc_skittish_mounts	Skittish Mounts	true
ancillaries_colour_text_s2anc_sp_bosh_item_game_chess	A game of kings, played by any man.	true
ancillaries_colour_text_s2anc_sp_bosh_book_almanac	There is more to a farmers' world than rice.	true
ancillaries_onscreen_name_s2anc_geisha_hot_springs	Onsen Geisha	true
ancillaries_onscreen_name_s2anc_legend_army_bowyer	Legendary Bowyer	true
ancillaries_onscreen_name_s2anc_sp_bosh_item_camera	Glass Plate Camera	true
ancillaries_colour_text_mp_anc_straw_practice_dummy	The first cut is the deepest.	true
ancillaries_colour_text_s2anc_sp_bosh_gun_elephant	"But there are no elephants in Japan..."	true
ancillaries_colour_text_s2anc_sp_bosh_book_pulp	"Sordid, lurid stuff, and funny. But it tells us a truth about the gaijin."	true
ancillaries_colour_text_mp_bosh_anc_improved_breech_mechanism	Precision engineered for maximum efficiency.	true
ancillaries_colour_text_s2_anc_pdlc_monk_weapon_bisento	"Peaceful" does not mean "defenceless".	true
ancillaries_onscreen_name_s2anc_artefact_legend_ninjato_1	Apocryphal Ninjato	true
ancillaries_onscreen_name_s2anc_artefact_legend_ninjato_2	Apocryphal Shinobigatana	true
ancillaries_onscreen_name_s2anc_artefact_ninja_bombs	Flash Powder Bombs	true
ancillaries_colour_text_s2anc_legend_army_naginata	"There is no art in slashing a man to pieces!"	true
ancillaries_onscreen_name_s2anc_sp_bosh_item_scotch	Whisky	true
ancillaries_colour_text_s2anc_sp_bosh_ninja_shuriken	Every ninja has his tricks.	true
ancillaries_colour_text_mp_anc_european_horse_trader	A stud is always useful.	true
ancillaries_colour_text_s2anc_sp_bosh_legend_ninjato	A single thrust, and life is gone.	true
ancillaries_onscreen_name_s2_anc_pdlc_daimyo_civil_secretary	Mandokoro	true
ancillaries_onscreen_name_mp_anc_tetsu_bishi_caltrops	Tetsu-Bishi Caltrops	true
ancillaries_colour_text_s2_anc_pdlc_general_bow_target_medium	Only an arrow's length separates archer and target.	true
ancillaries_colour_text_s2anc_navy_pirate_nihon	A good eye for wind and wave can be profitable.	true
ancillaries_onscreen_name_mp_anc_livestock_pestilence	Livestock Pestilence	true
ancillaries_colour_text_s2anc_sp_bosh_item_poisons	"Do try the fish."	true
ancillaries_colour_text_s2anc_sp_bosh_gun_martini_henry	"A bit of a kick, but nothing a good man cannot handle."	true
ancillaries_onscreen_name_s2anc_master_army_kobudo	Okinawan Kobudo Master	true
ancillaries_onscreen_name_s2anc_sp_bosh_spec_roches	Leon Roches	true
ancillaries_onscreen_name_s2anc_household_chinese_courtier	Chinese Courtier	true
ancillaries_onscreen_name_s2anc_chamberlain	Household Chamberlain	true
ancillaries_onscreen_name_s2anc_crime_yakuza_boss	Kumicho	true
ancillaries_colour_text_mp_anc_water_carrier	Battle gives a man a powerful thirst.	true
ancillaries_onscreen_name_s2_anc_pdlc_general_bow_practice	Gomuyumi	true
ancillaries_colour_text_s2anc_sp_bosh_item_sword_bokken	Sword training is hardly ever wasted.	true
ancillaries_colour_text_s2anc_navy_shipwreck_dutch	"Get off me, you miserable rice-nibbling bugger!"	true
ancillaries_onscreen_name_s2_anc_pdlc_monk_item_bowl	Begging Bowl	true
ancillaries_colour_text_mp_legendary_tenkagoken_sword	Some swords will seek out worthy hands.	true
ancillaries_onscreen_name_s2anc_sp_bosh_servant_bodyguard	Exceptional Bodyguard	true
ancillaries_colour_text_mp_anc_camp_sickness	The wise man runs with caution when touching cloth.	true
ancillaries_colour_text_mp_anc_untrained_fugu_cook	Nothing ventured over dinner, nothing gained.	true
ancillaries_colour_text_mp_anc_lotus_sect_adherent	There are many paths to heaven.	true
ancillaries_onscreen_name_s2anc_sp_bosh_foreign_servant_uk	English Butler	true
ancillaries_onscreen_name_s2anc_sp_bosh_servant_chef_french	French Chef	true
ancillaries_onscreen_name_s2_anc_pdlc_shirabyoshi_hand_fan	Kawahori Hand Fan	true
ancillaries_colour_text_mp_anc_mochiyari_gumi_spear_bearer	A samurai may need his weapon at any moment.	true
ancillaries_colour_text_mp_anc_world_weary	The burden of a lifetime bends a man's back.	true
ancillaries_colour_text_mp_anc_indefatigable	Truth flies on swift wings.	true
ancillaries_colour_text_s2anc_sp_bosh_item_wig_white	The White Bear is come!	true
ancillaries_colour_text_s2anc_sp_bosh_item_flag_wig_wag	Orders are orders.	true
ancillaries_colour_text_s2_anc_pdlc_monk_zasu	Retiring from the world is not ignoring the world.	true
ancillaries_colour_text_s2anc_sp_bosh_mummified_mermaid	"Real? Of course it's real!"	true
ancillaries_onscreen_name_s2anc_legend_army_jujutsu	Legendary Jujutsu Master	true
ancillaries_colour_text_mp_bosh_anc_garden_of_convalescence	A garden soothes the soul.	true
ancillaries_onscreen_name_s2anc_sp_bosh_servant_treasurers	Treasurer	true
ancillaries_onscreen_name_s2anc_sp_bosh_uniform_sailor_cap	Sailor's Cap	true
ancillaries_onscreen_name_mp_anc_uma_i_horse_doctor	Uma-I Horse Doctor	true
ancillaries_onscreen_name_s2anc_sp_bosh_legend_tea	Legendary Tea Master	true
ancillaries_colour_text_s2_anc_pdlc_daimyo_pet_tiger	"Grrrr!"	true
ancillaries_colour_text_mp_legendary_hachiman_crest	A noble sign brings terror to enemies' hearts.	true
