key	text	tooltip
#Loc;1;text/db/avatar_ancillaries_descriptions.loc		
avatar_ancillaries_descriptions_description_mp_bosh_anc_skilled_weaponsmith1	\n %+n tấn công cận chiến cho mọi đơn vị trường thương bộ binh. \n \n Lưỡi đao là nơi định đoạt khoảnh khắc chiến thắng.	true
avatar_ancillaries_descriptions_description_mp_bosh_anc_foul_bottom1	\n Tốc độ di chuyển khinh hạm địch: %n%%. \n \n "Hàu bám đầy đáy tàu ư? Ngài dám nói vậy sao?!"	true
avatar_ancillaries_descriptions_description_mp_anc_cold_snap1	\n %-n kỹ năng nạp lại cho mọi đơn vị cung của địch. \n \n Bàn tay lạnh khiến việc quen thuộc cũng hóa xa lạ.	true
avatar_ancillaries_descriptions_description_mp_bosh_anc_cold_snap1	\n %-n kỹ năng nạp lại cho mọi đơn vị cung của địch. \n \n Bàn tay lạnh khiến việc quen thuộc cũng hóa xa lạ.	true
avatar_ancillaries_descriptions_description_mp_clan_anc_bow1	\n Giảm thương vong cho đơn vị cung. \n Tăng điểm Ảnh hưởng Gia tộc nhận được. \n \n Huấn luyện chưa bao giờ là vô ích trong đời.	true
avatar_ancillaries_descriptions_description_mp_bosh_anc_skilled_gun_captain1	\n Độ chính xác pháo hạm: %+n. \n \n "Bình tĩnh… Bình tĩnh… Khai hỏa!"	true
avatar_ancillaries_descriptions_description_mp_anc_yagyu_sword_instructor1	\n %+n tấn công cận chiến cho toàn bộ đao bộ binh. \n \n "Đừng chỉ chém kẻ địch. Hãy hoàn thiện từng nhát kiếm!"	true
avatar_ancillaries_descriptions_description_mp_bosh_anc_improved_gun_sights1	\n Độ chính xác hộ vệ hạm: %+n. \n \n Khoa học loại bỏ sự phỏng đoán khỏi nghệ thuật pháo kích.	true
avatar_ancillaries_descriptions_description_mp_anc_shinobi_informer1	\n Phát hiện vị trí triển khai của toàn bộ đơn vị địch không ẩn nấp. \n Vô hiệu hiệu ứng tùy tùng Cố vấn Hiền giả của địch. \n \n Bí mật và dối trá cùng ngồi chung một cỗ xe.	true
