key	text	tooltip
#Loc;1;text/db/avatar_ancillaries_localised_source_lookups.loc		
avatar_ancillaries_localised_source_lookups_localised_source_text_armour_sparse_point_laced	Complete armour set: Sparse Point Laced	true
avatar_ancillaries_localised_source_lookups_localised_source_text_clan_spear	Become a member of a clan specialising in spear infantry	true
avatar_ancillaries_localised_source_lookups_localised_source_text_armour_toyotomi_hideyoshi	Complete armour set: Toyotomi Hideyoshi	true
avatar_ancillaries_localised_source_lookups_localised_source_text_bosh_clan_shogunate	Become a member of a clan specialising in modern Shogunate units.	true
avatar_ancillaries_localised_source_lookups_localised_source_text_clan_sword	Become a member of a clan specialising in sword infantry	true
avatar_ancillaries_localised_source_lookups_localised_source_text_clan_horse	Become a member of a clan specialising in cavalry	true
avatar_ancillaries_localised_source_lookups_localised_source_text_armour_silver_scale_cuirass	Complete armour set: Silver Scale Cuirass	true
avatar_ancillaries_localised_source_lookups_localised_source_text_armour_golden_scale_cuirass	Complete armour set: Golden Scale Cuirass	true
avatar_ancillaries_localised_source_lookups_localised_source_text_dojo_sword	Source: Sword School building chain	true
avatar_ancillaries_localised_source_lookups_localised_source_text_bosh_clan_imperial	Become a member of a clan specialising in modern Imperial units.	true
avatar_ancillaries_localised_source_lookups_localised_source_text_winner_mon	Your clan must win tier 1 to unlock this mon.	true
avatar_ancillaries_localised_source_lookups_localised_source_text_dojo_gun	Source: Teppo Range building chain	true
avatar_ancillaries_localised_source_lookups_localised_source_text_armour_blade_master	Complete armour set: Blade Master	true
avatar_ancillaries_localised_source_lookups_localised_source_text_armour_oda_nobunaga	Complete armour set: Oda Nobunaga	true
avatar_ancillaries_localised_source_lookups_localised_source_text_placeholder	placeholder	true
avatar_ancillaries_localised_source_lookups_localised_source_text_armour_multicolour_laced	Complete armour set: Multicolour Laced	true
avatar_ancillaries_localised_source_lookups_localised_source_text_clan_bow	Become a member of a clan specialising in bow infantry	true
