key	text	tooltip
#Loc;1;text/db/avatar_ancillaries_localised_source_lookups.loc		
avatar_ancillaries_localised_source_lookups_localised_source_text_armour_sparse_point_laced	Hoàn thành bộ giáp: Sparse Point Laced	true
avatar_ancillaries_localised_source_lookups_localised_source_text_clan_spear	Trở thành thành viên của một gia tộc chuyên về trường thương bộ binh	true
avatar_ancillaries_localised_source_lookups_localised_source_text_armour_toyotomi_hideyoshi	Hoàn thành bộ giáp: Toyotomi Hideyoshi	true
avatar_ancillaries_localised_source_lookups_localised_source_text_bosh_clan_shogunate	Trở thành thành viên của một gia tộc chuyên về đơn vị Mạc phủ hiện đại.	true
avatar_ancillaries_localised_source_lookups_localised_source_text_clan_sword	Trở thành thành viên của một gia tộc chuyên về đao bộ binh	true
avatar_ancillaries_localised_source_lookups_localised_source_text_clan_horse	Trở thành thành viên của một gia tộc chuyên về kỵ binh	true
avatar_ancillaries_localised_source_lookups_localised_source_text_armour_silver_scale_cuirass	Hoàn thành bộ giáp: Silver Scale Cuirass	true
avatar_ancillaries_localised_source_lookups_localised_source_text_armour_golden_scale_cuirass	Hoàn thành bộ giáp: Golden Scale Cuirass	true
avatar_ancillaries_localised_source_lookups_localised_source_text_dojo_sword	Nguồn: Chuỗi công trình Sword School	true
avatar_ancillaries_localised_source_lookups_localised_source_text_bosh_clan_imperial	Trở thành thành viên của một gia tộc chuyên về đơn vị Đế quốc hiện đại.	true
avatar_ancillaries_localised_source_lookups_localised_source_text_winner_mon	Gia tộc của bạn phải chiến thắng bậc 1 để mở khóa mon này.	true
avatar_ancillaries_localised_source_lookups_localised_source_text_dojo_gun	Nguồn: Chuỗi công trình Teppo Range	true
avatar_ancillaries_localised_source_lookups_localised_source_text_armour_blade_master	Hoàn thành bộ giáp: Blade Master	true
avatar_ancillaries_localised_source_lookups_localised_source_text_armour_oda_nobunaga	Hoàn thành bộ giáp: Oda Nobunaga	true
avatar_ancillaries_localised_source_lookups_localised_source_text_placeholder	placeholder	true
