key	text	tooltip
#Loc;1;text/db/random_localisation_strings.loc		
random_localisation_strings_string_agent_action_stall_army	Distract Army	true
random_localisation_strings_string_character_situation_gempei_requesting_allegiance	Requesting Allegiance	true
random_localisation_strings_string_ability_percussive_shell	Toggle shells||Shells are capable of significant damage to troops and buildings.||They can only be fired from howitzers and mortars. ||They rely on a timed fuse which can sometimes burn out early, resulting in them exploding before they reach the enemy.	true
random_localisation_strings_string_agent_action_request_allegiance	Request Allegiance	true
random_localisation_strings_string_finances_tribute_income_breakdown_other	From others	true
random_localisation_strings_string_conversion_factor_christian_vs_buddhist	Christian vs. Buddhist zeal:	true
random_localisation_strings_string_torpedos_remaining	Launch Torpedoes\\nRemaining:	true
random_localisation_strings_string_player_stats_mp_naval_won_portugal	REMOVE ME!	true
random_localisation_strings_string_cancel_construction_confirmation	This building is in the process of being constructed, are you sure you wish to cancel its development?	true
random_localisation_strings_string_unit_stat_bonus_morale_superior	Superior morale	true
random_localisation_strings_string_unit_stat_bonus_armour_improved	Improved armour	true
random_localisation_strings_string_famous_battle_battle_of	Battle of:	true
random_localisation_strings_string_round_id_august	August	true
random_localisation_strings_string_action_entertain_general	Keep your generals entertained and you will help keep them loyal.	true
random_localisation_strings_string_bos_town_factor_technology	Technology	true
random_localisation_strings_string_round_id_late_july	Late July	true
random_localisation_strings_string_player_stats_mp_land_won_prussia	REMOVE ME!	true
random_localisation_strings_string_bos_stats_arts_mastered	Technologies researched	true
random_localisation_strings_string_player_stats_mp_naval_won_russia	REMOVE ME!	true
random_localisation_strings_string_difficulty_level_4	Very Hard	true
random_localisation_strings_string_difficulty_level_5	Legendary	true
random_localisation_strings_string_difficulty_level_2	Normal	true
random_localisation_strings_string_difficulty_level_3	Hard	true
random_localisation_strings_string_agent_action_establish_criminal_network	Establish Spy Network	true
random_localisation_strings_string_difficulty_level_1	Easy	true
random_localisation_strings_string_player_stats_mp_land_won_britain	REMOVE ME!	true
random_localisation_strings_string_action_seduce_character	Successful seduction will result in a rival character leaving their clan and joining your side. Be warned; resorting to such an action will be considered an act of war!	true
random_localisation_strings_string_cannot_build_insufficient_funds	You have insufficient funds to order this construction.	true
random_localisation_strings_string_StratHud_Building_Card_Recruit_Selection	Left-click to construct this building, right-click for further information	true
random_localisation_strings_string_cannon_destroyed	Cannon not operational	true
random_localisation_strings_string_ability_increased_range	Increased Range||For a short time, this increases the firing range of a unit.||Once activated, there will be a cooling off period before the ability can be used again.	true
random_localisation_strings_string_battle_status_targetting	Targeting	true
random_localisation_strings_string_ClanManagement_UnitCard_DaimyoSon	The daimyo's young son. Left-click to see his character summary.||Once the daimyo's son is ready to assume his adult responsibilities, he will become a general.||To appoint a son as the clan heir, select him and press the 'heir' button on the panel below.||Examine each son's details to choose the most suitable candidate.	true
random_localisation_strings_string_finance_header_liege_lord	Liege Lord	true
random_localisation_strings_string_StratHudButton_Hire_Boshin_Geisha	Hire geisha||Geisha are skilled musicians, dancers and poets, and they use their arts both to entertain and uplift.||Construct business buildings in other provinces to increase the number of geisha you can recruit at one time.	true
random_localisation_strings_string_stats_clan_naval_ranked_games_won	Clan ranked naval wins	true
random_localisation_strings_string_character_situation_conversion_catholic	Province Conversion	true
random_localisation_strings_string_bos_conversion_factor_shogun_vs_imperial	Shogunate vs. Imperial influence:	true
random_localisation_strings_string_click_to_mark_current_selection_for_dismantling	Click to mark current selection for dismantling	true
random_localisation_strings_string_bos_railway_label_cannot_travel_too_far	The intended destination is too far away from the departure point.	true
random_localisation_strings_string_opponent_accepts_surrender_title	Surrender Accepted	true
random_localisation_strings_string_replenish_prerequisites_not_met	You need to be able to recruit the unit types locally and have sufficient funds to replenish the selected units in this army. Cost:	true
random_localisation_strings_string_bos_conversion_factor_buildings_imperial	Local pro-Imperial influence	true
random_localisation_strings_string_ability_cantabrian_circle	Swooping Crane||This arranges a cavalry unit into a moving, circular formation, enabling them to fire a constant rate of missiles at the enemy.||Because they are constantly moving, the horses will lose stamina while the ability is active.	true
random_localisation_strings_string_unknown_ship_state	Some of this ship's details are unknown. Moving closer will reveal more information.	true
random_localisation_strings_string_round_id_late_june	Late June	true
random_localisation_strings_string_daimyo_tooltip_honour_1	Honour: Unworthy||Honour is gained through victories won personally by the daimyo.||Defeats and dishonourable actions will result in a loss of honour.	true
random_localisation_strings_string_daimyo_tooltip_honour_2	Honour: Lowly||Honour is gained through victories won personally by the daimyo.||Defeats and dishonourable actions will result in a loss of honour.	true
random_localisation_strings_string_daimyo_tooltip_honour_3	Honour: Unproven||Honour is gained through victories won personally by the daimyo.||Defeats and dishonourable actions will result in a loss of honour.	true
random_localisation_strings_string_daimyo_tooltip_honour_4	Honour: Estimable||Honour is gained through victories won personally by the daimyo.||Defeats and dishonourable actions will result in a loss of honour.	true
random_localisation_strings_string_daimyo_tooltip_honour_5	Honour: Distinguished||Honour is gained through victories won personally by the daimyo.||Defeats and dishonourable actions will result in a loss of honour.	true
random_localisation_strings_string_daimyo_tooltip_honour_6	Honour: Exemplary||Honour is gained through victories won personally by the daimyo.||Defeats and dishonourable actions will result in a loss of honour.	true
