key	text	tooltip
#Loc;1;text/db/avatar_aesthetics.loc		
avatar_aesthetics_localised_name_legs_uesugi_kenshin	Suneate bảo vệ ống chân của Uesugi Kenshin	true
avatar_aesthetics_localised_name_helm_uesugi_kenshin	Mũ Kabuto của Uesugi Kenshin	true
avatar_aesthetics_localised_name_legs_tokugawa_ieyasu	Suneate bảo vệ ống chân của Tokugawa Ieyasu	true
avatar_aesthetics_localised_name_helm_bos_clan_comp_winner	Mũ của Nhà vô địch Gia tộc	true
avatar_aesthetics_localised_name_horse_basic_palomino	Ngựa đốm	true
avatar_aesthetics_localised_name_horse_samurai_grey	Ngựa xám Samurai	true
avatar_aesthetics_localised_name_thigh_uesugi_kenshin	Haidate bảo vệ đùi của Uesugi Kenshin	true
avatar_aesthetics_localised_name_crest_default_blank	Không huy hiệu	true
avatar_aesthetics_localised_name_helm_blade_master	Mũ Kabuto: Bậc thầy Kiếm thuật	true
avatar_aesthetics_localised_name_chest_maeda_toshie	Giáp ngực Do của Maeda Toshie	true
avatar_aesthetics_localised_name_chest_uesugi_kenshin	Giáp ngực Do của Uesugi Kenshin	true
avatar_aesthetics_localised_name_helm_oda_nobunaga	Mũ Kabuto của Oda Nobunaga	true
avatar_aesthetics_localised_name_shoulder_multicolour_laced	Giáp vai Sode: Dây buộc nhiều màu	true
avatar_aesthetics_localised_name_sashimono_multicolour_laced	Sashimono: Dây buộc nhiều màu	true
avatar_aesthetics_localised_name_shoulders_hosokawa_tadaoki	Giáp vai Sode của Hosokawa Tadaoki	true
avatar_aesthetics_localised_name_arms_tokugawa_ieyasu	Tay giáp Kote của Tokugawa Ieyasu	true
avatar_aesthetics_localised_name_thigh_western_style	Haidate bảo vệ đùi: Kiểu phương Tây	true
avatar_aesthetics_localised_name_chest_western_style	Giáp ngực Do: Kiểu phương Tây	true
avatar_aesthetics_localised_name_helm_tokugawa_ieyasu	Mũ Kabuto của Tokugawa Ieyasu	true
avatar_aesthetics_localised_name_mask_oda_nobunaga	Mặt nạ Men Yoroi của Oda Nobunaga	true
avatar_aesthetics_localised_name_sashimono_default	Sashimono: Bộ binh	true
avatar_aesthetics_localised_name_arms_shogun	Tay giáp Kote của Shogun	true
avatar_aesthetics_localised_name_chest_morning_glory	Giáp ngực Do: Hoa bìm bìm	true
avatar_aesthetics_localised_name_helm_default_kabuto	Mũ Kabuto	true
avatar_aesthetics_localised_name_shoulders_tokugawa_ieyasu	Giáp vai Sode của Tokugawa Ieyasu	true
avatar_aesthetics_localised_name_thigh_oda_nobunaga	Haidate bảo vệ đùi của Oda Nobunaga	true
avatar_aesthetics_localised_name_horse_masked_grey	Ngựa xám đeo mặt nạ	true
avatar_aesthetics_localised_name_legs_default_samurai_leg_1	Suneate Samurai	true
avatar_aesthetics_localised_name_horse_basic_chestnut	Ngựa hạt dẻ	true
avatar_aesthetics_localised_name_chest_shogun	Giáp ngực Do của Shogun	true
avatar_aesthetics_localised_name_crest_shogun	Huy hiệu của Shogun	true
avatar_aesthetics_localised_name_horse_samurai_bay	Ngựa nâu Samurai	true
avatar_aesthetics_localised_name_sashimono_tokugawa_ieyasu	Sashimono của Tokugawa Ieyasu	true
avatar_aesthetics_localised_name_horse_samurai_tan	Ngựa vàng nhạt Samurai	true
avatar_aesthetics_localised_name_crest_ach_won_clanmap_season	Huy hiệu thành tựu: Trung thành với Gia tộc	true
avatar_aesthetics_localised_name_sashimono_hosokawa_tadaoki	Sashimono của Hosokawa Tadaoki	true
avatar_aesthetics_localised_name_boshin_arm_late_samurai_1	Đồng phục Samurai cuối kỳ 1: Kimono Samurai có bảo vệ tay	true
avatar_aesthetics_localised_name_boshin_arm_late_samurai_3	Đồng phục Samurai cuối kỳ 3: Áo sơ mi hiện đại	true
avatar_aesthetics_localised_name_boshin_arm_late_samurai_2	Đồng phục Samurai cuối kỳ 2: Kimono Samurai	true
avatar_aesthetics_localised_name_crest_ach_won_clanmap_region	Huy hiệu tiêu chuẩn	true
avatar_aesthetics_localised_name_arms_oda_nobunaga	Tay giáp Kote của Oda Nobunaga	true
avatar_aesthetics_localised_name_legs_oda_nobunaga	Suneate bảo vệ ống chân của Oda Nobunaga	true
