key	text	tooltip
#Loc;1;text/db/diplomacy_strings.loc		
diplomacy_strings_string_current_treaty_protectorate_of_non_player	Vassal of :	true
diplomacy_strings_string_iga_ninja_reject_angry_demand_single_payment	We do not give others gold, only steel. And in darkness.	true
diplomacy_strings_string_uesugi_acknowledge_accept	Our prayers have been answered. This is good.	true
diplomacy_strings_string_takeda_receive_unfriendly	My horse needs exercise, so be quick about your business here!	true
diplomacy_strings_string_uesugi_acknowledge_reject	Our prayers go unanswered then. Such is the will of heaven.	true
diplomacy_strings_string_chosokabe_reject_angry_demand_single_payment	So, you think the Chosokabe so stupid that they will agree to any theft, no matter how prettily phrased?	true
diplomacy_strings_string_japanese_generic_monarchy_cancel_alliance	In time, all friendships fade. The time has come to end our alliance.	true
diplomacy_strings_string_tokugawa_offer_demand_peace	The sword must be sheathed. The voices of reasonable men should be heard.	true
diplomacy_strings_string_Taira_generic_reject_angry_1	This offer is a bad joke! Do you think the Taira have are weak scribes to be so insulted?	true
diplomacy_strings_string_current_treaty_payments_receiving	Regular payment, receiving: %d (turns remaining: %d)	true
diplomacy_strings_string_date_reject_offer_marriage	A well-intentioned offer, but such a marriage is not possible for we Date.	true
diplomacy_strings_string_relationship_very_friendly	Very friendly	true
diplomacy_strings_string_japanese_generic_monarchy_acknowledge_cancel_alliance_03	Our alliance has served its purpose, and now we are done. There is little more to say.	true
diplomacy_strings_string_japanese_generic_monarchy_acknowledge_cancel_alliance_02	So our alliance is over. We are not enemies, perhaps, but we are no longer friends.	true
diplomacy_strings_string_japanese_generic_monarchy_acknowledge_cancel_alliance_05	All things have a season, and winter has come to our alliance. It is ended as you say.	true
diplomacy_strings_string_japanese_generic_monarchy_acknowledge_cancel_alliance_04	Sometimes the blossom falls on a still lake, and sometimes on a grave.	true
diplomacy_strings_string_japanese_generic_monarchy_acknowledge_cancel_alliance_06	It will be as you say. Our alliance will no longer cause fear in our rivals.	true
