key	text	tooltip
#Loc;1;text/db/missions.loc		
missions_localised_description_jap_takeda_intro_mission_one	While once we may have considered the Murakami allies, our prosperity and might has led to conflict between us. The Shinano warlords now invade from the north; engage their army so that they may bear witness to the might of the Takeda!	true
missions_localised_description_m_resource_management_goods	The clan grows strong, my lord, yet we still lack our own source of craft goods. While we might obtain such goods through diplomatic means, the only way that we can ensure a stable supply is by controlling a province renowned for its crafting and production. Our strategists have identified such a province; I recommend that we capture it forthwith.	true
missions_localised_title_m_business_of_peace	The Business of Peace	true
missions_localised_title_jap_hojo_intro_mission_one	Steadfast	true
missions_localised_title_tut_capture_imabari	Capture Iyo	true
missions_localised_description_m_path_of_liberation	Christianity is spreading like a plague throughout Japan, posing a great threat to our cultural heritage. This province has erred too far from tradition and the teachings of Buddha; they must be made to renounce the lies before their influence is allowed to spread any further!	true
missions_localised_title_m_good_fight	The Good Fight	true
missions_localised_title_m_balance_of_strength_heavy_naval	Balance of Strength	true
missions_localised_title_jap_ikko_intro_mission_one	Restoring the Faith	true
missions_localised_description_jap_uesugi_intro_mission_two	Long have we prospered under the spiritual guidance of the kami and of Buddha. Such guidance helps men find strength both on and off the battlefield; mastering matters of the spirit enables our monks to better inspire the people whilst drawing fervent warrior monks to our cause.	true
missions_localised_description_m_bos_shogun_capture_region	War rages on, and the Shogun's enemies are everywhere. This province is under Imperial control; it should be captured immediately.	true
missions_localised_title_m_bos_imperial_incite_revolt	Instigator	true
missions_localised_title_m_enemy_tradition	Enemy of Tradition	true
missions_localised_description_m_into_fold_christian	We have word from our missionaries that the predominantly God-fearing people of this province yearn to be freed from their oppressive heathen masters. For their sake, we beseech you as a just Christian leader to capture this province and bring its people into the clan.	true
missions_localised_title_m_servant_of_heaven	Servant of Heaven	true
missions_localised_title_m_hard_times	Hard Times	true
missions_localised_description_jap_tokugawa_intro_mission_one	The warmongering of the Oda and Imagawa clans has compelled us to choose sides and accept the protection of the Imagawa. Now we must stop the Oda invasion force that marches from the west before they take our homelands from us.	true
missions_localised_description_m_stuff_of_legend_cathedral	The pursuit of excellence is a worthy pursuit indeed, my lord. We are now in a position to construct a legendary testament to our great Christian deeds for all of Japan to behold.\\n\\nWe must endeavour to construct a great cathedral before a less worthy clan does so in our stead!	true
missions_localised_title_m_united_we_stand	United We Stand	true
missions_localised_title_m_gem_fuj_convert_province_neighbour	Hearts & Minds	true
missions_localised_title_m_cold_blood	In Cold Blood	true
missions_localised_title_m_gem_subversive_strategies	Subversive Strategies	true
missions_localised_description_m_war_words_christian	Strength of body and superior training are key to an army's success in the field, but there are other means of weakening one's opponents when military superiority is not assured. The enemy's morale can be compromised by sending missionaries to break an army's spirit with words of dread and desperation before the first blow has been struck.	true
missions_localised_title_jap_oda_intro_mission_three	Strengthening Our Position	true
missions_localised_description_m_gem_worthy_adversary	Our scouts have spied a rival lord conducting manoeuvres in a neighbouring province. This presents us with the perfect opportunity to strike a devastating blow to our enemies and the chance to prove our mettle against a worthy foe.	true
missions_localised_description_m_advocate_of_enlightenment	My lord, I notice that we are not currently fielding monks, despite having the ability to do so. Monks can inspire our troops or demoralise the enemy's, in addition to providing excellent protection against enemy metsuke.	true
missions_localised_title_jap_mori_intro_mission_one	Repelling the Amako	true
missions_localised_description_m_gem_instrument_of_justice	My lord, I notice that we are not currently fielding junsatsushi despite having the ability to do so. Their authority is absolute, abating feelings of disloyalty by their presence and directing clan funds to the bribery of enemy armies and possessions. They also rally support for our clan amongst the populace and can seek allegiance from provinces in which our influence is strong.	true
missions_localised_title_tut_bribe	Bribe the Enemy	true
missions_localised_description_m_gem_min_convert_province_neighbour	As we fight to crush our enemies the battle to win the hearts and minds of the people rages across Japan. This neighbouring province has little love for the Minamoto; we must gather support there before it is conquered.	true
missions_localised_description_m_bos_sabotage_force	My lord! The enemy encroaches upon our land! We can hinder their progress with agents to sabotage, harass and distract their forces.	true
missions_localised_title_tut_assassination	Assassination	true
missions_localised_description_bos_intro_1_mission_clan_level	Although it saddens me to see our culture diluted by the barbarian ways of the westerners, there are many advantages to embracing their technology. To conduct advanced research we must first increase our capacity for development by building up our civic and industrial infrastructure.	true
missions_localised_description_m_bos_reinforce_region_unrest	Public order in this province is low, my lord; it will take little further unrest before the population revolts. I recommend recruiting a garrison here at the first opportunity.	true
missions_localised_title_m_gem_min_convert_province_neighbour	Hearts & Minds	true
missions_localised_title_m_bos_sabotage_force	Preventive Measures	true
missions_localised_description_m_resource_management_stone	The clan grows strong, my lord, yet we still lack our own source of superior stone. While we might obtain stone through diplomatic means, the only way in which we can ensure a stable supply is by controlling a province distinguished by its durable rock. Our strategists have identified such a province; I recommend that we capture it forthwith.	true
missions_localised_description_m_bos_imperial_convert_other_region	As we expand our domain, we must ensure support for the Emperor's return to power. By converting provinces to our cause before conquest, we make it easier to maintain control.	true
missions_localised_description_m_unification_of_japan	The shogun is concerned that two of his daimyo should be investing so much time destroying one another when, now more than ever, unity of purpose is paramount for the greater good of Japan and its people. He has therefore commanded that hostilities cease between us forthwith.	true
missions_localised_title_jap_date_intro_mission_one	Tanemune's Fall	true
missions_localised_description_m_hard_times	Our financial situation is unfortunate, my lord, and unless measures are taken to increase the clan's income we may succumb to bankruptcy. While we could develop our economic infrastructure or even disband part of our military forces, establishing a trade agreement with another clan may present an immediate and effective solution to our financial woes.	true
missions_localised_title_m_spiritual_unity_christian	Spiritual Unity	true
missions_localised_title_m_naval_dominance	Naval Dominance	true
missions_localised_title_m_bos_naval_power	Naval Power	true
missions_localised_description_m_bos_seduce_character	Rare is the man who can resist the charms of a beautiful and talented lady. Should our geisha win the hearts of rival generals or agents, they will abandon their masters and join our clan.	true
missions_localised_title_m_balance_of_strength_light_naval	Balance of Strength	true
missions_localised_description_m_gem_fuj_convert_province_neighbour	As we fight to crush our enemies the battle to win the hearts and minds of the people rages across Japan. This neighbouring province has little love for the Fujiwara; we must gather support there before it is conquered.	true
missions_localised_description_m_cold_blood	The agents of our rivals are everywhere, my lord. We should begin a programme of assassination to assert the superiority of our clan. If successful, we will not only rid ourselves of potential threats to our plans, but will appear blameless in the act.	true
missions_localised_title_m_gem_incite_revolt	Firebrand	true
missions_localised_description_m_good_fight	We are proud of your endeavours to uphold Christianity in spite of opposition from those who cling hopelessly to false hope and hollow superstitions. If more of your countrymen are to be saved from eternal damnation, however, more must be done to spread the good word of our Lord.	true
missions_localised_title_jap_chosokabe_intro_mission_three	The Conquest of Shikoku	true
missions_localised_title_m_path_of_liberation	The Path of Liberation	true
missions_localised_title_jap_takeda_intro_mission_one	The Shinano Warlords	true
missions_localised_title_m_gem_acts_sabotage	Acts of Sabotage	true
missions_localised_description_m_bos_imperial_incite_revolt	Support for the Shogunate persists across the country, but here the cause of the Emperor is strong. Incite a revolt here so the province joins us!	true
missions_localised_title_jap_uesugi_intro_mission_two	Matters of the Spirit	true
missions_localised_title_m_worthy_adversary	A Worthy Adversary	true
missions_localised_description_m_gem_subversive_strategies	As our influence spreads throughout the provinces we may encounter situations where our strategy is put at risk by enemy forces moving to intercept us or reinforce their allies. By sabotaging armies as they sit encamped our monomi will be able to halt their progress, leaving them open to attack or preventing them from doing so themselves.	true
missions_localised_description_jap_oda_intro_mission_three	As order has been achieved once more, we must strengthen our position in the area. Securing Mikawa province to the east will rid us of the Tokugawa menace and bring us closer to their Imagawa masters. Also, the Saito to the north are scheming against us and may prove less troublesome to overcome. However we proceed, the safety of our people in Owari must be ensured.	true
missions_localised_title_m_advocate_of_enlightenment	Advocate of Enlightenment	true
missions_localised_title_m_stuff_of_legend_stealth	The Stuff of Legend	true
missions_localised_title_m_gem_instrument_of_justice	Instrument of Justice	true
missions_localised_title_m_stuff_of_legend_archery	The Stuff of Legend	true
missions_localised_title_m_bos_imperial_attack_shogun	Enemies of the Emperor	true
missions_localised_title_m_gem_tai_convert_province_neighbour	Hearts & Minds	true
missions_localised_description_m_common_cause	Our reports indicate that there is a clan with whom we share a common enemy. I recommend that we take this opportunity to seek an alliance with them; united in arms we will stand a greater chance of crushing our mutual enemies once and for all! 	true
missions_localised_description_m_balance_of_strength_ashigaru	Diversity on the battlefield is key to victory; every weapon has its purpose and every unit has its match. It has come to my attention that our forces are unbalanced, my lord; we are currently deploying comparatively few ashigaru.\\n\\nWhilst certainly no match for samurai in terms of martial prowess, they make up for their shortcomings through low upkeep costs and sheer strength of numbers. I strongly recommend that we bolster our existing ashigaru at the first available opportunity.	true
missions_localised_description_m_gem_seduce_character	Loyalty and conviction mean nothing when faced with the power of a woman's charm. By using our shirabyoshi to seduce rival subjects we can compel them to break their ties and throw their lots in with us.	true
missions_localised_description_gem_fujiwara_hiraizumi_intro_mission	If we are to reclaim our rightful place as regents to the imperial house, we will need an effective fighting force. Dispatch junsatsushi to spread our influence amongst those provinces most loyal to our cause. Once support for the Fujiwara amongst our neighbours is strong we should request their allegiance, thereby strengthening our position.	true
missions_localised_description_m_balance_of_strength_infantry_melee	Diversity on the battlefield is key to victory; every weapon has its purpose and every unit has its match. It has come to my attention that our forces are unbalanced, my lord; we are currently deploying comparatively few units of infantry.\\n\\nSoldiers specialised in close-quarters combat are the backbone of any army; to strike our enemies down or have them trampled beneath our hooves means nothing if our forces are no match for them once the battle descends into melee. I strongly recommend that we train additional melee troops at the first opportunity.	true
missions_localised_title_m_bos_shogun_crush_rebellion	Crushing the Dissidents	true
missions_localised_description_m_business_of_peace	It distresses us, lord, to see two of our most valued trade partners here in Japan wage bloody war against one another. We may reap financial benefits from furnishing both clans with our prized firearms, but our mercantile efforts would be compromised should one of you succumb to the machinations of the other.\\n\\nWere you to make peace and resolve to use our weaponry against lesser clans, I'm sure we could arrange a discount for our services.	true
missions_localised_title_m_resource_management_goods	Resource Management	true
missions_localised_title_tut_military_tech	Research Bushido	true
missions_localised_description_tut_capture_imabari	Capture the province of Iyo to start your conquest of Shikoku.	true
