key	text	tooltip
#Loc;1;text/db/shortcut_localisation.loc		
shortcut_localisation_onscreen_increase_camera_rot	Increase camera rotation speed	true
shortcut_localisation_onscreen_deselect_all	Deselect all	true
shortcut_localisation_onscreen_attack_ping	Attack ping	true
shortcut_localisation_onscreen_shift	Shift	true
shortcut_localisation_onscreen_show_diplomacy	Show diplomatic relations	true
shortcut_localisation_onscreen_game_controls	Game/UI Controls	true
shortcut_localisation_onscreen_fps	FPS	true
shortcut_localisation_onscreen_toggle_labels	Toggle labels	true
shortcut_localisation_onscreen_step_fwd_fast	Move forward fast	true
shortcut_localisation_onscreen_standard_ping	Standard ping	true
shortcut_localisation_onscreen_decel	Slow down camera	true
shortcut_localisation_onscreen_accel	Speed up camera	true
shortcut_localisation_onscreen_activate_ping	Activate ping	true
shortcut_localisation_onscreen_select_prev	Select previous	true
shortcut_localisation_onscreen_toggle_minimised_radar	Toggle	true
shortcut_localisation_onscreen_chat_with_all	Chat with everyone	true
shortcut_localisation_onscreen_decrease_camera_rot	Decrease camera rotation speed	true
shortcut_localisation_onscreen_select_all_artillery	Select all siege weapon units	true
shortcut_localisation_onscreen_ctrl	Control	true
shortcut_localisation_onscreen_intelli_zoom	Intelligent zoom	true
shortcut_localisation_onscreen_misc	Miscellaneous	true
shortcut_localisation_onscreen_step_r	Strafe right	true
shortcut_localisation_onscreen_step_l	Strafe left	true
shortcut_localisation_onscreen_general_zoom	Zoom to and Select General	true
shortcut_localisation_onscreen_none	None	true
shortcut_localisation_onscreen_toggle_flag_display	Toggle flag display	true
shortcut_localisation_onscreen_show_prestige	Show prestige screen	true
shortcut_localisation_onscreen_battle_naval_formation_line_abreast	Line Abreast	true
shortcut_localisation_onscreen_chat_with_team	Chat with team	true
shortcut_localisation_onscreen_change_minimap_size	Change radar map size	true
shortcut_localisation_onscreen_select_all_infantry	Select all infantry units	true
shortcut_localisation_onscreen_select_next	Select next	true
shortcut_localisation_onscreen_battle_naval_repair	Repair ship	true
shortcut_localisation_onscreen_show_finance	Show finance panel	true
shortcut_localisation_onscreen_battle_land_formation_melee_frontline	Melee Frontline	true
shortcut_localisation_onscreen_show_faction_overview	Show clan overview panel	true
shortcut_localisation_onscreen_information	Information	true
shortcut_localisation_onscreen_alt	Alt	true
shortcut_localisation_onscreen_defend_ping	Defend ping	true
shortcut_localisation_onscreen_any	Any	true
shortcut_localisation_onscreen_battle_land_toggle_run	Toggle run	true
shortcut_localisation_onscreen_battle_land_formation_grand_battery	Grand Battery	true
shortcut_localisation_onscreen_battle_land_formation_reclining_dragon	Reclining Dragon	true
shortcut_localisation_onscreen_battle_land_formation_column	Column	true
shortcut_localisation_onscreen_naval_group_formations	Naval Group Formations	true
shortcut_localisation_onscreen_battle_both_withdraw	Withdraw	true
shortcut_localisation_onscreen_broadside_fire_right	Fire broadside right	true
shortcut_localisation_onscreen_broadside_fire_left	Fire broadside left	true
shortcut_localisation_onscreen_broadside_fire_front	Fire broadside forward	true
shortcut_localisation_onscreen_toggle_music	Toggle music	true
shortcut_localisation_onscreen_battle	Battle	true
shortcut_localisation_onscreen_hidden	Hidden	true
shortcut_localisation_onscreen_battle_land_special_ability_6	Special ability slot 6	true
shortcut_localisation_onscreen_battle_land_special_ability_7	Special ability slot 7	true
shortcut_localisation_onscreen_battle_land_special_ability_4	Special ability slot 4	true
shortcut_localisation_onscreen_battle_land_special_ability_5	Special ability slot 5	true
shortcut_localisation_onscreen_battle_land_special_ability_2	Special ability slot 2	true
shortcut_localisation_onscreen_battle_land_special_ability_3	Special ability slot 3	true
shortcut_localisation_onscreen_battle_land_special_ability_1	Special ability slot 1	true
shortcut_localisation_onscreen_toggle_group	Group/ungroup units	true
shortcut_localisation_onscreen_toggle_locked_group	Lock/Unlock group formation	true
shortcut_localisation_onscreen_battle_land_formation_triple_line_integrated	Triple line integrated	true
shortcut_localisation_onscreen_camera	Camera	true
shortcut_localisation_onscreen_battle_land_formation_war_of_the_tiger	War of the Tiger	true
shortcut_localisation_onscreen_battle_naval_toggle_boarding	Toggle boarding	true
shortcut_localisation_onscreen_battle_naval_formation_extended_snake	Extended Snake	true
shortcut_localisation_onscreen_battle_land_formation_bark_of_the_pine_tree	Bark of the Pine Tree	true
shortcut_localisation_onscreen_context_camera	Context camera	true
shortcut_localisation_onscreen_cam_up	Camera up	true
shortcut_localisation_onscreen_group_controls	Unit/Group Controls	true
shortcut_localisation_onscreen_toggle_pause	Toggle pause	true
shortcut_localisation_onscreen_rot_l	Rotate left	true
shortcut_localisation_onscreen_rot_d	Rotate down	true
shortcut_localisation_onscreen_rot_r	Rotate right	true
shortcut_localisation_onscreen_rot_u	Rotate up	true
shortcut_localisation_onscreen_current_selection_order_cancel	Cancel order	true
shortcut_localisation_onscreen_battle_land_formation_single_line_cav_right	Single line cavalry right flank	true
shortcut_localisation_onscreen_battle_land_formation_cloud_dragon	Cloud Dragon	true
shortcut_localisation_onscreen_show_allied_units_proxies	Show deployment images	true
shortcut_localisation_onscreen_battle_land_formation_single_line	Single line	true
shortcut_localisation_onscreen_battle_naval_formation_bird_cloud	Bird Cloud	true
shortcut_localisation_onscreen_battle_land_melee	Toggle melee mode	true
shortcut_localisation_onscreen_toggle_battle_ui	Toggle Battle UI	true
shortcut_localisation_onscreen_current_selection_disband	Disband selection	true
shortcut_localisation_onscreen_auto_merge_units	Auto merge units	true
shortcut_localisation_onscreen_battle_land_formation_double_line	Double line	true
shortcut_localisation_onscreen_battle_land_step_forward	Step unit/group forwards	true
shortcut_localisation_onscreen_select_all_cavalry	Select all cavalry units	true
shortcut_localisation_onscreen_battle_land_formation_cranes_wing	Crane's Wing	true
shortcut_localisation_onscreen_battle_naval_activate_round_shot	Select round shot	true
shortcut_localisation_onscreen_quick_save	Quick save	true
shortcut_localisation_onscreen_battle_land_formation_cavalry_heavy_left	Cavalry Heavy Left	true
shortcut_localisation_onscreen_voice_chat	Enable voice chat	true
shortcut_localisation_onscreen_visibility_toggle_radar	Toggle radar visibility	true
shortcut_localisation_onscreen_show_all_multi_turn_paths	Show all multi-turn paths	true
shortcut_localisation_onscreen_toggle_move_fast	Toggle move fast	true
shortcut_localisation_onscreen_repair_all	Repair buildings/ships	true
shortcut_localisation_onscreen_visibility_toggle_cards	Toggle unit cards visibility	true
shortcut_localisation_onscreen_battle_land_formation_artillery_cross_fire	Artillery Cross Fire	true
shortcut_localisation_onscreen_toggle_player_list	Toggle player list	true
shortcut_localisation_onscreen_battle_naval_activate_chain_shot	Select chain shot	true
shortcut_localisation_onscreen_toggle_move_speed	Toggle character movement speed	true
shortcut_localisation_onscreen_quick_load	Quick load	true
shortcut_localisation_onscreen_toggle_first_person_mode	Toggle first person mode	true
shortcut_localisation_onscreen_toggle_chat_panel	Toggle chat entry	true
shortcut_localisation_onscreen_battle_land_increase_rank	Increase rank	true
shortcut_localisation_onscreen_battle_naval_activate_grape_shot	Select grape shot	true
shortcut_localisation_onscreen_battle_land_spear_point	Spear point	true
shortcut_localisation_onscreen_battle_land_increase_file	Increase file	true
shortcut_localisation_onscreen_battle_land_formation_triple_line	Triple line	true
shortcut_localisation_onscreen_battle_land_formation_flying_bird	Flying Bird	true
shortcut_localisation_onscreen_toggle_sfx	Toggle sound effects	true
shortcut_localisation_onscreen_select_all	Select all	true
shortcut_localisation_onscreen_battle_naval_formation_crescent_envelop	Crescent Envelop	true
shortcut_localisation_onscreen_battle_land_formation_single_line_cav_left	Single line cavalry left flank	true
shortcut_localisation_onscreen_battle_naval_formation_crescent	Crescent	true
shortcut_localisation_onscreen_battle_land_formation_cavalry_heavy_right	Cavalry Heavy Right	true
shortcut_localisation_onscreen_battle_land_formation_spear_point	Spear Point	true
shortcut_localisation_onscreen_game_play	Gameplay	true
shortcut_localisation_onscreen_default_camera_rotation	Default camera rotation	true
shortcut_localisation_onscreen_battle_naval_sail_forward	Sail forward	true
shortcut_localisation_onscreen_visibility_toggle_buttons	Toggle button visibility	true
shortcut_localisation_onscreen_p	Pause	true
shortcut_localisation_onscreen_cam_down	Camera down	true
shortcut_localisation_onscreen_total_war	Total War	true
shortcut_localisation_onscreen_browser	Encyclopedia	true
shortcut_localisation_onscreen_battle_naval_formation_three_day_old_moon	Three Day Old Moon	true
shortcut_localisation_onscreen_end_turn	End turn	true
shortcut_localisation_onscreen_battle_naval_formation_war_of_the_sword	War of the Sword	true
shortcut_localisation_onscreen_battle_naval_formation_line_astern	Line Astern	true
shortcut_localisation_onscreen_cycle_battle_speed	Cycle battle speed	true
shortcut_localisation_onscreen_selection_control	Selection Controls	true
shortcut_localisation_onscreen_home_zoom	Zoom to home	true
shortcut_localisation_onscreen_battle_land_strafe_left	Strafe unit/group left	true
shortcut_localisation_onscreen_battle_naval_increase_sail	Increase sail	true
shortcut_localisation_onscreen_battle_naval_decrease_sail	Decrease sail	true
shortcut_localisation_onscreen_move_ping	Move ping	true
shortcut_localisation_onscreen_battle_both_rotate_left	Rotate unit/group left	true
shortcut_localisation_onscreen_step_fwd	Move forward	true
shortcut_localisation_onscreen_battle_land_step_backwards	Step unit/group backwards	true
shortcut_localisation_onscreen_battle_land_formation_flying_geese	Flying Geese	true
shortcut_localisation_onscreen_show_clan	Show clan management panel	true
shortcut_localisation_onscreen_usegroup8	Create/Select Group 8	true
shortcut_localisation_onscreen_usegroup9	Create/Select Group 9	true
