key	text	tooltip
#Loc;1;text/startpos_jap_shogun.loc		
start_pos_settlements_onscreen_name_settlement:jap_satsuma:kagoshima744029879	Kagoshima	false
start_pos_regions_rebel_faction_name_jap_mimasakajap_shogun	Urakami Rebels	false
start_pos_settlements_onscreen_name_settlement:jap_harima:akashi-1989034770	Akashi	false
start_pos_settlements_onscreen_name_settlement:jap_yamato:joroku26825511	Joroku	false
start_pos_settlements_onscreen_name_settlement:jap_totomi:hamamatsu-2103570837	Hamamatsu	false
start_pos_settlements_onscreen_name_settlement:jap_tsukushi:fukuoka2130425641	Fukuoka	false
start_pos_settlements_onscreen_name_settlement:jap_sanuki:takamatsu-1988267698	Takamatsu	false
start_pos_factions_description_2120134981	Placeholder	false
start_pos_factions_description_2120134983	Placeholder	false
start_pos_factions_description_2120134985	Placeholder	false
start_pos_factions_description_2120134987	Placeholder	false
start_pos_factions_description_2120134989	Placeholder	false
start_pos_settlements_onscreen_name_settlement:jap_omi:otsu-1636353246	Otsu	false
start_pos_factions_description_2120134991	Placeholder	false
start_pos_factions_description_2120134993	Placeholder	false
start_pos_factions_description_2120134995	Placeholder	false
start_pos_factions_description_2120134997	Placeholder	false
start_pos_factions_description_2120134961	Placeholder	false
start_pos_factions_description_2120134963	Placeholder	false
start_pos_factions_description_2120134965	The Hattori are masters of subterfuge, assassination and the hidden knife in the dark. They are experts in the art of ninjutsu, and one of the families responsible for developing a school of murder and sabotage, the “Iga-ryu ninjutsu”. Not surprisingly, then, they can recruit ninja warriors more cheaply than any other clan, and their ninja have more expertise, both on and off the battlefield. The Hattori are dangerous indeed and, as they look beyond the borders of Iga, their home province, who knows where ambition may take them: perhaps to the shogun’s palace?	false
start_pos_factions_description_2120134967	Placeholder	false
start_pos_factions_description_2120134969	Placeholder	false
start_pos_factions_long_description_2120134924	The Chosokabe clan claim descent from the Chinese Emperor Qin Shi Huang. Despite their long history, the Chosokabe clan has had mixed fortunes, and has been under the protection of the Ichijo, who helped them to recapture their castle at Oko. Chosokabe Kunichika, the daimyo, is certainly bold and brave enough to have imperial blood in his veins: he once jumped off an Ichijo castle wall for a dare! He has now broken with the Ichijo, rebuilt Chosokabe influence, and vowed revenge on his enemies. Kunichika can take advantage of the Chosokabe’s traditional strengths: they are phenomenal farmers, and gain extra income from their lands; they produce superb archers and cheap archer units too. With their strength concentrated in Tosa province, the Chosokabe are already at war with the Kono clan of Iyo to the northwest. Now they have to make an interesting strategic decision: deal with their immediate enemies in Iyo, crush the Ichijo clan at home in Tosa, or attack the Miyoshi clan of Awa province. This last might seem like madness, but Awa is blessed with plentiful warhorses, a valuable resource for anyone planning to expand their clan army. The other nearby resource that will be incredibly useful is the good building stone in Sanuki to the north east. Once these immediate opportunities and problems are resolved, then who is to say the next shogun will not be a Chosokabe lord?	false
start_pos_factions_long_description_2120134921	Takeda warlords have ruled Kai, their home province, since the 12th Century, but they have known little peace. Clan infighting, a long series of struggles against repeated invasions from the neighbouring Shinano province, and wars against the Hojo and Imagawa clans, saw to that. They have, however, mastered diplomacy as well as horses, and have achieved peace on occasions. Now, under their daimyo, Takeda Shingen, the clan have opportunities and threats on all sides. A Murakami army is about to invade Kai from northern Shinano; the Kiso clan from beyond the mountains in Shinano, is at peace with the Takeda. Shinano itself, if its current owners are destroyed, has valuable stone resources for the taking. To the east, in Musashi, the Ogigayatsu clan are also peaceful, as are the Hojo of Sagami and Izu provinces. Sagami must be considered a tempting target for an ambitious warlord, thanks to the skilled smiths who live there. To the south the Imagawa clan have recently been reliable allies. The Takeda clan, then, have enemies, worthwhile prizes to aim for, and worthy allies. Not all clans are so blessed! As might be expected of horse-masters, the Takeda clan can recruit and train cavalry much more efficiently than other clans. They can also produce a superior class of horsemen to anyone else. And it may be those horsemen who carry the Takeda daimyo to the shogunate!	false
start_pos_factions_long_description_2120134920	Although the Tokugawa are an ancient family, claiming descent from Minamoto no Yoritomo, the first shogun of the Kamakura shogunate, they have known hard times since those glorious days. They have also changed their clan name, with the permission of the Emperor, from Matsudaira to Tokugawa, the place where Yorimoto’s descendent settled. The Tokugawa have been squeezed between two powerful and ambitious clans: the Imagawa to the east, and the Oda in the west, a most uncomfortable position. By accepting the protection of the Imagawa, the Tokugawa only guaranteed that they were frequently attacked by the Oda. This goes some way to explaining their superior diplomatic skills, their training and use of very good kisho ninja, and the superior metsuke who keep order in their lands. Now, they are at war with the Oda once again. An Oda army has actually invaded the Tokugawa province of Mikawa. In theory, the Tokugawa are vassals of the Imagawa clan to the east in the provinces of Suruga and Totomi. They do not, however, need to worry about the Kiso in Shinano province, as relations with these neighbours are peaceful. That said Shinano has useful stone resources that could prove useful to an ambitious warlord. Historically, after much struggle, Tokugawa Ieyasu did become the seii taishogun, the “great general who subdues the barbarians” and the ruler of Japan with the emperor as a figurehead. The Tokugawa clan kept control of Japan for over 200 years, shutting the country off from pernicious outside influences. History need not turn out that way: another Tokugawa could quite easily become shogun.	false
start_pos_factions_long_description_2120134923	Date warriors have fierce and unforgiving natures. Their foes learn this on the battlefield, shortly before they die. All Date units have a charge bonus, and their fearsome no-dachi samurai, with two-handed swords, are cheap to recruit and maintain. The Date can also recruit superior no-dachi units as well: attack is a Date watchword! Seen from their home province of Iwate, there are many rivals worth attacking. Date Harumune, their daimyo, is already at war with rebels at his own door, not to mention the Mogami clan of Ugo and Usen to the west. An attack there could put holy shrines under Date control. To the southwest, matters are a little more settled: the Hatakeyama clan in Miyagi is currently at peace with the Date, but who knows if such a situation will last? The forests of Miyagi represent a useful resource too. The clan was founded by Isa Tomomune when he was given control of the Date district by the shogun Minamoto Yoritomo at the end of the 12th Century. The clan steadily gained influence until recently, when fighting broke out within the clan over the issue of a marriage alliance with the Uesugi. Date Harumune quarrelled violently with his own father, Tanemune, over plans to marry off his younger brother: a large number of the Date retainers and warriors agreed with Harumune and the old man was removed. Now, Harumune needs a new challenge, perhaps the shogunate?	false
start_pos_factions_long_description_2120134922	The Uesugi are proud of their Buddhist faith. They can recruit and maintain warrior monks far more cheaply than any other clan. They can also recruit much better fighting monks and more effective monk agents than any other clan. Despite this religious solidarity, the history of the Uesugi is not tranquil. The current Uesugi leaders were originally the Nagao clan of Echigo, and were vassals to the Yamanouchi faction of the Uesugi clan. The Nagao fought alongside their masters against the Ogigayatsu, another part of the Uesugi clan, in a bitter dispute. The Yamanouchi, weakened by a war with the Hojo, were forced to seek help from the Nagao lord, Kagetora. His “help” included adopting the name of Uesugi, and taking control of the whole Uesugi clan! Just to make matters even more complicated, Uesugi Kagetora (as he now called himself) changed his name again to Uesugi Kenshin. He was an adherent of Bishamonten, the war god and took Buddhist vows. He then stepped down in favour of his brother, who proved to be staggeringly divisive and unpopular. Kenshin returned to power and now contemplates the future. There is much struggle yet to come if the clan is to be secure and an Uesugi is ever to be shogun! There are Uesugi rebels in Echigo itself, and to the south there is unfinished business in the shape of the Yamanouchi clan of Kozuke province. Luckily, there are peaceful relations with the Ashina clan of Fukushima, and the Mogami clan of Uzen province, but both of these areas have resources, wood and stone respectively, which could be of considerable use. In keeping with the religious bent of the Uesugi, Kozuke province has a tradition of philosophical scholarship that could be harnessed to the Kenshin’s purposes. A navy might also prove useful, as Sado, off the coast of Echigo, has plentiful gold deposits.	false
start_pos_factions_long_description_2120134929	Coming to prominence during the Kamakura Shogunate following the Gempei War, the Otomo clan have remained at the forefront of Japanese feudal politics for almost four hundred years, through the transition to the Ashikaga Shogunate and on to the present day. Alongside the Shoni and Shimazu, the Otomo are one of the largest clans on the southern island of Kyushu, and therefore were amongst the first to make contact with the Portuguese, establishing trade links soon after the Europeans were shipwrecked near the tiny fishing port of Nagasaki. Their daimyo, Otomo Sorin, sees the benefits to both the clan’s economy and the military advantages that trade with the West can bring, making good use of their emerging gun technology. Following the arrival of the Jesuit missionary Francis Xavier and their subsequent meeting, Sorin has showed tolerance towards Jesuit conversion of his subjects to Christianity, and may even consider conversion himself if it becomes expedient to do so. As a result, the Otomo can recruit cheaper gunpowder units more quickly that other clans, the actions of Jesuit missionaries are cheaper to perform, and the population can be converted to Christianity faster. Yet their policy of religious tolerance has brought the Otomo into conflict with their neighbours, the strictly Buddhist Shimazu. If they can be defeated, the Otomo may be able to control Kyushu in its entirety, meaning there is a chance that Japan may yet see its first Christian shogun!	false
start_pos_factions_description_2120134971	Placeholder	false
start_pos_factions_description_2120134973	The Ikko Ikki are mostly common, simple peasants, inspired by faith and hope to fight against their cruel and greedy masters. Known as the “single-minded league”, they are followers of Jodo Shinshu Buddhism. While largely a movement of peasants, the Ikko Ikki are not without military skills. They can recruit superior warrior monks, large, relatively cheap ashigaru units, and ronin samurai loyal to the Ikko Ikki cause. Ikko monks spread the faith; the people believe. This has made them a threat to the established order of the great clans, and therefore many enemies.	false
start_pos_factions_description_2120134975	Placeholder	false
start_pos_factions_description_2120134977	Placeholder	false
start_pos_factions_description_2120134979	Placeholder	false
start_pos_factions_long_description_2120134919	The Mori have a long history of seafaring and are sea masters without equal. They can read the waves and move their fleets further than other clans, and their shipbuilding skills make the construction and maintenance of ships cheaper too. They can also build some rather superior vessels as well. The Mori came to prominence as jito, or stewards, of the Aki province after the Jokyu War in 1221. Despite owing their position to the Kamakura shogunate, they distanced themselves from their sponsors, and were in league with Ashikaga Takauji when he overthrew the old order. They got caught up in the struggles between the Amako and Ouchi clans, and only survived by combining military might with astute diplomacy. Under Mori Motonari, their daimyo, the clan is still at war with the Amako and, indeed, their home in Aki is threatened by an invasion from the north by the Amako. They are still allied with the Ouchi clan of Suo and Nagati to the west, and have peaceful relations with the Kikkawa and Kono in Bingo and Iyo respectively. The war with the Amako is not without opportunity, though: the Amako’s home province of Iwami has deposits of precious metals. Access to other valuable resources would require the removal of the Kikkawa and Kono. But with the sea-going skills of the Mori and the wealth of Iwami, an ambitious daimyo could go far, perhaps as far as the shogun’s palace?	false
start_pos_factions_long_description_2120134918	The Shimazu are a proud clan, with a long history worthy of their pride. To the Shimazu, loyalty is everything, and their generals are less likely to develop ambitions of their own. Shimazu katana samurai are cheaper to recruit and maintain in the field than those of other clans; they can also recruit superior katana-armed samurai. The clan can trace its ancestry back to Minamoto Yoritomo, the founder and first shogun of the Kamakura shogunate. In 1187, Yoritomo appointed his son, Tadahisa, as military governor of southern Kyushu. The young man took the name of Shimazu in Hyuga province, his seat of government, as his own. Thanks to a well-organised army and administration, abundant local resources, and a certain distance between Kyushu and the Kamakura court, the Shimazu clan became rich and powerful. They did not, however, become hidebound: when their vassals in Tanegashima met a strange, shipwrecked people from the other side of the world, the Shimazu were quick to see that trade with these “nanban” Europeans might be worthwhile. Now, under the daimyo Shimazu Takahisa, the clan has a chance for true greatness. Their home province of Satsuma is secure, and they are at peace with the Sagara of Higo province to the north. Higo, however, is a tempting target for expansion because of the warhorses to be found there. There is the small matter of a war with the Ito clan in the provinces of Osumi and Hyuga, but once these local difficulties are resolved the distance from Kyushu to the shogun’s palace is not so great after all…	false
start_pos_factions_description_2120134941	Placeholder	false
start_pos_factions_description_2120134943	Placeholder	false
start_pos_factions_description_2120134945	Placeholder	false
start_pos_factions_description_2120135044	Placeholder	false
start_pos_factions_description_2120134947	Placeholder	false
start_pos_factions_description_2120134949	Placeholder	false
start_pos_factions_description_2120135049	Placeholder	false
start_pos_factions_description_2120134951	Placeholder	false
start_pos_factions_description_2120134953	Placeholder	false
start_pos_factions_description_2120134955	Placeholder	false
start_pos_factions_description_2120134957	Placeholder	false
start_pos_factions_description_2120134959	Placeholder	false
start_pos_factions_long_description_2120134973	The Ikko Ikki, the “single-minded league”, are inspired by their faith, Jodo Shinshu Buddhism, the “true pure land”, a sect founded by the monk and philosopher Shinran. Unlike other Buddhist monks, Shinran married and many of his descendants have been the high abbots, or monshu, of the sect since. Rennyo, the most influential and persuasive of the high abbots, led his sect to Echizen after the Jodo Shinshu temple in Omi province was destroyed as a nest of heretics by Tendai monks. Despite this setback, Rennyo has made Echizen and Kaga provinces into strongholds of his faith. While largely a movement of peasants, inspired by a vision of paradise to create that paradise on earth, the Ikko Ikki are not without military skills. Members of the Shimozuma clan have acted as advisors and commanders for the Ikko Ikki. Shimozuma Rensu was, for example, a staunch supporter of the movement, and a military advisor to Rennyo. Rennyo professed a belief in non-violent action, but not in being defenceless. This explains why the Ikko Ikki can recruit superior warrior monks, and large, relatively cheap ashigaru units. The monks spread the faith; the people believe. The Ikko Ikki also rely on their appeal with the common people to spread the word and dissent in other lands. This makes them a threat to the established order of the great clans and their lords. A religious republic offers many attractions to the downtrodden, but not to the already mighty. Wherever they turn, the Ikko Ikki are likely to be opposed by the clans, and welcomed by the people, assuming the word is spread carefully first…	false
start_pos_factions_description_2120134921	Takeda men are almost born in the saddle, and they are rightly respected for their mastery of horses and cavalry warfare. Under their daimyo, Takeda Shingen, the clan have opportunities and threats on all sides. They have fought off repeated invasions from the neighbouring Shinano province, and battled against the Hojo and Imagawa clans. This has made them formidable warriors. As a result, the Takeda clan recruit and train cavalry much more efficiently than other clans. They can also produce a superior class of horsemen to anyone else. It may be those horsemen who carry the Takeda daimyo to the shogunate!	false
start_pos_factions_description_2120134920	The Tokugawa would like others to see them as upholders of law and order, who keep their word. This image has some truth. Technically vassals of the Imagawa, and constantly threatened by the Oda clan, they are also masters of intrigue because they have been forced to it by events. This goes some way to explaining their superior diplomatic skills, their training and use of very good kisho ninja, and the superior metsuke who keep order in their lands. Under the leadership of Tokugawa Hirotada, perhaps now is the time for the clan to throw off their shackles and, perhaps, one day a Tokugawa will sit in the shogun’s palace?	false
start_pos_factions_description_2120134923	Date warriors are loyal to the ideals of bushido, and possess an attacking spirit: they are fierce and unforgiving enemies. All Date troops have a charge bonus, and their no-dachi samurai, with their two-handed swords, are terrible indeed! Attacking without restraint is what the Date do well! They have many enemies worth attacking: Date Harumune is at war with rebels and the Mogami clan, but a successful attack on any enemy would give the clan useful resources. Harumune does not lack the fierceness of his clan: he removed his own father and certainly can imagine himself shogun. Can his warriors’ fierceness gain him that prize?	false
start_pos_factions_description_2120134922	The Uesugi are proud of their Buddhist faith, and rightly too. They are a pious and worthy people. Despite this religious solidarity, the history of the Uesugi is anything but tranquil. Their daimyo, Uesugi Kenshin, changed his name and took control of his new clan when his original Nagao clan helped one Uesugi faction win a family dispute! This fractious and religious nature may explain why they can recruit better and cheaper monks for their armies and as agents! There is much for these monks to do if an Uesugi lord is ever to be shogun.	false
start_pos_factions_description_2120134925	Placeholder	false
start_pos_factions_description_2120134924	The Chosokabe clan can claim three things: to be masters of the bow, able to recruit and maintain bow-armed troops cheaply, and also recruit expert archers; they are also masters of the land, and gain extra income as a result. They also claim descent from the Chinese Emperor Qin Shi Huang. Their leader, Chosokabe Kunichika, is certainly bold enough to have imperial blood: he once jumped off a castle wall for a dare! Now he is ready to take on his clan enemies, the Kono and Ichijo clans. Perhaps he is also ready, and bold enough, to make himself shogun!	false
start_pos_factions_description_2120134927	Placeholder	false
start_pos_factions_description_2120134929	The Otomo clan have been part of Japanese feudal politics for over four hundred years. Alongside the Shimazu, they are one of the largest clans on Kyushu, and helped defeat the Mongol invasions in the 13th century. They were also the first to make contact with the Portuguese, establishing trade links in return for advanced European guns and other goods. Since their arrival, Otomo Sorin has showed tolerance towards the Jesuit conversion of his subjects, and may even himself convert one day. This may well bring his clan into conflict with the Buddhist Shimazu. If the Otomo can defeat them, Japan may yet see its first Christian shogun!	false
start_pos_factions_long_description_2120134965	The Hattori are the leading family in Iga, a mountainous province, and the home of the independent Iga Sokoku Ikki, a kind of proto-republic which denied the power of the Kamakura shogunate’s feudal lords. The people of Iga developed a school of martial arts, the Iga-ryu ninjutsu, which combined martial arts, assassination techniques and unconventional warfare tactics. They used their ninjutsu to keep their independence, and then to make themselves wealthy as swords-for-hire. The tradition of independence, however, has remained strong in Iga and among the Hattori. Ninjutsu remains a dark art, passed down through families and jealously guarded from outsiders’ eyes. It is not surprising, then, that the Hattori can recruit ninja warriors more cheaply than any other clan, and their ninja also have more expertise, both on and off the battlefield. Under the leadership of Hattori Yasunaga, the clan remains dangerous. As he looks beyond the borders of Iga, who knows where ambition may take his clan: perhaps to the shogun’s palace? The Hattori are largely at peace with their neighbours, although such arrangements have a tendency to fall apart. To the north, the Asai in Omi represent a tempting target, as there is a school of ninja there. To the south, the Kitabatake and Tsutsui defend holy sites that might be better under Hattori stewardship, while the Ashikaga of Yamato represent all that is wrong with the old tired system of government, as they control what passes for a shogunate at the moment. 	false
start_pos_settlements_onscreen_name_settlement:jap_echigo:nagaoka1863985691	Nagaoka	false
start_pos_factions_description_2120134931	Placeholder	false
start_pos_factions_description_2120134933	Placeholder	false
start_pos_factions_description_2120134935	Placeholder	false
start_pos_factions_description_2120134937	Placeholder	false
start_pos_factions_description_2120134939	Placeholder	false
start_pos_factions_description_2120134919	The Mori have a long history of seafaring, and their ships are the finest in Japan. Originally the Kamakura shogun’s stewards of Aki, the clan switched sides and profitably backed the new Ashikaga shoguns. Since then, they have grown in power and made themselves sea masters without equal. They can read the waves and move their fleets further than other clans, and their shipbuilding skills make the construction and maintenance of ships cheaper too. They can also build some rather superior vessels as well. Japan is an island nation, and the daimyo who controls the seas could make himself shogun one day.	false
start_pos_factions_description_2120134918	The Shimazu are a proud clan, with a long history worthy of their pride. They can trace their ancestry back to the Minamoto, the founders of the Kamakura shogunate. Their strengths are the traditional ones of any old clan: their samurai and adherence to bushido. To the Shimazu, loyalty is everything, and their generals are less likely to develop ambitions of their own. Shimazu katana samurai are cheaper to recruit and maintain in the field than those of other clans; they can also recruit superior katana-armed samurai. Loyalty, bushido, and brave samurai are powerful assets for an ambitious warlord seeking to be shogun…	false
start_pos_settlements_onscreen_name_settlement:jap_mimasaka:tsuyama1904514120	Tsuyama	false
