key	text	tooltip
#Loc;1;text/db/technologies.loc		
technologies_long_description_gempei_civil_development_sumo_retainers	\\n\\nStrength without anger: \\nPower within the circle, \\nDignity without. \\n\\nIn sumo the gods are honoured as champions battle, and their victories reflect well on their patrons and masters. 	true
technologies_onscreen_name_gempei_civil_core_chinese_learning	Chinese Learning	true
technologies_onscreen_name_shogun_military_core_horse_mastery	Horse Mastery	true
technologies_long_description_boshin_civil_epic_architecture	\\n\\nThe dream of all men. \\nA reality for few: \\nTo be remembered. \\n\\nThe architecture of great castles, temples and palaces is intended to overawe and dwarf the ambitions of lesser men. Yet it is only by creating such magnificent structures that the rules of engineering are made plain, so that even greater buildings can be made by simple craftsmen. Who, then, is memorialised: the builders, or the masters?	true
technologies_onscreen_name_shogun_civil_religion_scholarship	Scholarship	true
technologies_onscreen_name_boshin_civil_censorship	Censorship	true
technologies_onscreen_name_boshin_civil_charter_oath	Charter Oath	true
technologies_short_description_boshin_civil_foreign_affairs	Conversation can be as sharp as any sword.	true
technologies_onscreen_name_shogun_civil_metsuke_sword_hunt	Sword Hunt	true
technologies_long_description_boshin_military_imported_guns	\\n\\nLightning flickers, \\nThe night sky aflame and bright. \\nThe cherry tree falls. \\n\\nA man wakes to find that all he thought solid has faded, like mist. All that he held to be unchanging has, like potter’s clay, been moulded by new hands. In such a world, the man takes stock of what is new and then, once it has been found useful, he grasps it tightly: the new must become the familiar, no matter what the source, no matter what the cost. If this is not done, what will his neighbour do?	true
technologies_short_description_boshin_civil_western_agenda	The future is not what it used to be.	true
technologies_long_description_shogun_civil_province_chonindo	\\n\\nAlthough considered to be a lower class of people than the honourable samurai, merchants are incredibly important to the clan’s coffers. Chonindo argues that the merchant class’ quest for wealth is just as honourable as the samurai quest for glory on the field of battle. The introduction of a moral code that glorifies the pursuit of profit whilst stressing the importance of thrift and frugality helps increase trade income for all provinces and encourages economic growth amongst the merchant classes. \\n\\nThe ethics of chonindo were developed by Ishida Baigan, a man with a particular interest in the problems faced by the merchant class. According to formal Edo ideology, merchants were considered to be one of the lowest social classes. Ishida Baigan believed that the ideas of chonindo or “the way of the townsman” were equal to that of “the way of the warrior” and no less valid to all members of society. He argued that morals transcended the class system; therefore a merchant could nurture morality in exactly the same way as a samurai. He encouraged his followers to devote themselves to the pursuit of profit whilst remaining scrupulously honest and cultivating the virtues of thrift and frugality. If merchants lived their lives according to these values, then their profit driven motive was in accord with the way of heaven. 	true
technologies_onscreen_name_boshin_military_ramming	Ramming	true
technologies_long_description_shogun_civil_core_tea_ceremony	\\n\\nThe tea ceremony is a symbol of sophistication and taste, and embodies the principles of Zen. Everything carefully reflects the host and his standing, and the ceremony itself has an etiquette that must be followed. The elegance of the ceremony is a mark of the culture and civilized standards of a daimyo: the man’s honour is increased by this art. The tea ceremony also has a positive effect on the happiness of the population. \\n\\nThe tea ceremony is a graceful act, and each movement naturally flows into the next, with every moment of the ceremony set before a guest arrives. Guests are seated on tatami mats in the tea house, and then all the tea-making equipment is carried in and arranged. Once everything is laid out, the implements are purified with a silk cloth, hot water is poured into the bowls, and the tea mixed with a whisk, which has in turn been carefully warmed. Tea is served in strict order of seniority, and even the process of clearing away is a regulated part of the ceremony. Done correctly, however, it serves to put everyone in a contemplative and calm state of mind, perfect for serious discussions of great matters.	true
technologies_short_description_shogun_civil_core_traditional_building	Within the tree, the roof beam awaits the carpenter's touch.	true
technologies_onscreen_name_boshin_military_arms_deals	Arms Deals	true
technologies_short_description_boshin_civil_merchant_house_selection	At harvest, pluck the ripe fruit.	true
technologies_onscreen_name_gempei_civil_religion_ceremony_and_ritual	Ceremony and Ritual	true
technologies_long_description_shogun_military_core_strategy_of_attack	\\n\\nTo attack, regardless of the odds, is a mark of true courage. A general who uses the strategy of attack will have an increased charge bonus as his men follow him headlong into the heart of battle! A true warrior should always be on the attack. Bombarding an enemy with wave after wave of attackers denies them the opportunity to formulate any effective strategy. \\n\\nThe Battle of Hitotoribashi is one of the greatest historical examples of a leader attacking regardless of the odds: Date Terumune was murdered by Hatakeyama Yoshitsugu and his son, Date Masamune, swore revenge. He took his 7000 men and attacked Yoshitsugu at Hitotoribashi. Masamune was hideously outnumbered, as Yoshitsugu fielded some 30,000 men. Yet Masamune attacked in the name of honour! He won a decisive victory, killing Yoshitsuga and avenging his father. Masamune proved himself the better tactician, and his willingness to attack in the face of overwhelming odds marked him out as an excellent commander.	true
technologies_onscreen_name_boshin_civil_capitalist_production	Capitalist Production	true
technologies_long_description_boshin_military_sabre_cavalry	\\n\\nProud horse, head tossing, \\nCarries death upon his back. \\nThe rider tames the colt. \\n\\nThe modern way is a new way of warfare, but old lessons still apply. There is a point in many battles when the enemy, having made a stand, must be shocked into retreat and rout. The soldier who can fire, fire and fire again has the advantage over the man who must fire and carefully reload. In this, he is no different to the archer who fires with skill. Both men terrify their lesser foes.	true
technologies_long_description_shogun_military_spear_sojutsu_mastery	\\n\\nA true master knows the limits of his mastery, but will show others his stumbling steps on the path of wisdom. Even the greatest teacher must have somewhere to teach, and this art allows the construction of a yari master dojo. In turn, this allows the recruitment of exceptionally skilful spear-armed units capable of forming a nigh-impenetrable spear wall. Few enemies can break through such a formation in battle. \\n\\nThe spear has a special significance in Japanese mythology. Once Heaven and Earth had been created out of chaos, the deities Izanagi and Izanami came into being and created the islands of Japan. Standing on the “floating bridge of heaven” they dipped a magical spear into the ocean below. From its tip an island was formed. It was here that the couple were married and consummated their relationship. Izanami then gave birth to all the islands of Japan and a number of other deities. Two large rocks, Izanami and Izanagi, can still be found just off the coast near Ise. They are bound together by a rice-straw rope, symbolising the bonds of marriage between the deities who created the islands of Japan. 	true
technologies_onscreen_name_shogun_civil_province_equal_fields	Equal Fields	true
technologies_short_description_boshin_military_gatling_gun	A hell-spawned demon spits death only once.	true
technologies_short_description_shogun_military_musket_attack_by_fire	Of all the elements, fire alone brings fear and death.	true
technologies_long_description_shogun_civil_religion_neo_confucianism	\\n\\nThe adoption of neo-confucianism as the state philosophy ensures a clan's people align their beliefs with that of the Daimyo. Confucian thought comes from China, and stresses the values sincerity and being true to oneself and nature in order to reach harmony with the world. There is a proper etiquette for every occasion, and observing this shows that the harmonious hierarchy of the world is understood and supported. \\n\\nThe Tokugawa Shogunate promulgated neo-confucianism as a way of reinforcing the stability of society and Japan. It was intended to guide everyone by showing everyone their place in the universal hierarchy: fathers, sons, lords, vassals, and even the peasants in their fields, would have their relationships codified into a harmonious whole. Tokugawa Ieyasu had unified the country, but he needed to show that he was adept in peace as in war. The Tokugawas chose to ignore the confucianism ideal of free speech, and permitted only one orthodox school of thought in order to maintain control over all aspects of Japanese life: moral duty and the law became one and the same. The country was unified, but at a cost in freedom of thought and innovation.	true
technologies_onscreen_name_boshin_civil_abolition_of_land_restriction	Abolition of Land Restriction	true
technologies_long_description_boshin_civil_merchant_house_selection	\\n\\nShips bob at anchor \\nFat-bellied fish on the quay \\nWhich will be sold first? \\n\\nGiving responsibility for one kind of trade to one merchant house allows the traders to fully command their market. Freed from the burdens of competition with others, they can make the most of their opportunities, and bring benefits to all. Wealth flows everywhere, eventually.	true
technologies_short_description_boshin_military_iron_plating	A sensible man looks to his o-yoroi as well as his katana.	true
