key	text	tooltip
#Loc;1;text/db/advice_levels.loc		
advice_levels_onscreen_text_1489756505	An ungarrisoned castle town automatically generates units of samurai retainers and women to defend it if attacked. Although not as effective during a battle as regular troops, and unable to leave the castle town in which they were spawned, they are well able to manage day to day public order problems.	true
advice_levels_onscreen_text_2139657820	Agents are recruited directly from a province via the recruitment tab on the review panel. Recruitment is instant, but cost may vary depending on a number of factors, such as the presence of certain buildings, clan or character traits.	true
advice_levels_onscreen_text_2139657920	Missionaries can convert the populations of provinces and other agents to their religion, although it is more difficult for a missionary to convert a monk and vice versa. Conversion of a population to Christianity takes place simply by a missionary's presence in a province. 	true
advice_levels_onscreen_text_2139658820	Geisha can inspire our troops and raise their morale, a useful skill if they will be fighting a battle during the same turn. To inspire, simply select a geisha, right-click on a target army and select inspire from the options presented to you.	true
advice_levels_onscreen_text_2139659220	With this in mind new battle options and game modes have been made available to you. Match-made battles now allow you to search for opponents in naval, siege and land battle types. 	true
advice_levels_onscreen_text_2139659321	The treasury indicates the amount of money in the clan's coffers and is displayed next to the projected income for the next turn.	true
advice_levels_onscreen_text_2139659721	The workshop building increases the armour and melee defence of all units.	true
advice_levels_onscreen_text_1387459530	Outflanking forces can be turned into fixing forces. If you commit a large outflanking force and do not attack from the front, the enemy will be forced to turn and face you, presenting his flanks to what was your centre.	true
advice_levels_onscreen_text_2139658422	There are two types of rebellion. A general whose loyalty has dropped too low may attempt to form his own clan rather than defect to another. If this happens, he will raise an army and try to capture the nearest castle town. Riots amongst the peasants can also escalate into full-scale rebellions.	true
advice_levels_onscreen_text_2139659122	Take some time to explore the avatar screen before pressing the conquest map button on the navigation toolbar to return to your conquest of Japan.	true
advice_levels_onscreen_text_2139659722	Clan leaders who own both Shogun 2 and Fall of the Samurai can select two clan speciality skills for their clan.	true
advice_levels_onscreen_text_1170317847	A closely-packed mass of troops is a superb target for missile units on the battlefield. Keep pounding them and they'll take casualties!	true
advice_levels_onscreen_text_2139658223	It is also vital that we begin to extend our power beyond the bounds of Satsuma. Osumi should be our first target. We are already at war with the ruling Ito clan, and its castle is dangerously close to our borders - it must be captured before the Ito have a chance to muster an army there. We may then proceed with their total subjugation or, alternatively, expansion into Higo. We are not currently at odds with the Sagara – the masters there - but seizure of their province will mean a source of superior warhorses and the taste of total and lasting victory. With southern Kyushu firmly under our control, none of the other clans will be able to resist. Kyushu will be ours! 	true
advice_levels_onscreen_text_2139659423	Attrition is the loss of men due to desertion, disease, etc. An army will suffer attrition if it ends turn away from a settlement during the winter months.	true
advice_levels_onscreen_text_2139659723	The clan competition offers a wide range of map filters, displaying vital information on the current status of each game world, and helping clans plot their path to victory.	true
advice_levels_onscreen_text_2139658024	From time to time, missions are issued either by our clan, the Shogun or, if appropriate, any European trade partners we may have. Mission objectives may be reviewed from the objectives list beneath the radar map or on the summary tab on the clan management panel. Although there is no penalty for failing, successful completion of a mission results in a reward, often in the form of bonus effects. If a mission becomes unachievable due to factors outside of our control it will be cancelled.	true
advice_levels_onscreen_text_2139658524	Through force of arms and strength of conviction, we will prevail. Opposition to the Jodo Shinshu way will continue to be strong, and the Shogun will be no exception. Should he perceive us as a threat, he will stop at nothing until our people are subjugated utterly. When this day comes, we must seize Kyoto for ourselves. With a Shimozuma ruling the Shogunate in our name, all of Japan will know our might. The Ikko Ikki will be free!	true
advice_levels_onscreen_text_2139659024	This is the army management screen where you can create your army. To begin with you have been given a selection of troops, each with their own strengths on the battlefield. Double left-click on a unit card to add that unit to your army. 	true
advice_levels_onscreen_text_1212661715	Ordering the whole army to attack throws away any chance of gaining an advantage. Even if you have enough brute force to win, you will have lost many more men than you needed to.	true
advice_levels_onscreen_text_2045097248	Repression is the enforcement of your rule by the presence of garrison troops. The grey pips in the public order section of this panel represent repression through intimidation from garrisoned units. Whilst it is useful to keep the population in order, rebellion following a period of heavy repression can be difficult to suppress.	true
advice_levels_onscreen_text_2047305771	This option demands that a clan become our vassals. Vassal clans can take advantage of the military might of their overlord in exchange for 50% of their income and unlimited military access. However, unlike a regular ally, a vassal cannot decline a request to fight for their overlord, they can reassert their independence only by declaring war on them.	true
advice_levels_onscreen_text_2139658125	We are the Oda. These are trying times for our clan. Not only are we at war on two fronts, but we are caught in the grips of civil strife - the in-fighting threatening to tear our clan apart from within. Our first priority, therefore, is to quell the unrest in our midst and unify under a single banner once more. When order has been restored we can set about building up our strength and extending our influence into the neighbouring provinces.	true
advice_levels_onscreen_text_2139658725	Shinobi can sabotage a rival army, affecting their ability to move during a turn and causing casualties by poisoning their food and water supplies. Right-click on a rival army and select the army sabotage option to undermine their movements.	true
advice_levels_onscreen_text_2139659525	Details of victory conditions and missions are stored here. Each clan has a set of predetermined territorial conquests that it must complete in order to attain victory. These are displayed at the top of this tab. Click on a mission to check the time remaining for completion or read its details again.	true
advice_levels_onscreen_text_2139657826	Each general has a loyalty rating that is used to determine his likeliness to be bribed, leave our clan and defect to another. Loyalty is influenced by factors such as the daimyo's honour, glorious victories in battle, marriage within the clan, being made heir to the clan leadership, the acquisition of character traits and skills, the choices made during dilemmas and whether a general is made a commissioner or neglected within the clan. If their loyalty gets too low there may be no choice other than to order that they commit seppuku.	true
advice_levels_onscreen_text_2139658326	The battle match panel lets you randomly match with an opponent, or you can join a team of other players for multiplayer battles. Click on the icons to locate the kind of battle you wish to fight. If you want a battle to be ranked, or contribute to the clan competition, you must select this option.	true
advice_levels_onscreen_text_2139659126	This is the armour set screen. Here you can view both your current armour set pieces and those still waiting to be unlocked. Each armour set piece forms part of a set; on acquisition of all the pieces of a set you will be rewarded with a unique retainer.	true
advice_levels_onscreen_text_2139658427	The wealth of a province is the sum of the base income generated by the castle town, farms, ports and province speciality buildings, minus tax, which is our income. This is displayed in the lower left section of the province details panel. The lower right section shows the factors affecting the castle town's additional economic growth over the following season and indeed every season to come.	true
advice_levels_onscreen_text_2139658627	The placement of a monomi inside one of our castle towns will enable him to set up a spy network there. This not only increases line of sight from the province, it also makes it easier to detect hidden agents and armies, and decreases the chance that sou will be successful in encouraging a revolt.	true
