key	text	tooltip
#Loc;1;text/db/campaign_map_tooltip_texts.loc		
campaign_map_tooltip_texts_tooltip_text_tltip_gempei_inspector_protect_armies_from_gempei_spy	Moving a junsatsushi into an army helps protect it from monomi and increases the loyalty of its general.	true
campaign_map_tooltip_texts_tooltip_text_tltip_metsuke_can_capture_and_trial	Metsuke can imprison enemy agents and put them on trial, sometimes even killing them in the process.	true
campaign_map_tooltip_texts_tooltip_text_tltip_navy_cannot_attack_this	Your fleet cannot attack this	true
campaign_map_tooltip_texts_tooltip_text_tltip_this_not_trade_ship_how_to_create_trade_port	This fleet contains no trade ships. To create a trade route move one of your trade ships into this trade port. However, you can use this fleet to defend the post.	true
campaign_map_tooltip_texts_tooltip_text_tltip_boshin_navy_attack_army_bombard	An army belonging to another clan. Your fleet may bombard this target, thereby inflicting casualties.	true
campaign_map_tooltip_texts_tooltip_text_tltip_right_clk_attack_target	Right-click to attack target	true
campaign_map_tooltip_texts_tooltip_text_tltip_move_agent_inside_army_for_protection	Move your agent here for protection.	true
campaign_map_tooltip_texts_tooltip_text_tltip_agents_convert_population_to_national_religion	Move your agent here to start converting the population to your clan's own religion.	true
campaign_map_tooltip_texts_tooltip_text_tltip_rival_port_attributes	A port belonging to another clan. Ports can be military or trading ports and are used for trading, recruiting, repairing and replenishing navies.	true
campaign_map_tooltip_texts_tooltip_text_tltip_navy_cannot_attack_army	Your fleet cannot attack an army	true
campaign_map_tooltip_texts_tooltip_text_tltip_monk_can_convert_agents	Religious agents can convert enemy agents, forcing them to retire and devote themselves to a faith.	true
campaign_map_tooltip_texts_tooltip_text_tltip_one_of_your_gempei_monk	One of your sou. He can incite revolts in rivals' provinces and may convince their agents to take up the spiritual life.	true
campaign_map_tooltip_texts_tooltip_text_tltip_agent_of_other_nation	An agent of another clan.	true
campaign_map_tooltip_texts_tooltip_text_tltip_ships_speed_up_armies_movement_02	Not only can ships carry your armies across the sea, but they are also much faster than marching. Send them across the coast close to your destination for a shortcut. A general will take command of a fleet when he boards it.	true
campaign_map_tooltip_texts_tooltip_text_tltip_boshin_veteran_attacks_boshin_veteran	A foreign veteran from another clan. Fighters and survivors, they should not be underestimated, even by equals.	true
campaign_map_tooltip_texts_tooltip_text_tltip_right_clk_duel_target	Right-click to challenge target to a duel	true
campaign_map_tooltip_texts_tooltip_text_tltip_about_province_specialities_trade_hamlet_non_player_gem	This area has a rich tradition of shipbuilding. This building adds bonuses to ships recruited within the province and increases income.	true
campaign_map_tooltip_texts_tooltip_text_tltip_right_clk_blockade_port	Right-click to blockade in port	true
campaign_map_tooltip_texts_tooltip_text_tltip_boshin_veteran_attacks_boshin_shinobi	A shinobi from another clan. Their dark art makes them a threat, but a foreign veteran is no stranger to violence and subterfuge.	true
campaign_map_tooltip_texts_tooltip_text_tltip_one_of_your_armies_lay_ambush	One of your armies. This army can lay an ambush.	true
campaign_map_tooltip_texts_tooltip_text_tltip_rival_town_development_chains	A town belonging to another clan.	true
campaign_map_tooltip_texts_tooltip_text_tltip_boshin_navy_attack_port_unoccupied_no_bombard	A port belonging to another clan. Your fleet may blockade this target, interrupting trade and ship construction.	true
campaign_map_tooltip_texts_tooltip_text_tltip_infiltrate_port_to_sabotage_assassinate	Successful sabotage will prevent the rival clan from using this port until it is repaired	true
campaign_map_tooltip_texts_tooltip_text_tltip_right_clk_attack_navy	Right-click to attack fleet	true
campaign_map_tooltip_texts_tooltip_text_tltip_merge_fleets_to_improve_navies	Merge fleets to create a larger force, or to replenish a fleet with more experienced ships.	true
campaign_map_tooltip_texts_tooltip_text_tltip_right_clk_attack_town	Right-click to attack town	true
campaign_map_tooltip_texts_tooltip_text_tltip_right_clk_occupy_port	Right-click to occupy port	true
campaign_map_tooltip_texts_tooltip_text_tltip_right_clk_steal_tech	Right-click to steal technology 	true
campaign_map_tooltip_texts_tooltip_text_tltip_left_clk_select	Left-click to select	true
campaign_map_tooltip_texts_tooltip_text_tltip_rival_spies_potential_threat	This agent is a potential threat to your clan, and as such should be taken care of as soon as possible.	true
campaign_map_tooltip_texts_tooltip_text_tltip_non_player_town_boshin_geisha	Another clan's town. Your geisha can attempt to distract the local garrison.	true
campaign_map_tooltip_texts_tooltip_text_tltip_merge_armies_to_improve_armies	Merge armies to create a larger army or add experienced troops to an army.	true
campaign_map_tooltip_texts_tooltip_text_tltip_army_cannot_attack_navy	Your army cannot attack a fleet	true
campaign_map_tooltip_texts_tooltip_text_tltip_right_clk_attack_port	Right-click to attack port	true
campaign_map_tooltip_texts_tooltip_text_tltip_left_clk_select_dbl_left_clk_view_his_details	Left-click to select, double left-click to show more details	true
campaign_map_tooltip_texts_tooltip_text_tltip_boshin_shinobi_attacks_boshin_shinobi	A shinobi from another clan. Masters of subterfuge, other shinobi nevertheless know their tricks.	true
campaign_map_tooltip_texts_tooltip_text_tltip_right_clk_attack_army	Right-click to attack army	true
campaign_map_tooltip_texts_tooltip_text_tltip_boshin_geisha_attacks_boshin_ishinshishi_prey	An ishinshishi from another clan. These men are devoted to their cause and may only be enchanted by geisha of the same allegiance.	true
campaign_map_tooltip_texts_tooltip_text_tltip_right_clk_enter_fort	Right-click to enter fort	true
campaign_map_tooltip_texts_tooltip_text_tltip_right_clk_enter_port	Right-click to enter port	true
campaign_map_tooltip_texts_tooltip_text_tltip_boshin_shinsengumi_attacks_boshin_shinsengumi	A shinsengumi from another clan. It is regrettable that shinsengumi must act against their own, but duty prevails.	true
campaign_map_tooltip_texts_tooltip_text_tltip_non_player_missionaries	A missionary from another clan. Missionaries can perform religious conversion, and to a lesser extent, incite civil unrest.	true
