key	text	tooltip
#Loc;1;text/db/effect_bundles.loc		
effect_bundles_localised_title_p_merchant_discontent	Merchant Class Discontent	true
effect_bundles_localised_title_p_bos_foreign_setback	Foreign Trade Setback	true
effect_bundles_localised_description_p_bos_shogunate_propaganda_local	Support for the Shogun and his continued rule is spreading throughout this province.	true
effect_bundles_localised_title_p_bos_breakthrough_civil_eng	Civil Breakthrough	true
effect_bundles_localised_description_p_abundant_catch_global	Favourable conditions and long hours have ensured that fishermen across your domain have kept their nets brimming.	true
effect_bundles_localised_title_p_disaffected_populace_global	Disaffected Populace	true
effect_bundles_localised_title_p_bos_flourishing_growth_local	Business Flourishes	true
effect_bundles_localised_title_p_gem_unwanted_influence_taira	Unwanted Influence	true
effect_bundles_localised_title_p_master_ikko_monks	The True Pure Land	true
effect_bundles_localised_title_p_gem_master_inspector	Influential Exponent	true
effect_bundles_localised_title_p_gem_fujiwara_influence_self	Fujiwara Influence	true
effect_bundles_localised_description_p_abundant_catch_local	Favourable conditions and long hours have ensured that fishermen in this province have kept their nets brimming.	true
effect_bundles_localised_title_t_oda	Masters of Peasantry	true
effect_bundles_localised_description_p_bos_master_artillery	A focus upon gunnery drill has improved the proficiency of your newly-recruited artillery-crews.	true
effect_bundles_localised_description_p_gem_fujiwara_influence_other	Despite our best efforts, knowledge of the Fujiwara's past continues to foster support for them.	true
effect_bundles_localised_title_p_dis_severe_winter	Severe Winter	true
effect_bundles_localised_description_p_bos_disaffected_populace_local	Neglect for the wants and needs of the people of this province has caused resentment to your rule.	true
effect_bundles_localised_description_p_master_monks	Inspired by their pursuit of enlightenment, your monks are fulfilling their duties with unbounded zeal.	true
effect_bundles_localised_description_t_otomo	Shooting an enemy is not a matter of honour, but victory.	true
effect_bundles_localised_description_p_bos_anti_western_riots_local	People in this province are sickened by recent concessions made in favour of westerners.	true
effect_bundles_localised_description_p_peer_contempt	Dubious of your recent decisions, your fellow daimyo are harbouring considerable disrespect towards you.	true
effect_bundles_localised_description_p_master_ninja	Their skills honed to perfection, your ninja are excelling in acts of subterfuge.	true
