key	text	tooltip
#Loc;1;text/startpos_jap_gempei.loc		
start_pos_factions_long_description_2120135593	The Fujiwara were great, once. They could be great again. Educated, urbane, sophisticated and worldly, they were consummate courtiers and scholars, and had the ear of the emperor in all matters. They ruled from the shadows, with influence over the emperor, and over the upbringing of many imperial heirs. For that matter, the mothers of many imperial offspring were Fujiwara ladies. \\n\\nAll of that power slowly slipped away from the family after the coronation of the Emperor Go-Sanjo; his mother was not a Fujiwara. The northern and southern halves of the family quarrelled, and the quarrel became virtually open warfare. The “Hogen Disturbance” when the Fujiwara tried, and failed, to impose their choice of imperial heirs did not help their fortunes at all. The Fujiwara star was eclipsed by the power of other families, the Minamoto and the Taira. To the wider world their reduced position looked secure, but the Fujiwara leadership retired from politics, concentrating instead on their lands, the arts, and literature. But now, perhaps, it is time to be great again. \\n\\nThe Fujiwara therefore have a long family tradition of hidden power to draw upon. They did not just use the system of government: they became the system, using the family’s daughters to extend their influence over, and input into, the imperial bloodline. They were manipulative in the extreme, but they were also staunch traditionalists. They wanted control from behind the scenes, not revolution. This political and governmental expertise could now serve the family well: their junsatsushi agents act with great efficiency and at reduced cost; they repress the common people much more effectively than other clans; and they also spend less to maintain their lands and troops. The Fujiwara believe, quite sincerely, that they are always in the right, and have high battlefield morale as a result.	false
start_pos_settlements_onscreen_name_settlement:gem_iyo:imabari2130426674	Imabari	false
start_pos_settlements_onscreen_name_settlement:gem_musashi:edo2130426736	Edo	false
start_pos_regions_long_description_gem_shimotsukejap_gempei	Shimotsuke is located at the northern end of the Kanto plain. Today, it is home to the Nikko Tosho-Gu temple complex, famed for being the final resting place of the great Shogun, Tokugawa Ieyasu. The complex has been designated a World Heritage Site and attracts thousands of tourists per year.	false
start_pos_factions_description_2120135381	Placeholder	false
start_pos_factions_description_2120135680	Placeholder	false
start_pos_factions_description_2120135383	Placeholder	false
start_pos_factions_description_2120135583	Placeholder	false
start_pos_factions_description_2120135485	Placeholder	false
start_pos_factions_description_2120135588	Placeholder	false
start_pos_factions_description_2120135393	Placeholder	false
