key	text	tooltip
#Loc;1;text/db/achievements.loc		
achievements_description_ACHIEVEMENT_A_CREATE_SECOND_AVATAR	Tạo một Hóa thân thứ hai để sử dụng trong chế độ Chinh phục Hóa thân.	true
achievements_description_ACHIEVEMENT_C_CONTROL_KYUSHU	Kiểm soát toàn bộ các Tỉnh trên đảo Kyushu trong chiến dịch.	true
achievements_title_ACHIEVEMENT_C_WIN_CAMPAIGN_AS_ODA	Chiến thắng Oda	true
achievements_title_ACHIEVEMENT_B_HAKODATE_WON	Hành trình kết thúc	true
achievements_description_ACHIEVEMENT_B_WIN_20_NAVAL_BATTLES	Thắng 20 trận hải chiến trong chế độ nhiều người chơi.	true
achievements_description_ACHIEVEMENT_B_SINK_ENEMY_SHIP_WITH_RAMMING	Đánh chìm tàu địch bằng cách đâm trực diện.	true
achievements_description_ACHIEVEMENT_C_WIN_GAME_AS_CHRISTIAN	Hoàn thành một chiến dịch với một Lãnh chúa theo Kitô giáo.	true
achievements_title_ACHIEVEMENT_C_FIGHT_DROP_IN_BATTLE	Kẻ thách đấu tay đôi	true
achievements_title_ACHIEVEMENT_A_5_CLAN_REGIONS_SIMULTANEOUSLY_OWNED	Thế bóp nghẹt	true
achievements_title_ACHIEVEMENT_C_WIN_MP_VS_CAMPAIGN_GIVING_OTHER_PLAYER_GOLD	Kẻ thù bị ô nhục	true
achievements_title_ACHIEVEMENT_C_5_NAVAL_BOMBARDMENTS_WITH_TOSA	Cha đẻ của Hải quân Hoàng gia	true
achievements_title_ACHIEVEMENT_B_WIN_BATTLE_NO_RANGED	Xung phong cuồng nộ	true
achievements_description_ACHIEVEMENT_B_WIN_20_RANKED_BATTLES	Thắng 50 trận đấu ghép trận trong nhiều người chơi.	true
achievements_description_ACHIEVEMENT_B_WIN_25_RANKED_BATTLES	Thắng 25 trận đấu ghép trận trong nhiều người chơi.	true
achievements_description_ACHIEVEMENT_B_WIN_BATTLE_NO_RANGED	Thắng một trận nhiều người chơi mà quân đội không có đơn vị tầm xa.	true
achievements_title_ACHIEVEMENT_B_WIN_MP_BATTLE_LESS_THAN_15_PERCENT_LOSSES	Nhanh và chí mạng	true
achievements_description_ACHIEVEMENT_C_FIGHT_DROP_IN_BATTLE	Tham gia một trận đánh drop-in.	true
achievements_title_ACHIEVEMENT_C_ATTAIN_MAX_LEVEL_ALL_AGENTS	Ý nguyện của Người sẽ thành	true
achievements_description_ACHIEVEMENT_B_FIELD_ENTIRELY_HEROES	Thắng một trận với đội quân chỉ gồm các đơn vị Anh hùng và Tướng quân của bạn.	true
achievements_title_ACHIEVEMENT_B_WIN_BATTLE_ONNA_BUGEISHA_AS_GENERAL	Onna-Bugeisha	true
achievements_description_ACHIEVEMENT_B_PLAY_10_BATTLES	Chơi 10 trận nhiều người chơi bất kỳ.	true
achievements_title_ACHIEVEMENT_B_WIN_20_NAVAL_BATTLES	Bậc thầy của đại dương	true
achievements_title_ACHIEVEMENT_B_SINK_ENEMY_SHIP_WITH_RAMMING	Mặc kệ phóng lôi	true
achievements_description_ACHIEVEMENT_C_BECOME_SHOGUN	Đạt mục tiêu tối thượng và trở thành Đại Soái trong chiến dịch lớn.	true
achievements_description_ACHIEVEMENT_B_HAKODATE_WON	Hoàn thành tất cả các trận đánh lịch sử.	true
achievements_description_ACHIEVEMENT_C_WIN_CHOSOKABE_CAMPAIGN	Hoàn thành một chiến dịch với Gia tộc Chosokabe.	true
achievements_description_ACHIEVEMENT_B_SINK_ENEMY_SHIP_WITH_TORPEDOES	Đánh chìm tàu địch bằng phóng lôi.	true
achievements_description_ACHIEVEMENT_B_WIN_BATTLE_EVERY_TYPE_OF_UNIT	Thắng một trận với đội quân có ít nhất một đơn vị của mọi loại (đao bộ binh, kỵ binh, cung binh, thần cơ bộ binh, trường thương bộ binh, naginata).	true
achievements_title_ACHIEVEMENT_A_CREATE_SECOND_AVATAR	Song long	true
achievements_description_ACHIEVEMENT_B_RALLY_5_UNITS	Thành công tập hợp lại 5 đơn vị cùng lúc bằng một lần dùng kỹ năng hiệu triệu của Tướng quân.	true
achievements_title_ACHIEVEMENT_B_MIYAKO_BAY_1	Nữ tướng sắt	true
achievements_title_ACHIEVEMENT_C_WIN_SHIMAZU_CAMPAIGN	Chiến thắng Shimazu	true
achievements_title_ACHIEVEMENT_C_MAX_LEVEL_MISSIONARY	Tôi tớ của Thượng Đế	true
achievements_description_ACHIEVEMENT_C_WIN_CAMPAIGN_AS_TAKEDA	Hoàn thành một chiến dịch với Gia tộc Takeda.	true
achievements_title_ACHIEVEMENT_B_BEAT_CA_STAFF_VIRAL	Lan rộng như cháy rừng	true
achievements_description_ACHIEVEMENT_C_OBTAIN_MAX_LEVEL_UNIT	Đạt được một đơn vị cấp tối đa trong chiến dịch lớn.	true
achievements_description_ACHIEVEMENT_C_WIN_CAMPAIGN_AS_HOJO	Hoàn thành một chiến dịch với Gia tộc Hojo.	true
achievements_title_ACHIEVEMENT_A_JOIN_A_CLAN	Phụng sự với Danh dự	true
achievements_title_ACHIEVEMENT_C_WIN_UESUGI_CAMPAIGN	Chiến thắng Uesugi	true
