key	text	tooltip
#Loc;1;text/db/ui_component_localisation.loc		
ui_component_localisation_localised_string_upgradable_Tooltip_260047	This building can be upgraded.	true
ui_component_localisation_localised_string_label_tx_Tooltip_5b002d	Check this to simulate ambient lighting and shadows around the edges of objects.	true
ui_component_localisation_localised_string_sea_2v2_Tooltip_5b002c	Filter by two versus two sea battle rankings	true
ui_component_localisation_localised_string_dy_tax_level_minimal_Text_610022	Minimal	true
ui_component_localisation_localised_string_indefinite_tx_NewState_Text_6e0051	Indefinite	true
ui_component_localisation_localised_string_sort_captured_selected_up_Tooltip_5a007b	Sort by captured	true
ui_component_localisation_localised_string_button_ok_Tooltip_2e005b	Accept Clan Speciality	true
ui_component_localisation_localised_string_button_ok_Tooltip_640011	Accept changes	true
ui_component_localisation_localised_string_dy_chance_very_low_Text_7004b	very low	true
ui_component_localisation_localised_string_tx_imports_NewState_Text_760038	Imports	true
ui_component_localisation_localised_string_button_txt_NewState_Text_230073tphycx	Show Filters	true
ui_component_localisation_localised_string_button_ancillaries_Tooltip_4b0025	Click here to change your active retainers.||Each one has their own special bonuses and you may need to use different retainers for different battles. 	true
ui_component_localisation_localised_string_vassals_vassal_of_Tooltip_41004b	You are a vassal of this clan.||In exchange for this, they receive half your income and unlimited military access to your provinces.	true
ui_component_localisation_localised_string_dy_general_Tooltip_1b0026	The enemy commander.||A commander will lead the forces in battle. If they are a general, they can have a great effect on their troops on the battlefield, so it is wise to compare their details against your commander before committing to battle.	true
ui_component_localisation_localised_string_DY_text_NewState_Text_70074	Your bombardment failed to cause any damage!	true
ui_component_localisation_localised_string_descr_tx_you_Text_7b0064	You have elected to declare war on:	true
ui_component_localisation_localised_string_food_title_Tooltip_62000e	Food is an important factor in local and global growth.||See the factors below for more details. 	true
ui_component_localisation_localised_string_button_convert_christian_Tooltip_490009v	Click this to convert your clan's religion.||You can convert once for each daimyo.	true
ui_component_localisation_localised_string_label_tx_Tooltip_300052	With this enabled, other players will be allowed to drop-in and replace the CPU when a battle occurs.	true
ui_component_localisation_localised_string_ap_Tooltip_620032N	Action points remaining||This shows how far this fleet can still move this turn.	true
ui_component_localisation_localised_string_weather_tx_NewState_Text_150073	As the attacking force, you may choose to wait for more favourable weather conditions before commencing your attack.	true
ui_component_localisation_localised_string_button_ancillaries_Tooltip_1b006f	Choose which retainers you want to take into battle from your retainer pool.||Retainers are gained by completing armour sets and achievements.	true
ui_component_localisation_localised_string_XP_progress_frame_Tooltip_300047	Progress to next level	true
ui_component_localisation_localised_string_silk_import_Tooltip_27006d	Import. This clan imports these goods.	true
ui_component_localisation_localised_string_button_toggle_aim_Tooltip_530054	Toggle Bombardment\\n\\nNumber of shells to be fired during bombardment:||Once active, left click on the area you wish to bombard	true
ui_component_localisation_localised_string_tx_ports_NewState_Tooltip_230005	This shows how many ports a province has, which affects the amount of town growth.	true
ui_component_localisation_localised_string_sea_3v3_Tooltip_59002e	Filter by three versus three sea battle rankings	true
ui_component_localisation_localised_string_XP_progress_frame_Tooltip_12006a	XP progress||This is the unit's progress towards gaining the next XP rank.	true
ui_component_localisation_localised_string_txt_damage_NewState_Text_65004e	Damage	true
ui_component_localisation_localised_string_classic_tx_NewState_Text_26001b	Classic Battles	true
ui_component_localisation_localised_string_label_tx_Tooltip_4c0023	Selecting this option keeps sounds in memory for longer, leading to faster performance. 	true
ui_component_localisation_localised_string_dy_chance_moderate_Text_e002f	We might be able to come to an agreement...	true
ui_component_localisation_localised_string_title_panel_NewState_Text_5e0066	Deployable Defences	true
ui_component_localisation_localised_string_Edo_NewState_Text_64002a	Edo	true
ui_component_localisation_localised_string_description_NewState_Text_3a0059	Find multiplayer battles online:	true
ui_component_localisation_localised_string_label_NewState_Text_770065	Provinces within points of capture/loss	true
ui_component_localisation_localised_string_button_groupforms_Tooltip_2c0032	Toggle group formations panel||This panel can be used to arrange grouped units into different formations.||To activate this button you must have some units already grouped.||Move your cursor over the formations panel for more details.	true
ui_component_localisation_localised_string_wood_import_Tooltip_660068	Superior wood. The clan imports these goods.	true
ui_component_localisation_localised_string_TX_Battle_deployment_Auto-Resolving_Battle_Text_3005a	Auto-Resolving Battle	true
ui_component_localisation_localised_string_refused_tx_NewState_Text_620035	Some of your allies have refused to join your side:	true
ui_component_localisation_localised_string_tx_title_NewState_Text_b0029	Food	true
ui_component_localisation_localised_string_label_tx_Tooltip_310063	The advisor will appear in the top left-hand of the screen.||If this is your first time playing the game, it is probably a good idea to have the advisor on.	true
ui_component_localisation_localised_string_label_tx_veteran_added_Text_40005f	Veteran added	true
ui_component_localisation_localised_string_level_up_Tooltip_560044	This agent has skill points to spend.	true
ui_component_localisation_localised_string_button_hire_priest_Tooltip_20	 Hire missionary||Missionaries are religious agents used to inspire your clan and demoralise the enemy.	true
ui_component_localisation_localised_string_header_tx_province_Text_f0035	Province	true
ui_component_localisation_localised_string_dy_season_Tooltip_350015	The season of your campaign at the time of saving.	true
ui_component_localisation_localised_string_Commissions_NewState_Text_760028	Commissions	true
ui_component_localisation_localised_string_TX_faction_NewState_Text_20018	Clan:	true
ui_component_localisation_localised_string_effect_1_NewState_Text_6b0003	+1 morale to players avatar	true
ui_component_localisation_localised_string_checkbox_selected_down_off_Tooltip_7b001a	Uncheck this box to hide the provinces owned by this clan.	true
ui_component_localisation_localised_string_unit_strength_label_Tooltip_670079	This shows how many men or ships make up this unit.	true
ui_component_localisation_localised_string_txt_header_recruitment_enable_Text_72006f	Enables recruitment of:	true
ui_component_localisation_localised_string_button_rotate_left_Tooltip_3b0008	Rotate avatar left	true
ui_component_localisation_localised_string_button_rotate_left_Tooltip_26001d	Rotate camera left	true
ui_component_localisation_localised_string_button_ok_Tooltip_7b0029	Confirm	true
ui_component_localisation_localised_string_effect_1_NewState_Text_320053	Unlocks at rank 10	true
ui_component_localisation_localised_string_Summary_Tooltip_20057	The summary tab shows your clan's statistics and details.	true
ui_component_localisation_localised_string_tx_theatre_NewState_Text_7b0020	Theatre	true
ui_component_localisation_localised_string_region_specialty_14_tosa_Text_350008	Ability to recruit bow samurai	true
ui_component_localisation_localised_string_label_NewState_Text_1c003b	Aizu	true
ui_component_localisation_localised_string_label_NewState_Text_560074	Player 1	true
ui_component_localisation_localised_string_dy_tax_level_minimal_Text_4f0022	Minimal	true
ui_component_localisation_localised_string_repeatedly_tx_NewState_Text_580005	Demand Payment	true
ui_component_localisation_localised_string_tx_government_NewState_Text_750040	Government	true
ui_component_localisation_localised_string_repeatedly_tx_NewState_Text_280079	Pay repeatedly:	true
ui_component_localisation_localised_string_button_cancel_convert_Tooltip_6e00486	Cancel	true
ui_component_localisation_localised_string_label_tx_Tooltip_620024	With this setting enabled distant hill silhouettes are smoother and less prone to popping as the camera moves.||It also enables very high quality displacement mapping for objects such as rocks and boulders.	true
ui_component_localisation_localised_string_label_tx_Tooltip_300071	Target zones show a unit's firing zone.	true
ui_component_localisation_localised_string_sea_1v1_Tooltip_530024	Filter by one versus one sea battle rankings	true
ui_component_localisation_localised_string_panel_heading_NewState_Text_20000ap	Choose a Mon:	true
ui_component_localisation_localised_string_DY_target_location_NewState_Text_780000	xxx	true
ui_component_localisation_localised_string_effect_1_NewState_Text_28005d	Unlocks at rank 1 (1 star)	true
ui_component_localisation_localised_string_standard_tx_NewState_Text_430061	Standard Camera	true
ui_component_localisation_localised_string_button_ok_Tooltip_140059	Accept changes?||Once you accept changes, you can't change where you have assigned skill points.||If you want to assign them somewhere else, click the reset skill points button.	true
ui_component_localisation_localised_string_declare_war_tx_war_declared_Text_5e0006	War Declared	true
ui_component_localisation_localised_string_tx_diplomatic_summary_NewState_Text_590019	Diplomatic Summary	true
ui_component_localisation_localised_string_offer_tech_tx_NewState_Text_570009	Offer Technology	true
ui_component_localisation_localised_string_label_tx_Tooltip_14005c	Choose whether other players can chat to you in-game.	true
ui_component_localisation_localised_string_button_expand_chat_Tooltip_3f0016	Toggles size of lobby chat	true
ui_component_localisation_localised_string_dy_chance_moderate_Text_e000f	moderate	true
ui_component_localisation_localised_string_standard_tx_NewState_Text_2d0004	WASD Style	true
ui_component_localisation_localised_string_dy_region_specialty_55_musashi_boshin_Text_31007cw	Ability to recruit White Tiger Force	true
ui_component_localisation_localised_string_Records_hover_Text_6e0030	Records	true
ui_component_localisation_localised_string_heading_text_boshin_Tooltip_490036	As your clan studies new technologies they will unlock extra abilities, units and buildings.	true
ui_component_localisation_localised_string_button_takeda_selected_Text_65005b	Takeda	true
ui_component_localisation_localised_string_dy_title_tx_ally_declares_war_Text_560020	Ally Declares War!	true
ui_component_localisation_localised_string_gates_open_Tooltip_3a004a	Gates open	true
ui_component_localisation_localised_string_clan_world_NewState_Text_600021	Clan World :	true
ui_component_localisation_localised_string_cmp_diff_tx_NewState_Text_790070	Difficulty:	true
ui_component_localisation_localised_string_other_row_selected_Tooltip_20076tGJ	Left-click for more information.	true
ui_component_localisation_localised_string_button_show_movie_Tooltip_610048	View recruitment movie	true
ui_component_localisation_localised_string_button_government_Tooltip_500067	Government||The Government details panel shows important information for your nation.||It contains an overall national summary and detailed information on your policies, ministers and trade.||To see more information click this button to bring up the Government panel.	true
ui_component_localisation_localised_string_tx_dropin_Tooltip_2b005c	Click here to enable drop-in battles.||This means that other players may take control of the AI opposing force. Once the battle has finished, the other player will be returned to their own game.	true
ui_component_localisation_localised_string_TX_target_location_NewState_Text_7c006a	Target Location:	true
ui_component_localisation_localised_string_tx_disembark_agent_NewState_Text_350074	Disembark Agent	true
ui_component_localisation_localised_string_allegiance_dy_inf_bos_self_Text_a0020	None	true
ui_component_localisation_localised_string_label_melee_NewState_Text_790037	Bushido	true
ui_component_localisation_localised_string_demand_access_tx_Tooltip_130017	Military access is used when one army needs to move across another clan's province without trespassing and causing a war.||Demanding a high number of access turns from the other clan requires a good relationship.||Select the nodes to choose how many turns you want to demand and then click on the accept button.	true
ui_component_localisation_localised_string_veteran_description_hero_Text_63005dN	You have unlocked a hero unit! Hero units are unique - you will only ever have one of each type. Unlike other units, they become veterans as soon as they are unlocked. An extra slot for the hero unit has been added to your veteran's pool.Choose a name for your new hero veterans now: 	true
ui_component_localisation_localised_string_arrow_R_Tooltip_40019	Next province	true
ui_component_localisation_localised_string_button_all_Tooltip_56002e	When this is selected any messages you send will be sent to all players.||To only send to the players on your team switch to the team button.	true
ui_component_localisation_localised_string_unit_strength_label_Tooltip_140060	Veteran units may suffer casualties in battle and this will show their current strength.||You can continue to use them, or swap them for other veterans to allow them time to replenish. 	true
ui_component_localisation_localised_string_label_tx_Tooltip_7d0049	Path markers show a unit's path and final destination.	true
ui_component_localisation_localised_string_label_tx_Tooltip_2f0018	Click here to fight the battle at night.||Night attacks prevent reinforcements and also reduce visibility and line of sight for both sides.	true
ui_component_localisation_localised_string_tx_Details_NewState_Text_68002a	Details	true
ui_component_localisation_localised_string_Crane's_Wing_Tooltip_640079	Crane's Wing||Balanced army defence formation. Right-click for more information.	true
ui_component_localisation_localised_string_turns_NewState_Text_100023	Turns until starved out:	true
ui_component_localisation_localised_string_tx_discontent_NewState_Text_750042	Discontent	true
ui_component_localisation_localised_string_tx_automanage_NewState_Text_7f006b	Automanage:	true
ui_component_localisation_localised_string_label_NewState_Text_5c001e	Miyako Bay	true
ui_component_localisation_localised_string_power_NewState_Text_300055	Power:	true
ui_component_localisation_localised_string_sort_resource_selected_up_Tooltip_44006f	Sort by resource	true
ui_component_localisation_localised_string_label_tx_Tooltip_700056	Enabling soft shadows effectively blurs the outlines of shadows, which can look very pixelated from certain camera angles.||Shadows are more expensive to render with this option enabled, but the results are much more realistic.	true
ui_component_localisation_localised_string_label_tx_region_lost_Text_2a000e	Province lost:	true
ui_component_localisation_localised_string_skill_level_6_Tooltip_35007bxVj4u	Rank: 6||Higher ranks are gained through XP.||An avatar's rank determines how many veterans and retainers he can use.  	true
ui_component_localisation_localised_string_icon_player_status_friend_Tooltip_730041	Friend	true
ui_component_localisation_localised_string_gunpowder_NewState_Tooltip_230005	The Gunpowder chain improves your avatar's gunpowder skill and his ability to train troops in its use.	true
ui_component_localisation_localised_string_sort_resource_selected_up_Tooltip_3b001f8Z718	Sort by speciality	true
ui_component_localisation_localised_string_arrow_L_Tooltip_d0006	Previous province	true
ui_component_localisation_localised_string_turns_corner_normal_Tooltip_6f0027	Construction turns||This shows how many turns it will take to build this item.	true
ui_component_localisation_localised_string_Tokyo_label_NewState_Text_160050	Tokyo	true
ui_component_localisation_localised_string_tx_movement_points_NewState_Text_260040	Movement points remaining upon travel:	true
ui_component_localisation_localised_string_label_NewState_Text_3b0066	Toba Fushimi	true
ui_component_localisation_localised_string_Flying_Bird_Tooltip_6a0043	Flying Bird||Missile heavy defence formation. Right-click for more information.	true
ui_component_localisation_localised_string_label_NewState_Text_18004f	Osaka	true
ui_component_localisation_localised_string_button_ok_Tooltip_720052	Accept	true
ui_component_localisation_localised_string_dy_season_Tooltip_360064	The season of your campaign at the time of saving.	true
ui_component_localisation_localised_string_level_up_Tooltip_57003a	This unit has skill points to spend.	true
ui_component_localisation_localised_string_text_panel_NewState_Text_44007c	Game Paused	true
ui_component_localisation_localised_string_cmp_diff_tx_NewState_Text_6e0073	Game difficulty:	true
ui_component_localisation_localised_string_label_tx_Tooltip_37001c	Check this box to control the camera's vertical movement with the mouse wheel.	true
