key	text	tooltip
#Loc;1;text/db/encyclopedia_template_strings.loc		
encyclopedia_template_strings_text_boshin_units_title	Fall of the Samurai Units	true
encyclopedia_template_strings_text_index_buildings_chain_yari_label	Yari Chain	true
encyclopedia_template_strings_text_boshin_clans_title	Fall of the Samurai Clans	true
encyclopedia_template_strings_text_shogun2_arts_title	Shogun 2 Arts	true
encyclopedia_template_strings_text_index_buildings_chain_christian	This chain of buildings enables the recruitment of missionary agents. The rigidly organised structure of Catholicism enables swifter mastery of the arts and much quicker conversion to their religion than their Buddhist counterparts can manage. The Christian chain promotes a more fluid society with the effect of increased economic growth.	true
encyclopedia_template_strings_text_index_buildings_chain_sword_label	Sword Chain	true
encyclopedia_template_strings_text_index_buildings_chain_castle_label	Castle Chain	true
encyclopedia_template_strings_text_index_buildings_chain_gempei_state_academy	The state academy only exists within Kyoto. The centre of Chinese learning within Japan, the state academy reduces the time required to master arts. It cannot be upgraded or destroyed outright, but can be damaged.	true
encyclopedia_template_strings_text_index_buildings_chain_market_label	Market Chain	true
encyclopedia_template_strings_text_index_buildings_chain_gempei_koryu	This chain of buildings enables recruitment of the old-style, mostly naginata-armed troop types, also producing warrior monks when used in combination with Buddhist buildings and naginata cavalry when combined with pastures. The highest level koryu buildings can also produce naginata hero, onna bushi, and tetsubo warrior monks.	true
encyclopedia_template_strings_text_index_buildings_chain_gempei_government	This chain of buildings is the centre of government within a province. A government building cannot be demolished. There are two sub-chains within it: one focuses on public order and siege defence, the other recruitment and replenishment of armies.	true
encyclopedia_template_strings_text_index_buildings_chain_stone_label	Stone Chain	true
encyclopedia_template_strings_text_shogun2_gempei_regions_title	Shogun 2 & Rise of the Samurai Provinces	true
encyclopedia_template_strings_text_index_buildings_chain_port_label	Port Chain	true
encyclopedia_template_strings_text_index_buildings_chain_intellectual_label	Intellectual Chain	true
encyclopedia_template_strings_text_gempei_units_title	Rise of the Samurai Units	true
encyclopedia_template_strings_text_enables	Enables	true
encyclopedia_template_strings_text_regions	Provinces	true
encyclopedia_template_strings_text_index_buildings_chain_boshin_region_specialty_clay	This chain of province speciality buildings is enabled when clay resources are present in a province. Clay is used for the mass production of bricks and items of pottery, reducing the cost of building construction within a province.	true
encyclopedia_template_strings_text_index_buildings_chain_boshin_region_specialty_coal_mining	This chain of province speciality buildings is enabled when coal resources are present. Coal extraction and refining produces a useful trade good, but also reduces happiness due to modernisation.	true
encyclopedia_template_strings_text_gempei_clans_title	Rise of the Samurai Clans	true
encyclopedia_template_strings_text_index_buildings_chain_gempei_castle_label	Castle Chain	true
encyclopedia_template_strings_text_actions	Actions	true
encyclopedia_template_strings_text_index_buildings_chain_gempei_market_label	Barter Chain	true
encyclopedia_template_strings_text_buildings	Buildings	true
encyclopedia_template_strings_text_index_buildings_chain_boshin_region_specialty_coal_mining_label	Coal Mining Chain	true
encyclopedia_template_strings_text_index_buildings_chain_gempei_bushi_label	Bushi Chain	true
encyclopedia_template_strings_text_index_buildings_chain_holy_label	Holy Site Chain	true
encyclopedia_template_strings_text_index_buildings_chain_iron_label	Iron Chain	true
encyclopedia_template_strings_text_index_buildings_chain_infrastructure_label	Infrastructure Chain	true
encyclopedia_template_strings_text_index_buildings_chain_boshin_region_specialty_clay_label	Clay Chain	true
encyclopedia_template_strings_text_index_buildings_chain_naval_label	Naval Chain	true
encyclopedia_template_strings_text_shogun2_gempei_specialities_title	Shogun 2 & Rise of the Samurai Specialities	true
encyclopedia_template_strings_text_effects	Effects	true
encyclopedia_template_strings_text_index_buildings_chain_modern_label	Modern Military Chain	true
