key	text	tooltip
#Loc;1;text/db/unit_info_card_abilities_strings.loc		
unit_info_card_abilities_strings_bullet_text_socket_bayonet	Socket Bayonet	true
unit_info_card_abilities_strings_bullet_text_quicklime_shells	Quicklime Shells	true
unit_info_card_abilities_strings_tooltip_text_socket_bayonet	Provide melee bonuses, particularly against charging units.	true
unit_info_card_abilities_strings_bullet_text_bad_marksmanship	Poor Shots	true
unit_info_card_abilities_strings_bullet_text_dismount	Can Dismount	true
unit_info_card_abilities_strings_tooltip_text_rally_position	This general can declare a rally position for withdrawing and routing units. 	true
unit_info_card_abilities_strings_bullet_text_fire_and_advance	Fire and Advance Drill	true
unit_info_card_abilities_strings_bullet_text_cant_run	Cannot Run	true
unit_info_card_abilities_strings_bullet_text_rally_position	Rally Position 	true
unit_info_card_abilities_strings_bullet_text_skirmish	Can skirmish	true
unit_info_card_abilities_strings_tooltip_text_wedge_formation	Trained to charge in a wedge formation in order to better penetrate enemy formations.	true
unit_info_card_abilities_strings_bullet_text_campmap_stealth	Paths Seldom Trod	true
unit_info_card_abilities_strings_bullet_text_rifled_cannons	Rifled Cannons	true
unit_info_card_abilities_strings_tooltip_text_rifled_cannons	Range and accuracy of cannons is improved.	true
unit_info_card_abilities_strings_tooltip_text_grappling_hook	placeholder	true
unit_info_card_abilities_strings_bullet_text_grappling_hook	Grappling Hook	true
unit_info_card_abilities_strings_tooltip_text_scares_enemies	The fierce appearance of these warriors is unnerving for those who must face them in battle.	true
unit_info_card_abilities_strings_bullet_text_blinding_grenade	Blinding Grenades	true
unit_info_card_abilities_strings_bullet_text_scares_enemies	Scares Enemies	true
unit_info_card_abilities_strings_tooltip_text_banzai	This unit can enter into a frenzied state for a short period of time, increasing its speed, morale, charge and melee attacks. 	true
unit_info_card_abilities_strings_bullet_text_banzai	Banzai	true
unit_info_card_abilities_strings_bullet_text_pike_square_formation	Yari Square Formation	true
unit_info_card_abilities_strings_bullet_text_inspire	Encourages nearby units	true
unit_info_card_abilities_strings_tooltip_text_grappling_hooks	These men are practiced in the use of grappling hooks to scale fort walls.	true
unit_info_card_abilities_strings_bullet_text_copper_bottoms	Copper Bottoms	true
unit_info_card_abilities_strings_tooltip_text_pike_square_formation	The spear square is an immobile solid square of men presenting a wall of spears on all sides to deter cavalry attack.	true
unit_info_card_abilities_strings_tooltip_text_warcry	Warcry heavily demoralises nearby enemies, slowing them down and affecting their defence ability for a short time. 	true
