key	text	tooltip
#Loc;1;text/db/message_event_text.loc		
message_event_text_text_character_dies_natural_causes_female	This blossom of the clan fell from our family tree, meeting her death with the same grace she showed in life.	true
message_event_text_text_agent_mis_yours_demoralisation_fail	Our missionary failed to spread dissent amongst the ranks of the enemy.	true
message_event_text_text_agent_mon_yours_demoralisation_fail	Our monk failed to spread discontent amongst the enemy.	true
message_event_text_text_clan_marriage_daimyo	Our daimyo chose a wife from the family of one of his trusted retainers. Their union will cement the bonds of loyalty within the clan.	true
message_event_text_text_camp_revolt_imminent	Tensions in this province are reaching dangerous levels. There will be insurrection if the people's anger is not appeased.	true
message_event_text_text_campmap_your_general_killed	An honourable death; no warrior can ask for more. The clan will mourn the loss of this great man.	true
message_event_text_text_building_your_legendary_built_first	All eyes are upon us! Our achievement truly is the stuff of legend!	true
message_event_text_text_bos_agent_enemy_shinobi_sabotage_building_critical_success	A building was sabotaged by an enemy shinobi. The culprit escaped undetected.	true
message_event_text_text_gem_agent_spy_enemy_subvert_critical_success	Some men's hearts are weak. An enemy monomi successfully sabotaged our army.	true
message_event_text_text_spy_detected_escape	An enemy ninja was detected whilst attempting to assassinate a member of the clan!	true
message_event_text_text_building_constructed	Construction of the following building is complete:	true
message_event_text_text_agent_met_yours_bribe_success	It seems that even the most virtuous have their price! Our agent used his silver tongue to charm the enemy and bring them around to our way of thinking.	true
message_event_text_text_agent_met_yours_apprehension_success	An enemy agent was apprehended by our metsuke. Whilst insufficient evidence was found to incriminate them, they were, nonetheless, temporarily imprisoned. 	true
message_event_text_text_building_their_legendary_built_first	All Japan looks in awe at the legendary building our rivals have completed.	true
message_event_text_text_gem_agent_spy_enemy_assassin_critical_fail	An enemy monomi was apprehended and executed following an assassination attempt.	true
message_event_text_text_character_dies_navy_destroyed	This noble warrior died whilst serving aboard one of our ships.	true
message_event_text_text_agent_met_enemy_bribe_success	Dishonour! This character has gone over to the enemy.	true
message_event_text_text_gem_campmap_prestige_threshold_one	Our successes have been many. Our worth and potential are now recognised by the people.	true
message_event_text_text_bos_campmap_prestige_level_1_shogun	In return for service to the Shogunate, you have been granted the rank of governor within the Bakufu.\\n\\nYou may now appoint a general to the office of inspector general.	true
message_event_text_text_bos_campmap_prestige_level_2_shogun	Our continued support of the Shogun pleases the Bakufu greatly; for your efforts, you have been promoted to young elder!\\n\\nYou may now appoint a general to the office of comptroller.	true
message_event_text_text_bos_campmap_prestige_level_3_shogun	Our clan grows strong, ever loyal to the Shogun's cause. In recognition of your service, he has made you an elder.\\n\\nYou may now appoint a general to the office of chief of staff.	true
message_event_text_text_bos_campmap_prestige_level_4_shogun	The civil war rages on, and our achievements in the Shogun's name have been without equal. In honour of your loyalty and dilligence, he has named you great elder!\\n\\nYou may now appoint a general to the office of commander-in-chief.	true
message_event_text_text_campaign_lost_your_faction_destroyed	All hope is lost! The clan is no more; our warriors feed the earth!	true
message_event_text_text_bos_agent_yours_veteran_duel_critical_success	This is an auspicious day! Our foreign veteran fought with honour and killed his enemy in single combat.	true
message_event_text_text_character_gains_level_geisha	This geisha is ready to develop her skills, having refined her aptitude for assassination.	true
message_event_text_text_bos_camp_rebellion	This ungrateful populace have taken up arms against their rightful masters!	true
message_event_text_text_bos_camp_rebellion_samurai	Enraged at the loss of traditional values, samurai in this province have risen up in revolt!	true
message_event_text_text_gem_agent_sou_yours_persuasion_fail	Some are too closed-minded to aspire to enlightenment. We failed to indoctrinate this enemy agent.	true
message_event_text_text_trade_agreement_cancelled_port_loss	Continued trade between our clan and this valued ally is no longer possible.	true
message_event_text_text_bos_agent_enemy_veteran_duel_critical_success	Inconceivable! One of our subjects fell in single combat against a foreign veteran!	true
message_event_text_text_campmap_prestige_realm_divide	Japan stands in awe of our might! Rumours abound that the Shogun is rallying support in a bid to crush our clan out of existence. Our enemies and those loyal to the Shogun will surely fall in league with him - we cannot rely upon even our oldest allies for aid. There is little time; we must do everything in our power to prepare for the coming storm. 	true
message_event_text_text_bos_agent_enemy_ishin_assassin_fail	An assassination attempt has been made against us! The perpetrator is still at large but must be dealt with.	true
message_event_text_text_gem_agent_spy_yours_sabotage_critical_fail	Our monomi failed to sabotage his target. He was captured and summarily executed. 	true
message_event_text_text_gem_agent_spy_enemy_assassin_success	The enemy attempted to assassinate a member of our clan! Having succeeded only in wounding them, the assassin has now escaped. 	true
message_event_text_text_spy_detected_escape_sabotage	An enemy ninja was detected attempting to sabotage our building.	true
message_event_text_text_spy_detected_execute_sabotage	An enemy ninja was captured and executed whilst trying to sabotage one of our buildings.	true
message_event_text_text_bos_agent_enemy_geisha_enchant_critical_fail	A woman's wiles cannot sway loyalty to one's lord. This enemy geisha was executed for attempting to enchant one of our subjects.	true
message_event_text_text_bos_agent_yours_shinobi_sabotage_army_fail	Our shinobi failed to sabotage the enemy army and was detected, barely managing to escape with his life.	true
message_event_text_text_agent_mis_yours_persuasion_critical_success	Following discourse with our missionary, an enemy agent saw sense and renounced his old ways.	true
message_event_text_text_agent_mon_yours_persuasion_critical_success	A man uncertain of his beliefs is easy to lead astray. Our monk successfully convinced an enemy agent to abandon his cause.	true
message_event_text_text_gem_agent_shi_yours_seduce_critical_success	Our shirabyoshi successfully seduced an enemy. He has abandoned his former master and sworn fealty to our lord.	true
message_event_text_text_clan_your_hostage_executed	Our kin has been put to the sword by his captors following a premature break in the diplomatic agreement between our clans.	true
message_event_text_text_campmap_resource_lost_spices	The loss of our incense resource will affect our ability to carry out our religious rites.	true
message_event_text_text_war_declared	When words fail the only option is war. These two clans cannot reconcile their differences until blood has been spilled in their names.	true
message_event_text_text_bos_agent_enemy_shinobi_sabotage_army_critical_fail	An enemy shinobi was captured and executed whilst trying to sabotage our army.	true
message_event_text_text_bos_agent_enemy_shinsen_coerce_troops_critical_fail	A shinsengumi was caught attempting to coerce our troops to join him. He will bother us no longer.	true
message_event_text_text_bos_agent_yours_veteran_sabotage_building_critical_success	Our foreign veteran used skill and cunning to sabotage his target building.	true
message_event_text_text_clan_their_hostage_executed	Our diplomatic agreement with another clan was broken prematurely. The life of their kin, held hostage by us as part of that agreement, is now forfeit.	true
message_event_text_text_clan_daughter_born	A new daughter is born to the clan. May she bring peace and serenity to the clan.	true
message_event_text_text_bos_agent_enemy_shinobi_assassin_fail	An enemy shinobi was detected whilst attempting the assassination of a man loyal to our clan.	true
message_event_text_text_bos_agent_enemy_shinsen_assassin_fail	An assassination attempt has been made against us! The perpetrator is still at large and must be dealt with.	true
message_event_text_text_bos_agent_yours_ishin_incite_revolt_critical_success	Chaos reigns! Our ishin shishi successfully incited revolt in this settlement.	true
message_event_text_text_bos_agent_enemy_geisha_distract_army_critical_fail	A rival geisha was captured and executed whilst attempting to distract our troops.	true
message_event_text_text_bos_emergent_faction	From the ashes of war, a new clan rises to ride into history!	true
message_event_text_text_ambusher_discovered_theirs	Deception! An army was discovered lying in ambush for an unsuspecting enemy force.	true
message_event_text_text_bos_agent_yours_shinsen_assassin_fail	Our shinsengumi failed to eliminate his target, but managed to evade capture and death.	true
message_event_text_text_campmap_resource_lost	We have lost an important resource to the enemy, barring access to certain buildings and units. Recapture should be a priority.	true
message_event_text_text_bos_agent_yours_shinobi_assassin_fail	Our shinobi failed to eliminate his target and was detected, managing to escape the clutches of the enemy and a certain death.	true
message_event_text_text_gem_character_gains_level_inspector	This junsatsushi is ready to develop his skills, having honed his abilities through his service to the family.	true
message_event_text_text_agent_met_enemy_apprehension_critical_fail	We will not suffer others to meter out false justice in our lands. An enemy metsuke was apprehended and killed.	true
message_event_text_text_bos_agent_yours_shinsen_incite_revolt_critical_fail	Our shinsengumi was executed in the course of his duty, having failed to incite rebellion amongst the people.	true
message_event_text_text_bos_agent_enemy_veteran_duel_critical_fail	A foreign veteran challenged one of our own to single combat. His skills were no match; he died with honour.	true
