key	text	tooltip
#Loc;1;text/db/battles.loc		
battles_description_sho_mp_grassy_flatlands	This level is a test map, DO NOT TRANSLATE.	true
battles_description_sho_mp_boshin_osaka_plain_no_kbs	.	true
battles_localised_name_sho_mp_dlc_saga_no_kbs	Saga River	true
battles_description_sho_mp_aki_no_kbs	.	true
battles_description_sho_mp_naval_cape_nosappu	The straits off Cape Nosappu create a challenging battleground for any admiral.	true
battles_localised_name_sho_mp_boshin_nishizawa_valley	[NEW]  Nishizawa Valley	true
battles_description_Operation_santa_no_kbs	.	true
battles_localised_name_sho_mp_boshin_naval_tsugaru_straits	[NEW]  Tsugaru Straits	true
battles_description_sho_mp_flood_plain_no_kbs	.	true
battles_description_sho_mp_bay_of_many_faces	A picturesque sandy bay at the foot of forest-laden hills.	true
battles_description_sho_mp_boshin_jigokudani_valley_no_kbs	.	true
battles_localised_name_Castle_Mountain_Level_01	Mountain Level 01 (Campaign Castle Map, DO NOT LOCALISE)	true
battles_localised_name_Castle_Mountain_Level_02	Tarajo	true
battles_localised_name_Castle_Mountain_Level_03	Mountain Level 03 (Campaign Castle Map, DO NOT LOCALISE)	true
battles_localised_name_Castle_Mountain_Level_04	Mountain Level 04 (Campaign Castle Map, DO NOT LOCALISE)	true
battles_localised_name_Castle_Mountain_Level_05	Mountaintop Fortress	true
battles_localised_name_Castle_Mountain_Level_06	[NEW] Wakasa Fortress	true
battles_description_sho_mp_dlc_kansai	PLACEHOLDER - TEXT NEEDED	true
battles_description_sho_mp_boshin_gifu_no_kbs	.	true
battles_localised_name_sho_mp_boshin_naval_seto_inland_sea	[NEW]  Seto Inland Sea	true
battles_description_TUTORIAL_Battle_Samurai	PLACEHOLDER	true
battles_description_sho_mp_waterfalls	A cliff face splits this battlefield between two levels, and creates numerous excellent firing positions.	true
battles_localised_name_SHO_E3_Battle	E3 Battle	true
battles_localised_name_sho_mp_alpine_ridge	Alpine Ridge	true
battles_localised_name_sho_mp_boshin_naval_tokai_coast_no_kbs	[NEW]  Tokai Coast	true
battles_description_Naval_Test_01	Test map for naval battles  DO NOT TRANSLATE	true
battles_description_Naval_Test_03	Test map for naval battles  DO NOT TRANSLATE	true
battles_description_Naval_Test_02	Test map for naval battles  DO NOT TRANSLATE	true
battles_description_sho_mp_naval_aodaisho_sea	An open body of water between two large land masses.	true
battles_localised_name_Ueno	Battle of Ueno	true
battles_description_sho_mp_boshin_ridge_pass	.	true
battles_description_sho_mp_boshin_ridge_pass_no_kbs	.	true
battles_localised_name_sho_mp_chikugo_river	Chikugo River	true
battles_description_sho_mp_boshin_kurobe_gorge_no_kbs	.	true
battles_description_sho_mp_dlc_chugoku_no_kbs	PLACEHOLDER - TEXT NEEDED	true
battles_description_sho_mp_sanriku_ria_no_kbs	.	true
battles_localised_name_Naval_AI_Test_01	Naval AI Test 01	true
battles_description_scs_enemystate_a03	TEST MAP DO NOT TRANSLATE	true
battles_localised_name_Naval_AI_Test_02	Naval AI Test 02	true
battles_localised_name_Kizugawaguchi	Battle of Kizugawaguchi	true
battles_localised_name_sho_mp_slumbering_settlement_no_kbs	Slumbering Settlement	true
battles_description_Castle_MP_Buatsui	Epic-scale fortress favouring massive armies with organised attack and defence plans.	true
battles_description_sho_mp_boshin_happo_ridge_no_kbs	.	true
battles_localised_name_sho_mp_lowlands_no_kbs	Lowlands	true
battles_localised_name_sho_mp_boshin_naval_tohoku_sea	[NEW]  Tohoku Sea	true
battles_localised_name_sho_mp_boshin_naval_tohoku_sea_no_kbs	[NEW]  Tohoku Sea	true
battles_localised_name_sho_mp_shinano_river	Shinano River	true
